	macd	trigger
4026		
4025		
4024		
4023		
4022		
4021		
4020		
4019		
4018		
4017		
4016		
4015		
4014		
4013		
4012		
4011		
4010		
4009		
4008		
4007		
4006		
4005		
4004		
4003		
4002		
4001		
4000		
3999		
3998		
3997		
3996		
3995		
3994		
3993		
3992		
3991		
3990		
3989		
3988		
3987		
3986		
3985		
3984		
3983		
3982		
3981		
3980		
3979		
3978		
3977		
3976		
3975		
3974		
3973		
3972		
3971		
3970		
3969		
3968		
3967		
3966		
3965		
3964		
3963		
3962		
3961		
3960		
3959		
3958		
3957		
3956		
3955		
3954		
3953		
3952		
3951		
3950		
3949		
3948		
3947		
3946		
3945		
3944		
3943		
3942		
3941		
3940		
3939		
3938		
3937		
3936		
3935		
3934		
3933		
3932		
3931		
3930		
3929		
3928	-1.2147871446183274	
3927	-1.2543789100442098	
3926	-1.2860378955779197	
3925	-1.315525342145122	
3924	-1.315808658957252	
3923	-1.315404293482345	
3922	-1.3197999671079401	
3921	-1.32331187652224	
3920	-1.3150143391696645	
3919	-1.3064370528577456	
3918	-1.2810628316652526	
3917	-1.2617562691122828	
3916	-1.2371756170170443	
3915	-1.1992376359846446	
3914	-1.1652528597151104	
3913	-1.1322681261891034	
3912	-1.094658956813106	
3911	-1.0358289134463519	
3910	-0.9455091257560753	
3909	-0.8476620783530961	
3908	-0.7539471430781077	
3907	-0.6755278337429331	
3906	-0.6004151135551297	
3905	-0.5455326669016642	
3904	-0.4929227921054462	
3903	-0.4482093109280072	
3902	-0.40534193248771544	
3901	-0.37571139025968137	
3900	-0.35300162689688364	
3899	-0.3426651033549035	
3898	-0.3326324928226825	
3897	-0.31712143140592275	
3896	-0.3021655398516998	
3895	-0.2877463318438629	
3894	-0.26804050908697263	
3893	-0.24910674847981795	
3892	-0.23674491485769522	
3891	-0.2248319223978683	
3890	-0.21335285630419776	
3889	-0.21400678012278718	
3888	-0.22038860251592496	
3887	-0.2439944653940529	
3886	-0.30170855330320023	
3885	-0.34482966021718653	
3884	-0.37398770703640594	
3883	-0.38387629998976536	
3882	-0.3901549874387342	
3881	-0.38704930771623935	
3880	-0.36606554690075654	-0.513835694516181
3879	-0.3220564563375774	-0.5051381723776486
3878	-0.2798979372992676	-0.49498543355948815
3877	-0.25146054399542095	-0.4840724553506426
3876	-0.23614739672908058	-0.4730241305033518
3875	-0.25133449076287206	-0.4631974866602766
3874	-0.2597073230298861	-0.4542234166473875
3873	-0.2975672241463485	-0.4473483453593687
3872	-0.33955446882580986	-0.4426396564298244
3871	-0.3614025176452458	-0.439106808004529
3870	-0.3941171199427629	-0.43715861564149133
3869	-0.4070425608155972	-0.43585980626212584
3868	-0.41011197393686416	-0.43475371046300326
3867	-0.40678580287527666	-0.4335567233607065
3866	-0.40643132690587436	-0.43239993919983405
3865	-0.4058860521200529	-0.4312730985325407
3864	-0.4294331316926616	-0.43119515589891166
3863	-0.46383906801415264	-0.43257364545097576
3862	-0.4964402261985299	-0.4352625082807851
3861	-0.5090341167678218	-0.43835944873503874
3860	-0.520794628520747	-0.4418105465838289
3859	-0.5195479786949875	-0.4450563789080001
3858	-0.5180932045843747	-0.44809822259252957
3857	-0.5103245008564556	-0.450683539202605
3856	-0.508771668811562	-0.45309131472028163
3855	-0.5131586401845709	-0.45557557708862606
3854	-0.5170839872278918	-0.4581140017728817
3853	-0.5144256912472827	-0.46043319678950795
3852	-0.5116257898632739	-0.4625374181943446
3851	-0.5271510486916782	-0.46518829246200105
3850	-0.5601769963218146	-0.46907830687912916
3849	-0.5914137727215518	-0.47407955087232484
3848	-0.6270972243073061	-0.480324723573365
3847	-0.6670124455185942	-0.4879319314941242
3846	-0.7294964225350782	-0.49776021165770784
3845	-0.7825778187752803	-0.5093312733430396
3844	-0.8452287591636889	-0.5229582959010514
3843	-0.8860048390536406	-0.5376668232198298
3842	-0.9368784025764114	-0.5538195727681073
3841	-0.9942704806353504	-0.5716187558896014
3840	-1.0827145273097187	-0.5922481238205984
3839	-1.1914535980115772	-0.6164061480166193
3838	-1.2573007477254805	-0.6422165235782913
3837	-1.3132820318646452	-0.669213426099976
3836	-1.3598126470777459	-0.6969680187891961
3835	-1.434716143647961	-0.72658865116173
3834	-1.5117203227178777	-0.7580823089500872
3833	-1.5782022784420064	-0.7909499588516561
3832	-1.6408525088562556	-0.8249818946037152
3831	-1.699813025208897	-0.8599830969725892
3830	-1.7364429751765726	-0.8950216641327453
3829	-1.7705169651031838	-0.9299950311283733
3828	-1.8021335744260512	-0.9648088478125603
3827	-1.8313881483701664	-0.999376482968076
3826	-1.877201222153758	-1.034369108503631
3825	-1.9262481416236312	-1.0698989838787203
3824	-1.9972127023742132	-1.1068175326637368
3823	-2.0765015512398577	-1.1453999219957567
3822	-2.1825783674335923	-1.1866441912082224
3821	-2.2953028923078023	-1.230706691605076
3820	-2.408022974579609	-1.2774732109294156
3819	-2.5332901396296563	-1.3273327166180753
3818	-2.790303578930917	-1.3853885405202837
3817	-2.971098579178914	-1.448285661195976
3816	-3.1295200547539253	-1.5149418046505116
3815	-3.253862618501927	-1.583855316641077
3814	-3.332957146760606	-1.6531435924987041
3813	-3.3877705822608846	-1.7218311334614878
3812	-3.41936844900124	-1.7890243217667945
3811	-3.371809115633681	-1.851652301953137
3810	-3.3373429820065894	-1.9104177237702917
3809	-3.309062130516736	-1.965721367772795
3808	-3.261345035907084	-2.016934825344807
3807	-3.220460326674214	-2.0644929686443603
3806	-3.2051573128431414	-2.109553591350522
3805	-3.188899012165365	-2.1521795981882677
3804	-3.190790481221711	-2.1931855484782146
3803	-3.229075713233726	-2.2340732107701933
3802	-3.270312838700818	-2.2749642250579067
3801	-3.307989334084283	-2.3157183952561975
3800	-3.3422473776234085	-2.3562067458059612
3799	-3.3414003815688034	-2.395055955940779
3798	-3.332501384012204	-2.432014273476812
3797	-3.3222882608758937	-2.467105552986697
3796	-3.2980808363714686	-2.4998529302139123
3795	-3.286022569085617	-2.5308286218955325
3794	-3.2983266015432093	-2.561063039768632
