	macd	trigger
2439		
2438		
2437		
2436		
2435		
2434		
2433		
2432		
2431		
2430		
2429		
2428		
2427		
2426		
2425		
2424		
2423		
2422		
2421		
2420		
2419		
2418		
2417		
2416		
2415		
2414		
2413		
2412		
2411		
2410		
2409		
2408		
2407		
2406		
2405		
2404		
2403		
2402		
2401		
2400		
2399		
2398		
2397		
2396		
2395		
2394		
2393		
2392		
2391		
2390		
2389		
2388		
2387		
2386		
2385		
2384		
2383		
2382		
2381		
2380		
2379		
2378		
2377		
2376		
2375		
2374		
2373		
2372		
2371		
2370		
2369		
2368		
2367		
2366		
2365		
2364		
2363		
2362		
2361		
2360		
2359		
2358		
2357		
2356		
2355		
2354		
2353		
2352		
2351		
2350		
2349		
2348		
2347		
2346		
2345		
2344		
2343		
2342		
2341	0.18010818825904096	
2340	0.18965681586406902	
2339	0.192717113452467	
2338	0.19986027663635042	
2337	0.20384809324981035	
2336	0.20754172787724912	
2335	0.21640800109496894	
2334	0.22200864846586654	
2333	0.22997221150877323	
2332	0.23689200933102228	
2331	0.23840376867158852	
2330	0.24469545766602607	
2329	0.24613473606044067	
2328	0.249601948070854	
2327	0.25389237417917343	
2326	0.2545044576683537	
2325	0.2571953424733593	
2324	0.2568264738463597	
2323	0.260839047277706	
2322	0.26847353540370733	
2321	0.27392220324722416	
2320	0.27388692930424696	
2319	0.27371403730031574	
2318	0.2734100432739339	
2317	0.2701347722500742	
2316	0.26516284023491465	
2315	0.25399864880797196	
2314	0.2512421177139359	
2313	0.24848561438827232	
2312	0.245730454365507	
2311	0.2418254842212164	
2310	0.23913276003637662	
2309	0.23470773974176495	
2308	0.2355830394533598	
2307	0.2293318352983178	
2306	0.2232522833674082	
2305	0.21733939541737612	
2304	0.20750271842288015	
2303	0.19275117868722447	
2302	0.17506604185572883	
2301	0.15810480957862438	
2300	0.14007952697793513	
2299	0.1275195422700932	
2298	0.11252347506233917	
2297	0.09638672389142755	
2296	0.07680105722541697	
2295	0.05570479349750457	
2294	0.034953595100148505	
2293	0.019293923433394866	0.18311093392942418
2292	0.012076436822660241	0.17535422189340352
2291	0.0022038054882358438	0.1675494397974976
2290	-0.007218238472773919	0.15971764951114067
2289	-0.024571625198028357	0.15150513648733036
2288	-0.03274140945718074	0.14333820009628845
2287	-0.03992187028514138	0.13525629248547597
2286	-0.035353222604186385	0.12776886054978676
2285	-0.03698367009499037	0.12057208423828673
2284	-0.036715960565118166	0.11373192677194585
2283	-0.038249004405564335	0.10715068333142938
2282	-0.027629173691245512	0.1013380580236789
2281	-0.01868783636535909	0.09618189047168721
2280	0.003157879097358318	0.0922005936417506
2279	0.012502524681366367	0.08880180594185433
2278	0.020808437729996854	0.08591208659678697
2277	0.022656423828649963	0.08323252039959388
2276	0.018332991880726013	0.0804919382756953
2275	0.014197309271715142	0.07770085158124077
2274	0.009025000643298142	0.0748178316042888
2273	0.0034741790968553232	0.07183107368936371
2272	-0.012200422168000102	0.06832244035668208
2271	-0.024099963656531997	0.06447322452133995
2270	-0.04461912598375761	0.059940762133074255
2269	-0.05499743439650473	0.0551765292766742
2268	-0.06334289421516814	0.05027480706043025
2267	-0.08201206673460604	0.04481538671313103
2266	-0.10593039961563733	0.03860692662794726
2265	-0.12870580293543554	0.03172970073041167
2264	-0.1503787741416076	0.02425841849097253
2263	-0.1709885096230721	0.016262590204016217
2262	-0.1874906345749352	0.007932874986087978
2261	-0.20623117237836652	-0.0008078896074415945
2260	-0.22401357878747064	-0.009903142733873776
2259	-0.240254259172886	-0.019275196128811952
2258	-0.2562519225473139	-0.028902663851495765
2257	-0.2713907812177041	-0.038740162448205905
2256	-0.2844626719766481	-0.048695404585627454
2255	-0.297414723180772	-0.05875899258966454
2254	-0.3102462758637685	-0.06892191455842123
2253	-0.3161225339400744	-0.07889967766106808
2252	-0.3215697308039438	-0.08868334831826703
2251	-0.3390501686515037	-0.09876622569610422
2250	-0.35556206238121035	-0.10909709814500375
2249	-0.36179242420090674	-0.11925270741317151
2248	-0.35819854754449665	-0.12884639752093183
2247	-0.3545845474589058	-0.1379013373501105
2246	-0.35095314921971266	-0.14643973736951646
2245	-0.3479320329193598	-0.15450792454774068
2244	-0.3448698918749358	-0.16212413470380468
2243	-0.3505333163748787	-0.16965623962924606
2242	-0.3494957789230497	-0.17684028070984945
2241	-0.3483261210120858	-0.18368561125290986
2240	-0.3438948967543851	-0.1900763202465096
2239	-0.3457647465392384	-0.19628250988583915
2238	-0.3410919927907088	-0.20205129992314108
2237	-0.33645655207801184	-0.20740229038049424
2236	-0.3350030507469768	-0.21247934859864503
2235	-0.3334435729506069	-0.21728959225169675
2234	-0.331783704978001	-0.22184004306440996
2233	-0.32687920398816317	-0.2260125122812138
2232	-0.3220296859736962	-0.22982466730836754
2231	-0.3109286178562556	-0.23304315702137368
2230	-0.3064823958566478	-0.23595612128012342
2229	-0.2957672109781555	-0.23832746021439719
2228	-0.28665042929564066	-0.24024250170603612
2227	-0.2790647256709562	-0.24178039099136386
2226	-0.2628272495562669	-0.24261380184473288
2225	-0.23960045916921757	-0.2424945254671412
2224	-0.22490240191410749	-0.24179843641600532
2223	-0.21455674096253574	-0.24072091082751604
2222	-0.20710551294968838	-0.2393917280929549
2221	-0.1935469894934485	-0.23757957566558627
2220	-0.18050521673301745	-0.23532424286387416
2219	-0.18699957707342918	-0.2334152329577969
2218	-0.19310234592185083	-0.23182317784244166
2217	-0.1988281629033608	-0.23052048405739642
2216	-0.2016496008819928	-0.22938092026819326
2215	-0.20614586163452486	-0.228464042464106
2214	-0.2046078901065087	-0.2275228865474079
2213	-0.20621545382154238	-0.22668247890150695
2212	-0.18409378830555312	-0.22500307606102082
2211	-0.16415654989427253	-0.2226042321734768
2210	-0.1501371878579434	-0.2197478516172384
2209	-0.1283936504008878	-0.21614773191652098
2208	-0.1139475660965843	-0.21212096635636501
2207	-0.08734485256856317	-0.20720560075947628
2206	-0.05233717078355227	-0.20110587855018974
2205	-0.025276604402158398	-0.19418176507629495
2204	-0.005818054436169007	-0.18676526538761087
2203	0.026809310349342752	-0.1783574560373633
2202	0.05666118135901854	-0.1691068569680701
2201	0.08512612402019926	-0.1591014148542988
2200	0.1122524800293192	-0.14842366411730176
2199	0.1316916574054332	-0.13740263130962962
2198	0.15337739812457585	-0.1259634745201964
2197	0.17399752592685758	-0.11416460392616945
2196	0.19102918465898	-0.10216133161350972
