	macd	trigger
3355		
3354		
3353		
3352		
3351		
3350		
3349		
3348		
3347		
3346		
3345		
3344		
3343		
3342		
3341		
3340		
3339		
3338		
3337		
3336		
3335		
3334		
3333		
3332		
3331		
3330		
3329		
3328		
3327		
3326		
3325		
3324		
3323		
3322		
3321		
3320		
3319		
3318		
3317		
3316		
3315		
3314		
3313		
3312		
3311		
3310		
3309		
3308		
3307		
3306		
3305		
3304		
3303		
3302		
3301		
3300		
3299		
3298		
3297		
3296		
3295		
3294		
3293		
3292		
3291		
3290		
3289		
3288		
3287		
3286		
3285		
3284		
3283		
3282		
3281		
3280		
3279		
3278		
3277		
3276		
3275		
3274		
3273		
3272		
3271		
3270		
3269		
3268		
3267		
3266		
3265		
3264		
3263		
3262		
3261		
3260		
3259		
3258		
3257	-1.327703066734614	
3256	-1.3312788480738504	
3255	-1.3805021908279969	
3254	-1.4333210143863653	
3253	-1.5096319550684143	
3252	-1.5815386466095447	
3251	-1.642511223319957	
3250	-1.7334401589659478	
3249	-1.8461549188943422	
3248	-1.9187330399244615	
3247	-1.9937391798747512	
3246	-2.0913768191032887	
3245	-2.183350864721774	
3244	-2.242567370954646	
3243	-2.2498787953895203	
3242	-2.2694267076283836	
3241	-2.2937821080050753	
3240	-2.3158300239207392	
3239	-2.3218468181929097	
3238	-2.326401231544537	
3237	-2.3295597738973584	
3236	-2.317415047045074	
3235	-2.2767672286568654	
3234	-2.1878831468835642	
3233	-2.151089266406075	
3232	-2.1205009042670326	
3231	-2.119865267841135	
3230	-2.132273265438698	
3229	-2.1642025181071745	
3228	-2.2926999973373654	
3227	-2.4354113161126634	
3226	-2.577392881492244	
3225	-2.754253766072452	
3224	-2.914427697131657	
3223	-3.029974149442694	
3222	-3.1673298522012487	
3221	-3.3110838568833287	
3220	-3.432181374030506	
3219	-3.5459649200439003	
3218	-3.6527159303888084	
3217	-3.78156976498974	
3216	-3.888128340455239	
3215	-4.002299348763245	
3214	-4.145514285473837	
3213	-4.345480040885889	
3212	-4.548677122458628	
3211	-4.740249759846677	
