	macd	trigger
1248		
1247		
1246		
1245		
1244		
1243		
1242		
1241		
1240		
1239		
1238		
1237		
1236		
1235		
1234		
1233		
1232		
1231		
1230		
1229		
1228		
1227		
1226		
1225		
1224		
1223		
1222		
1221		
1220		
1219		
1218		
1217		
1216		
1215		
1214		
1213		
1212		
1211		
1210		
1209		
1208		
1207		
1206		
1205		
1204		
1203		
1202		
1201		
1200		
1199		
1198		
1197		
1196		
1195		
1194		
1193		
1192		
1191		
1190		
1189		
1188		
1187		
1186		
1185		
1184		
1183		
1182		
1181		
1180		
1179		
1178		
1177		
1176		
1175		
1174		
1173		
1172		
1171		
1170		
1169		
1168		
1167		
1166		
1165		
1164		
1163		
1162		
1161		
1160		
1159		
1158		
1157		
1156		
1155		
1154		
1153		
1152		
1151		
1150	-0.03511888165317245	
1149	-0.04033732599143747	
1148	-0.044745965509584096	
1147	-0.049462134950463366	
1146	-0.053928167485970846	
1145	-0.05597821449702067	
1144	-0.05681135500929102	
1143	-0.05921657867091312	
1142	-0.06257428709783142	
1141	-0.06574127503315452	
1140	-0.0632136507946015	
1139	-0.0618780013544864	
1138	-0.05946581760045788	
1137	-0.05880256213772839	
1136	-0.05814047459383076	
1135	-0.0563638916570639	
1134	-0.05408254078233554	
1133	-0.05188039192464089	
1132	-0.048069156193818685	
1131	-0.04666394729024148	
1130	-0.047558125328702516	
1129	-0.050649022270626176	
1128	-0.05753839787150383	
1127	-0.06237389408301297	
1126	-0.06638374372638722	
1125	-0.06789182326098597	
1124	-0.06929546320115065	
1123	-0.07117166040973899	
1122	-0.07349878057713255	
1121	-0.07740615048633259	
1120	-0.0828221565323588	
1119	-0.08736855061103554	
1118	-0.09108225840721929	
1117	-0.09399887860165279	
1116	-0.0984749075556266	
1115	-0.1015314664972955	
1114	-0.10381306080514108	
1113	-0.10885522225543198	
1112	-0.11244079213190972	
1111	-0.1099476558066037	
1110	-0.10751327456938853	
1109	-0.10396085255949927	
1108	-0.09993014709024806	
1107	-0.09485457692413135	
1106	-0.09232562395795796	
1105	-0.08750007983310581	
1104	-0.07988962527626953	
1103	-0.07673990532795472	
1102	-0.07250721112330183	-0.08094765281924293
1101	-0.06962146781259193	-0.08043399062214567
1100	-0.06742828805969125	-0.0798477565453728
1099	-0.0647044578171787	-0.07916914628370036
1098	-0.0632674587211497	-0.07846051678578682
1097	-0.06066719610689475	-0.07767180773604601
