	macd	trigger
1412		
1411		
1410		
1409		
1408		
1407		
1406		
1405		
1404		
1403		
1402		
1401		
1400		
1399		
1398		
1397		
1396		
1395		
1394		
1393		
1392		
1391		
1390		
1389		
1388		
1387		
1386		
1385		
1384		
1383		
1382		
1381		
1380		
1379		
1378		
1377		
1376		
1375		
1374		
1373		
1372		
1371		
1370		
1369		
1368		
1367		
1366		
1365		
1364		
1363		
1362		
1361		
1360		
1359		
1358		
1357		
1356		
1355		
1354		
1353		
1352		
1351		
1350		
1349		
1348		
1347		
1346		
1345		
1344		
1343		
1342		
1341		
1340		
1339		
1338		
1337		
1336		
1335		
1334		
1333		
1332		
1331		
1330		
1329		
1328		
1327		
1326		
1325		
1324		
1323		
1322		
1321		
1320		
1319		
1318		
1317		
1316		
1315		
1314	-0.012749856108619895	
1313	0.01196143203140565	
1312	0.03510691887487738	
1311	0.05886045063506273	
1310	0.08286215725608415	
1309	0.1042651352976165	
1308	0.12459811059725823	
1307	0.143903096102882	
1306	0.15240543266913775	
1305	0.16603532899508977	
1304	0.17755909935832648	
1303	0.1884489807920211	
1302	0.19163986118922693	
1301	0.19597119209670666	
1300	0.20573251661780745	
1299	0.2149312263796972	
1298	0.21782902424334338	
1297	0.2204803261720194	
1296	0.22435634243862523	
1295	0.22793723913773078	
1294	0.23123517819148987	
1293	0.23714663495833221	
1292	0.24702726975206346	
1291	0.26211734469604053	
1290	0.2763731144759696	
1289	0.28982669792614857	
1288	0.3054244533701471	
1287	0.32088886047040077	
1286	0.3347280347158694	
1285	0.35218501010708536	
1284	0.3612805507320367	
1283	0.3742176545510958	
1282	0.3863673910985419	
1281	0.3977603238191847	
1280	0.41138670240119524	
1279	0.4241762299791283	
1278	0.436161328448609	
1277	0.45034994446714904	
1276	0.4606752910417242	
1275	0.47029194292449006	
1274	0.4792278208251268	
1273	0.48451291572501276	
1272	0.49231115866227526	
1271	0.5002678999393524	
1270	0.5076055495206155	
1269	0.5196716373704184	
1268	0.5339415566780765	
1267	0.5442609095844837	
1266	0.5553163980219367	0.37893039237754284
1265	0.5655835339153477	0.38739543711424057
1264	0.5705051351388661	0.3956491353865289
1263	0.579506364149637	0.4038882518670752
1262	0.5878013035426868	0.4120839992024437
1261	0.5954181173738604	0.42021049120118464
1260	0.6023840001704244	0.42824448063250214
1259	0.6087252099937643	0.43616512430871096
1258	0.6175313611557307	0.44408762620861075
1257	0.6302536674616199	0.4521836327337572
1256	0.6405683664284183	0.46034127319112067
1255	0.6423656229014334	0.4681914027663063
1254	0.6514841981532946	0.47606544002217493
1253	0.6536268879832576	0.48366482021920537
1252	0.6630883176365501	0.4913164783340032
1251	0.6679012397486446	0.49882133380040744
1250	0.6745212366811444	0.5062641381282199
1249	0.6758175592408087	0.5134240526230057
1248	0.6767104501992094	0.5202986139337417
1247	0.67563452991185	0.5268196332263558
1246	0.67737234053779	0.5331224292617701
1245	0.6724606852152739	0.5389403293761038
1244	0.6690183690824227	0.5443578302041091
1243	0.666920645816397	0.5494499503151034
1242	0.6661700796704686	0.5542880449787428
1241	0.6635203575223052	0.5588056711817031
1240	0.6606526885542827	0.5630088522155001
1239	0.6567800469430125	0.5668708156824992
1238	0.6527484077162669	0.5704007300021917
1237	0.6454289580827641	0.5734788792662988
1236	0.6341713541016354	0.5759643811473338
1235	0.6231021363515659	0.5778914381413502
1234	0.6090714162665485	0.5791639993026546
