	macd	trigger
2699		
2698		
2697		
2696		
2695		
2694		
2693		
2692		
2691		
2690		
2689		
2688		
2687		
2686		
2685		
2684		
2683		
2682		
2681		
2680		
2679		
2678		
2677		
2676		
2675		
2674		
2673		
2672		
2671		
2670		
2669		
2668		
2667		
2666		
2665		
2664		
2663		
2662		
2661		
2660		
2659		
2658		
2657		
2656		
2655		
2654		
2653		
2652		
2651		
2650		
2649		
2648		
2647		
2646		
2645		
2644		
2643		
2642		
2641		
2640		
2639		
2638		
2637		
2636		
2635		
2634		
2633		
2632		
2631		
2630		
2629		
2628		
2627		
2626		
2625		
2624		
2623		
2622		
2621		
2620		
2619		
2618		
2617		
2616		
2615		
2614		
2613		
2612		
2611		
2610		
2609		
2608		
2607		
2606		
2605		
2604		
2603		
2602		
2601	2558.814359723765	
2600	2778.1843323736684	
2599	3012.607689076336	
2598	3180.1939109086525	
2597	3251.3648170720553	
2596	3322.9232566980645	
2595	3389.3813440718804	
2594	3396.2648484669626	
2593	3384.6360157377785	
2592	3388.319641486858	
2591	3417.656402339111	
2590	3471.4927340901922	
2589	3437.9352601138526	
2588	3437.5191050624708	
2587	3413.105028603575	
2586	3393.6763456169865	
2585	3412.578503517492	
2584	3428.8586554079666	
2583	3498.8192388670286	
2582	3541.207702874497	
2581	3489.5142240342684	
2580	3438.4544837492867	
2579	3439.0414509151014	
2578	3471.938100364525	
2577	3558.470578280452	
2576	3593.5399679545662	
2575	3642.3064918943564	
2574	3686.9627305948525	
2573	3813.77141878329	
2572	3990.2841296046972	
2571	4156.608914437238	
2570	4457.465254459064	
2569	4742.166676769964	
2568	5005.528498040629	
2567	5260.009676545742	
2566	5482.644433524692	
2565	5692.241327211261	
2564	5965.175779184967	
2563	6193.290926571586	
2562	6378.488382320269	
2561	6598.8684402490035	
2560	6794.0213439979125	
2559	6988.53562554071	
2558	7176.469157856249	
2557	7564.712504517054	
2556	7813.027591541933	
2555	8004.528904324106	
2554	8195.054009257175	
2553	8402.395157328865	5436.0340913417085
2552	8613.823671130522	5580.152377994151
2551	8823.115145496267	5726.329431858485
2550	8958.673841012933	5871.179119148072
2549	9161.162188565533	6017.791171576765
2548	9271.941933599883	6162.035082061292
2547	9193.175930477853	6295.710684396676
2546	9161.337003155728	6421.472615104655
2545	9114.276214514626	6539.100581606364
2544	9070.744591087103	6649.19695730492
2543	9030.609630934312	6752.319476795085
2542	8981.679710085853	6848.464672363429
2541	8851.900928488176	6934.529875783879
2540	8777.958806408511	7013.426040862981
2539	8739.245547975297	7087.024989865497
2538	8697.847785980674	7155.4849870361895
2537	8641.770769677358	7218.44537616581
2536	8602.07515744865	7276.873397620157
2535	8559.806274358649	7330.886474334533
2534	8484.654553308908	7379.321788568329
2533	8384.218040013977	7421.391149011728
2532	8339.009646496037	7459.70519797765
2531	8267.17084126349	7493.334593077416
2530	8194.38810948166	7522.461279600823
2529	8108.495573126886	7546.752628521333
2528	8028.50620566163	7566.676976297004
2527	7978.736459718901	7583.682487604019
2526	7927.160240546975	7597.828607182076
2525	7855.443932176509	7608.417632830496
2524	7795.286929564609	7616.084235160603
2523	7696.933652859356	7619.395212020849
2522	7599.124677524669	7618.566524377492
2521	7538.90589212178	7615.315302510481
2520	7508.454184968083	7610.960893279283
2519	7543.546058217878	7608.218056849515
2518	7585.558607044455	7607.297489142681
2517	7516.512717753591	7603.6144424398435
2516	7446.763340013917	7597.259751096472
2515	7425.999126797193	7590.3302677978
2514	7352.716772464919	7580.728003300157
2513	7123.681449246302	7562.280224914174
2512	6951.159245087067	7537.641806119198
2511	6764.255619409261	7506.495673912342
2510	6607.2981174389715	7470.321040467331
2509	6398.002411790192	7427.2254708982555
2508	6226.131405083812	7379.001470633758
2507	6033.918474048842	7325.04671995172
2506	5872.337707538565	7266.827028924771
2505	5721.344134614104	7204.942552210585
2504	5524.241631644429	7137.69922834579
2503	5345.786426492559	7066.063254339157
2502	5197.757445449301	6991.430135644012
2501	5041.256105451088	6913.583557584653
2500	4933.187280975806	6834.586037208725
2499	4833.7758745973115	6754.827974280421
2498	4705.002088061243	6673.168852837435
2497	4604.8032141621225	6590.822332761601
2496	4588.53831137385	6511.154213883141
2495	4583.239766959916	6434.4890818441345
2494	4582.123315394507	6360.868708650514
2493	4540.907900419086	6288.574429246975
2492	4537.050103389251	6219.033929279903
2491	4587.794252375083	6154.3006076093925
2490	4596.013010647614	6092.491196907516
2489	4576.241063851747	6032.376208319852
2488	4573.965450787917	5974.579322788448
2487	4550.479835508217	5918.165570070211
2486	4468.8084500712575	5860.774109463871
2485	4426.511948775733	5804.002074728569
2484	4345.879859923327	5746.306771152277
2483	4197.010907728516	5685.025492245422
2482	4059.085719576571	5620.734387284468
2481	3957.0382253955468	5554.971747333383
2480	3997.12590842566	5493.412390623826
2479	3919.1153826456284	5431.22161218429
2478	3753.756551738712	5364.974388860128
2477	3536.8213867965387	5292.796105010369
2476	3315.2189999458496	5214.739079681519
2475	3012.989003137569	5127.855899950469
2474	2786.5425886769663	5035.488076224388
2473	2632.5775697989156	4940.712493074742
2472	2516.0799499200075	4845.101786966394
2471	2403.582013517327	4748.846089988629
2470	2294.9598219689797	4652.123047267686
2469	2209.210517122061	4555.8518587530125
2468	2075.221156551852	4458.113090924707
2467	1939.876666328113	4358.910989572643
2466	1720.3691216150182	4254.988114945351
2465	1509.9559616185143	4146.889425399931
2464	1321.1011753886705	4035.6288348898224
2463	1146.5397825159016	3921.8938087780775
2462	998.49208398466	3806.825414313118
2461	882.2265241662972	3691.7266384280415
2460	751.6133016552776	3576.0334497894746
2459	600.9707118503284	3458.980716431406
2458	501.65198313159635	3342.6407218178247
2457	432.1897938832408	3228.1590598091425
2456	404.0733403295744	3117.0877628395806
2455	120.88384131388739	2999.260526145848
2454	-104.64776644925587	2877.2111639955524
2453	-396.7555289347074	2748.488483970996
2452	-739.4635929648648	2611.366429861022
2451	-1002.0871628024615	2469.3243582269197
2450	-1271.4842506780988	2322.289813090177
2449	-1476.6494265063666	2172.983828863879
2448	-1703.799807769945	2020.6315556933973
2447	-1932.5710660450277	1865.289005536544
2446	-2175.614183615311	1706.5128808354154
2445	-2419.317009550694	1544.4122049650741
2444	-2605.7162570173386	1381.3688476203272
2443	-2660.2115412025596	1222.6011642829899
2442	-2762.2626796011464	1066.0721338808298
2441	-2851.8122342496063	912.1841527460809
2440	-2935.81055908493	761.0507896199317
2439	-3053.0534763692995	611.2575194568967
2438	-3131.217030350119	464.28589858135905
2437	-3191.3338459095685	320.73314878602696
2436	-3330.7240031377296	177.35151284805193
2435	-3397.6759744041483	36.97823578835645
2434	-3434.067566593585	-99.30549166742401
2433	-3518.5413916801917	-233.5486523744844
2432	-3629.5527567928657	-366.8736433759751
2431	-3746.51560865622	-499.550470874836
2430	-3766.0025790380314	-627.7783477955777
2429	-3808.430448649102	-752.6330241464467
2428	-3892.0762888451573	-875.8652971056898
2427	-3950.5551901243743	-996.5513200581772
2426	-4023.6700163440546	-1115.3658560488193
2425	-4091.370663194626	-1232.1701568461915
2424	-3940.987658248516	-1338.4841958083578
2423	-3788.9547758675762	-1434.655740511758
2422	-3648.331207953219	-1521.5313409961946
2421	-3557.397346567479	-1601.426477979392
2420	-3481.668938139279	-1675.212279177689
2419	-3381.7564559226157	-1742.1798803729573
2418	-3265.2659870234784	-1801.946733575915
2417	-3197.594732399797	-1856.7114697232282
2416	-3124.8860051432857	-1906.4729996725353
2415	-3066.7873750113067	-1952.0011881991331
2414	-3042.0501441464294	-1994.771369944926
2413	-3029.785552164889	-2035.3812927917033
2412	-3100.531062475464	-2077.172765409553
2411	-3140.5889385081828	-2118.8954014331175
2410	-3177.192775908741	-2160.4164212879496
2409	-3210.480710318021	-2201.613680037712
2408	-3091.845811142819	-2236.5396229943653
2407	-2834.715680907364	-2260.0071130726888
2406	-2652.509809706069	-2275.405431192031
2405	-2457.8156352598453	-2282.561476337875
2404	-2206.0083083237405	-2279.558301108993
2403	-1996.8784891332616	-2268.4689505132465
2402	-1699.1570567818126	-2246.1355098507925
2401	-1355.857882057433	-2211.2114174177004
2400	-975.701800927287	-2162.745067447957
2399	-664.1460752316052	-2103.959007911073
2398	-211.03702132386388	-2029.7055699645105
2397	292.7767191930325	-1938.6028387931112
2396	702.2520274173585	-1835.0125970537756
2395	1034.4190320303896	-1722.4573610570235
2394	1350.919296401029	-1601.9034523880919
2393	1652.3016983040725	-1474.2577226557123
2392	1939.0979794069426	-1340.370563161896
2391	2218.302926342876	-1200.7846164056507
2390	2464.196383939474	-1057.0300646392625
2389	2684.6467592932167	-910.2684033498131
2388	2854.770854248025	-762.5915395627877
2387	2950.8403762130183	-616.939973992852
2386	3092.8618225968094	-471.4318417551863
2385	3207.3562364771497	-327.14114862240825
2384	3405.742014741467	-180.7296942599478
2383	3625.7421543783857	-31.432893408746747
2382	3840.320268788142	120.42342685441336
2381	4101.496213757317	276.5665147284849
2380	4231.892882606189	431.6989129040153
2379	4153.06572418951	577.6543556160455
2378	4101.6188596484135	715.866773714831
2377	3894.681882172008	840.541557366722
2376	3727.5880945763784	953.7724783380596
2375	3637.5427502376842	1059.030347987462
2374	3471.840442854911	1153.6606968516849
2373	3441.67169864045	1243.39604379836
2372	3320.2288617364247	1324.8486878660522
2371	3053.3141509320703	1392.6382199418383
2370	2913.8074676840915	1452.2974735348216
2369	2908.966516006738	1509.4268629386586
2368	2837.9166092372616	1561.5289804494935
2367	2671.2469219939085	1605.0509268999986
2366	2575.7069662723225	1643.118891471047
2365	2502.6592406859854	1676.828927124634
2364	2438.1314948239014	1706.6861176120321
2363	2251.8962894671713	1728.0684140425528
2362	2111.9400740579003	1743.1232229699556
2361	1970.768262907979	1752.05105965329
2360	1263.4642273165518	1732.8895952605442
2359	496.8019086991553	1684.4126600994714
2358	-235.18280852539465	1609.1300671733538
2357	-927.1931626010337	1509.6609025837336
2356	-1528.7207584275166	1390.5023404612048
2355	-2212.4815229696687	1249.2016322050652
2354	-2902.912469723611	1086.3656303329883
2353	-3521.3862753470894	905.660949713195
2352	-4025.375924075779	712.2781867998846
2351	-4478.312001797138	508.7167629625293
2350	-4862.78978368314	298.0606307923959
2349	-5285.700521896768	79.08079961990602
2348	-5660.592517827463	-146.0131249926657
2347	-6015.453449786117	-376.1957997091063
2346	-6416.003531718801	-613.0594524176252
2345	-6794.95962419908	-855.4952173217758
2344	-7120.609581250872	-1101.1940655332144
2343	-7447.212066309177	-1350.0653885238999
2342	-7768.053967487591	-1601.7588641907712
2341	-8109.233339357132	-1856.961393185918
2340	-8385.136606669752	-2112.9754463894938
2339	-8637.599569545127	-2368.849955737199
2338	-8932.571601525939	-2626.2574705080056
2337	-9157.437754545826	-2882.388560278469
2336	-9178.737287867989	-3129.310099336991
2335	-9233.29997622507	-3368.6877493112165
2334	-9300.07595440629	-3601.296341296041
2333	-9378.47434721404	-3827.8571449743536
2332	-9448.417204635974	-4048.275754919517
2331	-9516.756256128487	-4262.7301678076665
2330	-9544.510731975839	-4469.862712264033
2329	-9605.050855871814	-4671.246277741654
2328	-9657.831025010382	-4866.802015212604
2327	-9690.170028147462	-5055.956856570708
2326	-9800.540146971762	-5242.021927749794
2325	-10167.44289018889	-5435.178664601191
2324	-10505.823840054509	-5634.030436253114
2323	-10816.80651797523	-5837.279445493639
2322	-11114.486703439732	-6044.2315754069705
2321	-11405.820534940343	-6254.49272425492
2320	-11664.926014860452	-6466.669253039973
2319	-11860.611227515794	-6678.198950839939
2318	-12021.684947635513	-6887.749859373037
2317	-12182.167572606064	-7095.376404369856
2316	-12394.047462987539	-7303.169657997778
2315	-12550.780777114152	-7508.960452875316
2314	-12700.339991513232	-7712.545982594454
2313	-12842.974277748726	-7913.741165548987
2312	-12978.925055652857	-8112.377645810862
2311	-13108.426220931928	-8308.302842119123
2310	-13251.223850964918	-8502.14451929406
2309	-13374.104738648224	-8693.203333602205
2308	-13510.446404986666	-8882.116299851314
2307	-13614.016320221475	-9067.682396934206
2306	-13692.760995222954	-9249.059333958356
2305	-13734.75639997545	-9424.9702395294
2304	-13780.699073926138	-9595.78427011891
2303	-13817.37047304574	-9761.337727254477
2302	-13910.249468085065	-9924.04114654928
2301	-13926.573271525267	-10081.00411577793
2300	-13967.438689281116	-10233.414177790171
2299	-14064.245635785075	-10383.64367975999
2298	-14214.394537997985	-10533.86998888569
2297	-14311.246605329332	-10682.00314918264
2296	-14435.279036556778	-10829.191149113576
