	macd	trigger
4943		
4942		
4941		
4940		
4939		
4938		
4937		
4936		
4935		
4934		
4933		
4932		
4931		
4930		
4929		
4928		
4927		
4926		
4925		
4924		
4923		
4922		
4921		
4920		
4919		
4918		
4917		
4916		
4915		
4914		
4913		
4912		
4911		
4910		
4909		
4908		
4907		
4906		
4905		
4904		
4903		
4902		
4901		
4900		
4899		
4898		
4897		
4896		
4895		
4894		
4893		
4892		
4891		
4890		
4889		
4888		
4887		
4886		
4885		
4884		
4883		
4882		
4881		
4880		
4879		
4878		
4877		
4876		
4875		
4874		
4873		
4872		
4871		
4870		
4869		
4868		
4867		
4866		
4865		
4864		
4863		
4862		
4861		
4860		
4859		
4858		
4857		
4856		
4855		
4854		
4853		
4852		
4851		
4850		
4849		
4848		
4847		
4846		
4845	-0.10214082490658427	
4844	-0.1032133044356982	
4843	-0.09608941413261363	
4842	-0.09060880799081872	
4841	-0.08534294758190697	
4840	-0.08164381595204162	
4839	-0.08080575931323608	
4838	-0.08680218889116276	
4837	-0.09109950032527081	
4836	-0.09377272675803994	
4835	-0.09213821508962639	
4834	-0.10296596558049487	
4833	-0.11738584314660017	
4832	-0.13384431066067037	
4831	-0.1466785935138546	
4830	-0.15883623854020357	
4829	-0.15356519078467556	
4828	-0.15126546636880533	
4827	-0.14618689483523895	
4826	-0.1454945759974322	
4825	-0.1405275488493487	
4824	-0.1357204692280689	
4823	-0.1310681294498437	
4822	-0.12230485384640843	
4821	-0.10107757631259773	
4820	-0.07507954017449947	
4819	-0.050249156347433654	
4818	-0.02367991056873109	
4817	-0.001198729204283211	
4816	0.020242829791101258	
4815	0.040682707435479415	
4814	0.06593059903244125	
4813	0.08997923473403802	
4812	0.10997511376224622	
4811	0.13189578948684044	
4810	0.16437118672179452	
4809	0.20400688325081262	
4808	0.25046938875695446	
4807	0.2946671212049097	
4806	0.3352187193086422	
4805	0.3810696518997787	
4804	0.42168264847452974	
4803	0.46315975367882345	
4802	0.5054458316148072	
4801	0.5455353572847628	
4800	0.5864665618021689	
4799	0.6237428943121301	
4798	0.6604774828901014	
4797	0.6892527801453525	0.2061406264869921
4796	0.7074353515374554	0.22887521449800233
4795	0.7154881779898119	0.2508093699216289
4794	0.7198252767661444	0.27182718202353967
4793	0.7265859334687548	0.2920926704781955
4792	0.7386520824356495	0.31188692113066613
4791	0.7527872059560394	0.3313309569215673
4790	0.7628933700053011	0.3502706637267127
4789	0.7661414402929552	0.36843687302088196
4788	0.741778300757403	0.38467278057264936
4787	0.7211622452984585	0.3992438130394996
4786	0.6965965745515348	0.41206768913697583
4785	0.6803466692407483	0.42359263031016015
4784	0.661468550847502	0.4337733850890808
4783	0.646141955911915	0.4428300121287646
4782	0.6281547061603447	0.45070631488513185
4781	0.6045992426368372	0.4572253563297227
4780	0.5726963607288553	0.4621014745035686
4779	0.526749564630947	0.46482323985450813
4778	0.4811061697615884	0.46550679909060466
4777	0.4418697550991624	0.46451724885388923
4776	0.39199005935267905	0.46148896389938115
4775	0.34112815073483205	0.4564761669165046
4774	0.29852505969292054	0.4499137686423711
4773	0.27301596344470624	0.4425812859586804
4772	0.233207577291779	0.43392201535954034
4771	0.19202537542072662	0.423939048794986
4770	0.15569063394006832	0.4128912469485821
4769	0.1301510584222143	0.4012694883897331
4768	0.10570756076536725	0.3891436025293073
4767	0.0915608793433762	0.3769568788827784
4766	0.07647008983400383	0.36467256101619544
4765	0.06048437621542746	0.35225760459285194
4764	0.04828310304661443	0.33987115940097257
4763	0.04279374190662111	0.32778428323458525
4762	0.03134535275280825	0.31574109115368815
4761	0.011113366867917307	0.303382651314533
4760	-0.011302732766907297	0.2906334359428919
4759	-0.02959204761779688	0.27767659224795577
4758	-0.048586319853853865	0.26449189171828313
4757	-0.06824507097337573	0.2510616236326441
4756	-0.08075692716094807	0.23768377425704695
4755	-0.09265843580392641	0.22438009451092383
4754	-0.09774364802522939	0.2114210865306509
4753	-0.0994313665911335	0.1989281920112727
4752	-0.09631360806554312	0.18707421566568086
4751	-0.09172784559761737	0.17589074539411256
4750	-0.09042668820511324	0.16521763841484163
4749	-0.08288765347101901	0.15528296607721917
4748	-0.0662662602959756	0.1464189818913897
4747	-0.050366577145169344	0.13855201136835726
4746	-0.03516392449385819	0.13161258956773314
4745	-0.03317018492793977	0.12503483039392949
4744	-0.03752209998759781	0.11855047442349088
4743	-0.038518859131684735	0.11228923783848178
4742	-0.04573065190849945	0.10599418348581353
4741	-0.05416213041559104	0.09961798245474235
4740	-0.05746653327081219	0.09336780628637088
4739	-0.05744531331461644	0.08737059632413617
4738	-0.04795222836958146	0.08199232976576573
4737	-0.045165314266142786	0.07694124833348388
4736	-0.04563333500696842	0.07207468857013229
4735	-0.04920987342613614	0.06726169102199236
4734	-0.055753541807703755	0.062382297087661936
4733	-0.05881431568371909	0.05757719743109548
4732	-0.061705701819263936	0.05285001063668782
4731	-0.06443390736764343	0.04820396869424008
4730	-0.07016674982043014	0.04351673989821792
4729	-0.0756028699991873	0.03880165864172957
4728	-0.08708304319169713	0.03382062480646863
4727	-0.11066298841332411	0.02810567983809722
4726	-0.1220253375140743	0.022169365863416373
4725	-0.13122344034380262	0.01610604966616157
4724	-0.1431070060591253	0.009814635557379407
4723	-0.15437659109382196	0.0033284514722719855
4722	-0.1872733418729382	-0.004198882400406096
4721	-0.2249291107156921	-0.01291365028667118
4720	-0.2734648867142653	-0.023197878602829923
4719	-0.31329619274711007	-0.034645437631434746
4718	-0.35115497081780234	-0.04713214610749114
4717	-0.41733165596671284	-0.06173355316563997
4716	-0.5089258045420877	-0.07936771675920991
4715	-0.594500840697826	-0.09967658274516845
4714	-0.6663231089926995	-0.12201167499463322
4713	-0.7249770357577958	-0.1457735539802833
4712	-0.7869647097867016	-0.17103698132370748
4711	-0.8584822444683624	-0.19811784394739737
4710	-0.9326842550336281	-0.2270498286817628
4709	-1.0030304618343209	-0.2576077547354727
4708	-1.0728519745423952	-0.2897066047838829
4707	-1.1389442485864336	-0.3231386187654509
4706	-1.2078315502684376	-0.3579611319900885
4705	-1.2665709602299202	-0.3937198404201202
4704	-1.3203863345051872	-0.43018408149692905
4703	-1.3726708621742816	-0.46726587221860993
4702	-1.42506691363851	-0.5049453384020459
4701	-1.471143651825976	-0.5429504419030534
4700	-1.53676990747325	-0.5820373634625097
4699	-1.5906123315596616	-0.6217000848933139
4698	-1.645987563443434	-0.6619762856154221
4697	-1.6915854886540629	-0.7024574720243348
4696	-1.750257940137189	-0.743649710138812
4695	-1.8181786913312123	-0.7858886149996177
4694	-1.8836725805639674	-0.8290376191082269
4693	-1.943608994533001	-0.872842525084014
4692	-1.9982091376053575	-0.917067887559146
4691	-2.0348502989225707	-0.9609915582930568
4690	-2.0687716224799857	-1.0045187148171124
4689	-2.0904466057537263	-1.0471839845310815
4688	-2.1036302719273294	-1.0886878924532954
4687	-2.1183378300754185	-1.1291362120504496
4686	-2.134492992825649	-1.1686275292618273
4685	-2.148808121457783	-1.2071273925317778
4684	-2.167789048943874	-1.2448582206208871
4683	-2.1687059535971684	-1.2811409657700503
4682	-2.17167446301805	-1.3161133215717078
4681	-2.179817345964537	-1.3500301664234557
4680	-2.208985073553002	-1.3837587176995676
4679	-2.2356812189930224	-1.4172094124799233
4678	-2.2567851276751867	-1.4501736873591669
4677	-2.27253955643598	-1.4824607236300682
4676	-2.2847892663281044	-1.5139596389571377
4675	-2.2952975535942386	-1.5446331353758715
4674	-2.3009162941280934	-1.5743217946877148
4673	-2.2986419213332994	-1.6027545663707565
4672	-2.2968912126354155	-1.630001447250991
4671	-2.3085361992522166	-1.6566349171303492
4670	-2.3313515549366386	-1.6831175735073458
4669	-2.353532145890185	-1.709430469636922
4668	-2.358968216754917	-1.7349231362040687
4667	-2.353255546310706	-1.7591903049283286
4666	-2.349809211458023	-1.782369119039474
4665	-2.3533690071789763	-1.8047773296758585
4664	-2.3571600206671093	-1.8264543209610118
4663	-2.35955581714434	-1.8473741007589783
4662	-2.3590042049247444	-1.867450786637977
4661	-2.35079542277834	-1.8864170600025736
4660	-2.3498151747569125	-1.9046002031912692
4659	-2.34604524587899	-1.9219215374389387
4658	-2.3379989058389654	-1.938247138752244
4657	-2.3226432582438505	-1.9533293444102116
4656	-2.3035497563525524	-1.9670703479502545
4655	-2.28089797576105	-1.9793832281005868
4654	-2.2597100891364263	-1.9903815140678738
4653	-2.2383140739502565	-2.000108672612995
4652	-2.2167304558451946	-2.008607265036237
4651	-2.199829804235918	-2.0161092587754665
4650	-2.1825567090657856	-2.022639177707763
4649	-2.164937041837703	-2.0282215953420994
4648	-2.1405253533851294	-2.032627263624866
4647	-2.1177316826207857	-2.035965856263997
4646	-2.099730285132125	-2.038467260334739
4645	-2.086312792774777	-2.0403441600178054
4644	-2.0788962900734234	-2.041856476071372
4643	-2.0723563780429544	-2.0430529062454768
4642	-2.053706828140946	-2.0434708264418493
4641	-2.0332210003741054	-2.043068762170719
4640	-2.0109929513371867	-2.0418105555798363
4639	-1.9887326240474437	-2.0397285407831447
4638	-1.964833587598136	-2.0367907689600524
4637	-1.947480666537821	-2.033287593017462
4636	-1.9331458133075756	-2.029359582109044
4635	-1.9216992880968249	-2.0251366984665653
4634	-1.9097755965906273	-2.0206117954752836
4633	-1.8909216997657907	-2.0155248959928453
4632	-1.8589808898933242	-2.00938474013158
4631	-1.824287884516174	-2.002124704828947
4630	-1.7772616792065037	-1.993304988665752
4629	-1.718487365706622	-1.9825259971993752
4628	-1.6614972691481142	-1.9699345816877898
4627	-1.5948919845419667	-1.9552247238027705
4626	-1.535355638516485	-1.9387567901270462
4625	-1.487461686728139	-1.9210563825336513
4624	-1.4393548638873028	-1.9021635011776938
4623	-1.391069746341266	-1.8821179321603423
4622	-1.3442611981292387	-1.8610228048637731
4621	-1.3086176263176057	-1.839357186143075
4620	-1.2820276147377143	-1.8174985358437339
4619	-1.2576045726140208	-1.7955394112434728
4618	-1.2303958269252746	-1.7733744946359988
4617	-1.197297471470982	-1.7507808657149375
4616	-1.1748193986925273	-1.728191861937224
4615	-1.1446415678293178	-1.7053053176437143
4614	-1.103884536832716	-1.6817179916891911
4613	-1.056296388647759	-1.6571894589477432
4612	-1.0087042597245883	-1.6317564797711257
4611	-0.9595099692716786	-1.6053916932463825
4610	-0.8828419887813226	-1.5770541612734867
4609	-0.8157011051442282	-1.5471949013905433
4608	-0.7398320461101875	-1.5155312927475242
4607	-0.6621649950102082	-1.4820635915123324
4606	-0.603927642497041	-1.4476245581015823
4605	-0.5350410416814242	-1.4118346432555557
4604	-0.47550990006538285	-1.375113732990991
4603	-0.4216916907478421	-1.3377223901069493
4602	-0.37984975676685906	-1.3001565921513685
4601	-0.3380929560769559	-1.2624265169626132
4600	-0.3143035126296141	-1.2252432442482792
4599	-0.29468287767792134	-1.1887488152262529
4598	-0.26768201581878515	-1.1526267744078287
4597	-0.24826947489558648	-1.1171601085977434
4596	-0.23448550153757708	-1.0825438486435655
4595	-0.22445655774744466	-1.0488919007214803
4594	-0.21476785702413537	-1.0161797848058587
4593	-0.20703352720700252	-0.9844472829961215
4592	-0.20766725424618215	-0.953984144144562
4591	-0.20978876254223877	-0.9247989281836394
4590	-0.21820362680013972	-0.8970883202473364
4589	-0.2261214267542755	-0.8707749914116693
4588	-0.22868586426254467	-0.8455941966447099
4587	-0.23588942927138135	-0.821683449453105
4586	-0.2507672796724023	-0.7992938996247497
4585	-0.2583359891071879	-0.7780792444815219
4584	-0.2621748825498429	-0.7578471332951177
4583	-0.26082656442751784	-0.7383556052324702
4582	-0.26753054320960956	-0.7198913991543722
4581	-0.27378971564864685	-0.7023967802071641
4580	-0.28449740968299153	-0.6860081778273018
4579	-0.29131798127244934	-0.670529775401226
4578	-0.27654385342801646	-0.6550790061372437
4577	-0.27530400980712955	-0.6401855532615768
4576	-0.28048000551701335	-0.6260791660009105
4575	-0.28202264036443836	-0.6125864891614495
4574	-0.27196777852213216	-0.5992286414873518
4573	-0.25735217598314364	-0.5858214790522566
4572	-0.24977224293443356	-0.572642848882266
4571	-0.23915593630065501	-0.5595647126348939
4570	-0.23215094560215022	-0.5467247513276049
4569	-0.2237183701402472	-0.5340576394100417
4568	-0.22205791686839405	-0.5218221751967982
4567	-0.21710532568452123	-0.5098723250034467
4566	-0.22202233486161305	-0.4985839359666725
4565	-0.22659961550486685	-0.4879177442610881
4564	-0.2194666185725822	-0.4773901164468928
4563	-0.21254448804637605	-0.4670038875989921
4562	-0.20094825909494318	-0.4565702121468992
4561	-0.18814962730182572	-0.4460437970327098
4560	-0.17258362829585394	-0.4353197536695998
4559	-0.1543844373279768	-0.42430256875501904
4558	-0.14018739635975663	-0.41316068682501667
4557	-0.11843193855964529	-0.401602586600671
4556	-0.08296754727879119	-0.3891069805037905
4555	-0.040943634428295184	-0.37545339589557253
4554	-0.013827035093314066	-0.36127185017328983
4553	0.00880734111380832	-0.346758822910353
4552	0.04667227021941045	-0.3313300322688186
4551	0.0892937166012473	-0.3148348596991989
4550	0.11691166568948574	-0.29790350152189293
4549	0.1367025786551892	-0.2808600079454273
4548	0.1327445814848076	-0.26464011233737533
4547	0.1321515905792694	-0.24907955404887783
4546	0.12826303647974413	-0.23428171462502104
4545	0.12448494742527316	-0.2202123508379649
4544	0.12894897914205927	-0.20651967212484718
4543	0.13314235099245053	-0.19319952031694665
4542	0.13219421024669487	-0.1804389151603632
4541	0.12796638258727455	-0.1683445290171326
4540	0.12061052712094522	-0.15701290350940839
4539	0.10701885312969495	-0.14665866897130675
4538	0.08422839184100894	-0.13760423409857586
4537	0.05267021350098133	-0.1301424591219603
4536	0.02415043612334955	-0.1240917324683576
4535	-0.0047089425512680805	-0.11941003593717842
4534	-0.025741378814601035	-0.11573674132329675
4533	-0.05556497457553178	-0.11337705559071105
4532	-0.08074549808760167	-0.11209738218535734
4531	-0.0965996140994676	-0.11148962452821878
4530	-0.11005333929748673	-0.11143329943503519
4529	-0.12283639738213736	-0.1118804811363047
4528	-0.1366000491042314	-0.112849878852849
4527	-0.1415282332402441	-0.11397452342748039
4526	-0.15266757704513623	-0.11549190226114596
4525	-0.16484696759162176	-0.11742740014436896
4524	-0.17475780506971006	-0.11967565703779283
4523	-0.18575322543058093	-0.12226694056372295
4522	-0.19289566819836068	-0.1250367010934279
4521	-0.19798451734980205	-0.12789740622508344
4520	-0.19948322000027474	-0.1307046991258033
4519	-0.19267206211299026	-0.13313479685364327
4518	-0.1893261433350233	-0.13533838347847776
4517	-0.177896345203159	-0.13700732636291224
4516	-0.16363981410872697	-0.13805173957645464
4515	-0.15320318979846803	-0.13864591514956795
4514	-0.15292822983920473	-0.1392060068768335
4513	-0.15584139108673867	-0.13985837595392148
4512	-0.1585405534710489	-0.1405910115196515
4511	-0.17080001242287324	-0.14177568001347726
4510	-0.17915622276319	-0.14324158578086887
4509	-0.1968042579803182	-0.1453420856624632
4508	-0.20703435598318976	-0.14776139362616206
4507	-0.21669019140630041	-0.15046448721890127
4506	-0.23067610817263073	-0.1536100448767704
4505	-0.23902097254133992	-0.1569594970052835
4504	-0.248488616086604	-0.16054887832694367
4503	-0.24925629471387367	-0.16402760435856448
4502	-0.2498591177051921	-0.16739354960998276
4501	-0.25193208479535656	-0.17070878964478992
4500	-0.2521514789107968	-0.17390262370721965
4499	-0.2522295045670617	-0.17697426896836296
4498	-0.2554282369123797	-0.18005089792848492
4497	-0.2550923622449801	-0.18299370299285506
4496	-0.24975532376429044	-0.18561180794117393
4495	-0.23964788303401718	-0.18773087139932437
4494	-0.22987641301320139	-0.18938363900340413
4493	-0.22043068698253165	-0.1906011711929437
4492	-0.21455658224039809	-0.19154059974156393
4491	-0.2169780831947392	-0.19253814879012132
4490	-0.21917613534099445	-0.19358277639568328
4489	-0.21953184562143946	-0.19460038759186304
4488	-0.2197569611557526	-0.19558692048303175
4487	-0.22148527325198586	-0.1966025427483193
4486	-0.22139142619077035	-0.197574656365301
4485	-0.22281448490560507	-0.19856445409201126
4484	-0.22894052236362228	-0.1997556730673466
4483	-0.23629596428158806	-0.20118862637100915
4482	-0.24482093370164648	-0.20289969805786304
4481	-0.2495736442567278	-0.20473004972285203
4480	-0.26049170337083893	-0.20691678219538123
4479	-0.2740323009908465	-0.2095487644312127
4478	-0.2916968615595792	-0.2127702597375848
4477	-0.31491622081435366	-0.21677598525605507
4476	-0.33528479094974983	-0.22142339113389187
4475	-0.3610622231618308	-0.22689942572433702
4474	-0.3708236388762245	-0.23254351445741606
4473	-0.37831870914101273	-0.23826019064936013
4472	-0.38527493362752097	-0.24402547651964956
4471	-0.4210188501369174	-0.2509663952510913
4470	-0.45002940277640135	-0.2587727899928265
4469	-0.4758546602623923	-0.26728580691230674
4468	-0.5002544983549058	-0.27642183650141505
4467	-0.5200249608686747	-0.28597490268728637
4466	-0.5369949275368313	-0.29581882769084017
4465	-0.5561676221059813	-0.30602858678637035
4464	-0.570920092899911	-0.3164164913836542
4463	-0.5847024598725028	-0.3269375120880373
4462	-0.6024362142771906	-0.3377413850631745
4461	-0.6190475108062969	-0.34877300009483325
4460	-0.6394633483728356	-0.36017262383717685
4459	-0.6553588141144218	-0.3717485550543145
4458	-0.6669317177454062	-0.38332436745681053
4457	-0.6711167507978715	-0.394610345242065
4456	-0.6763894645295778	-0.4056605086340281
4455	-0.6794411502523658	-0.4163970061119551
4454	-0.6787432873294961	-0.426685097162536
4453	-0.6793517789876375	-0.4365935959612827
4452	-0.6812067494492169	-0.446186270016533
4451	-0.6891350233952238	-0.4557136734166074
4450	-0.6914580960429362	-0.46495855395360103
4449	-0.690058527021769	-0.47378600499552725
4448	-0.6981325355686181	-0.4825839092255156
4447	-0.7038464163066251	-0.49126087130167256
4446	-0.7105612561974581	-0.49986088736136625
4445	-0.7247408572508789	-0.5086797106614512
4444	-0.7395245417705993	-0.5177324500747315
4443	-0.7532488239700186	-0.5269683872257761
4442	-0.770839594836616	-0.5365319649099646
4441	-0.7839701534595278	-0.5462354241765658
4440	-0.7977217768145337	-0.5560976349550838
4439	-0.8104307263650554	-0.5660714825235018
4438	-0.822137919937262	-0.5761133044173578
4437	-0.8296264000908238	-0.5860549952226202
4436	-0.8265715324503091	-0.5954870170003188
4435	-0.8199687064045094	-0.6042902211429957
4434	-0.811611402012133	-0.6124204640949263
4433	-0.7934425665975411	-0.6195193705493244
4432	-0.7789452742987137	-0.6257713671757893
4431	-0.7598182470405348	-0.6310281078865836
4430	-0.7541937246700954	-0.6358581323601455
4429	-0.7516892518147529	-0.6404005294598994
4428	-0.7440223985043914	-0.6444641323896217
4427	-0.7379457283637834	-0.6481300775222889
4426	-0.7350182073485882	-0.6515374553344455
4425	-0.731841169012192	-0.6546866207293615
4424	-0.7219144135322253	-0.6573230048836299
4423	-0.7104357917667272	-0.6594058593644024
4422	-0.6958537267899416	-0.6608351875601863
4421	-0.6766889986994116	-0.6614569056697579
4420	-0.6580454921027084	-0.6613231247402507
4419	-0.6366525132437459	-0.6603556497427141
4418	-0.6061332723449127	-0.6582292819237261
