	macd	trigger
4027		
4026		
4025		
4024		
4023		
4022		
4021		
4020		
4019		
4018		
4017		
4016		
4015		
4014		
4013		
4012		
4011		
4010		
4009		
4008		
4007		
4006		
4005		
4004		
4003		
4002		
4001		
4000		
3999		
3998		
3997		
3996		
3995		
3994		
3993		
3992		
3991		
3990		
3989		
3988		
3987		
3986		
3985		
3984		
3983		
3982		
3981		
3980		
3979		
3978		
3977		
3976		
3975		
3974		
3973		
3972		
3971		
3970		
3969		
3968		
3967		
3966		
3965		
3964		
3963		
3962		
3961		
3960		
3959		
3958		
3957		
3956		
3955		
3954		
3953		
3952		
3951		
3950		
3949		
3948		
3947		
3946		
3945		
3944		
3943		
3942		
3941		
3940		
3939		
3938		
3937		
3936		
3935		
3934		
3933		
3932		
3931		
3930		
3929	0.03868409661572514	
3928	1.19597360795251	
3927	2.83676213875151	
3926	4.397754791954867	
3925	7.780787900074756	
3924	10.726892267365656	
3923	12.436698109391727	
3922	16.24660634807333	
3921	19.045327600166274	
3920	21.702000820426292	
3919	24.4977496440506	
3918	26.872924870567658	
3917	29.67649255721335	
3916	33.166038004235816	
3915	37.30976616982116	
3914	41.51913204648736	
3913	44.39162199769362	
3912	47.66768959278306	
3911	50.2045174459754	
3910	50.90794732606173	
3909	51.55267368298155	
3908	52.70678482161475	
3907	54.34724937727333	
3906	55.883801793409475	
3905	56.75127509007143	
3904	58.69059295138504	
3903	59.938496418955765	
3902	61.098119584776214	
3901	62.173010486673775	
3900	63.166587836300096	
3899	65.23455458872377	
3898	65.4419173353026	
3897	65.60647562229224	
3896	67.46856550917255	
3895	68.629987391334	
3894	69.12144351092775	
3893	70.13780397573464	
3892	71.07176833756785	
3891	71.92667821981104	
3890	72.12008234162113	
3889	72.26797750900823	
3888	72.37238175903076	
3887	72.4352400615835	
3886	72.45842694528801	
3885	71.85326014976908	
3884	71.83076150073248	
3883	72.36513475540505	
3882	70.46533300878491	
3881	68.61674197500633	59.672421032234595
3880	66.22291962191412	59.96949754084552
3879	63.90500477684691	60.14689114492429
3878	61.063937285164684	60.18798634699116
3877	58.32177592932203	60.104822107593805
3876	55.67534809265908	59.90848066553149
3875	53.12158200894555	59.60917330527396
3874	50.65750338654925	59.21631702646687
3873	48.280232158812396	58.738603232280695
3872	45.98697935513701	58.18405939914808
3871	43.7750440876016	57.5601045597567
3870	41.64181064814602	56.87359932009561
3869	38.9808170367678	56.10494698974836
3868	37.02607915354474	55.28839828460385
3867	35.141667182880155	54.42922487231336
3866	33.93145054122124	53.558069102667986
3865	31.54543065558937	52.625594138173014
3864	28.644568792941755	51.6129216138296
3863	25.861352386301405	50.52874838121428
3862	22.58286729493375	49.355577137685394
3861	19.442276863853294	48.10327531104301
3860	16.434873815325773	46.78099956256386
3859	13.55610093069481	45.39724626911845
3858	10.801546252085245	43.959897927122654
3857	6.942465923012605	42.42551100320611
3856	3.2555837837699073	40.805522508464705
3855	-0.8785694706793947	39.08523860288064
3854	-4.824051816213796	37.2768359697142
3853	-7.35805097273078	35.44216265337296
3852	-9.772947963998377	33.587142709093875
3851	-14.536479534764112	31.61636537740913
3850	-19.69225823504894	29.518797481836884
3849	-25.220386863740714	27.28470483045788
3848	-30.484083637186814	24.930724715297107
3847	-35.492706570344126	22.472340171437782
3846	-40.255314313532836	19.92395291839078
3845	-44.780675506658554	17.29895133791838
3844	-51.55629334479181	14.509338637953483
3843	-57.99733781217947	11.575600625732985
3842	-64.11574337033835	8.51681684657876
3841	-69.92306266477954	5.350746561147337
3840	-77.91763788005119	1.993634964645286
3839	-85.50875170226846	-1.530297774749981
3838	-92.08810942444507	-5.173430052442114
3837	-98.94435475939827	-8.94200340479589
3836	-105.43814846621399	-12.816329535788313
3835	-111.5826443731321	-16.778101341961086
3834	-117.39057401374703	-20.8103108363307
3833	-122.87425964131262	-24.897172028021206
3832	-128.04562683600943	-29.024048421038376
3831	-132.91621671885378	-33.177384822217064
3830	-137.49719778540157	-37.34464317258473
3829	-139.2922190806753	-41.414161996556814
3828	-139.67975727146586	-45.33395242268047
3827	-140.60560509463085	-49.1317552383036
3826	-141.41719077014204	-52.808139480583336
3825	-142.11927874907542	-56.36382682389018
3824	-143.34526833742666	-59.82469838291973
3823	-144.44190430147455	-63.18957241810878
3822	-145.41449022579673	-66.45751725085049
3821	-145.0083011430047	-69.5777890129577
3820	-145.80664240771375	-72.60429141359786
3819	-146.493751805559	-75.53648480941384
3818	-147.0743190456019	-78.37402993628797
3817	-147.5528753787753	-81.11677363907117
3816	-147.93379852354929	-83.76473541448517
3815	-149.48537793091964	-86.36816874798527
3814	-152.1542463820938	-88.97315756053293
3813	-154.6235000869533	-91.57177839042792
3812	-156.90092852313	-94.15673670943333
3811	-157.72741526056006	-96.6712289859315
3810	-157.80149747429004	-99.08837418019996
3809	-159.05884914502303	-101.45888920761305
3808	-160.81137278748338	-103.80424368174586
3807	-161.76685725597736	-106.09398954310709
3806	-161.96074158824013	-108.30030506430575
3805	-162.37992687208998	-110.43545146010732
3804	-161.10788484086515	-112.43554511296503
3803	-160.44632537088683	-114.33009676740376
3802	-159.73214410492483	-116.12126597362771
3801	-158.96808958183328	-117.81123015777808
3800	-158.15681143243273	-119.40218031016795
3799	-156.6641225238077	-120.87121376118617
3798	-156.43249961112178	-122.27290699175747
3797	-155.1748438607906	-123.56951852726249
3796	-153.57557344708403	-124.75178029345342
3795	-151.33204734474657	-125.79886956602229
3794	-149.1124488419755	-126.7171093732548
3793	-148.19325026087608	-127.56283450752366
3792	-147.23935549358112	-128.33756394596782
3791	-146.25282524517706	-129.04283563359198
3790	-145.87453762188898	-129.7053504386836
3789	-144.79900810242134	-130.29936745981342
3788	-143.69760765429646	-130.82658697576127
3787	-140.6534455414544	-131.21322105939552
3786	-137.67507682053383	-131.46742758570406
3785	-134.44106319209004	-131.58439459695302
3784	-130.3244379897278	-131.53484050108244
3783	-126.64788824844709	-131.34265862866536
3782	-123.71366671380292	-131.04267760175165
3781	-120.84896542072147	-130.64189101031363
3780	-118.05209848370623	-130.1469477960756
3779	-116.92422115584714	-129.62717261799034
3778	-116.74914061729396	-129.1209944689743
3777	-117.48386479862756	-128.66363177127957
3776	-118.44522238655918	-128.26206231477502
3775	-118.98065283575943	-127.89734591759571
3774	-118.78816334727526	-127.53942575964851
3773	-119.50622047744127	-127.22380731675406
3772	-120.45093024843936	-126.95772576621482
3771	-122.89655598411628	-126.79818854168589
3770	-125.16729115148792	-126.73412542756847
3769	-127.26990876737409	-126.75517010595638
3768	-129.2109609308036	-126.85162344185946
3767	-130.67522750220814	-127.00178980231152
3766	-132.00519576568058	-127.19827976491463
3765	-133.84969041684462	-127.4594744065459
3764	-133.2884845152107	-127.68836193568998
3763	-132.68377904398176	-127.88450674080586
3762	-131.394027757608	-128.02230112122746
3761	-129.12894949212796	-128.06574941770225
3760	-127.86621055362866	-128.05791564705913
3759	-125.95045282453657	-127.97518159290884
3758	-125.34534773690302	-127.87194480851907
3757	-125.99180397495411	-127.79814095703661
3756	-125.57661094815876	-127.71093944729138
3755	-125.1152239670605	-127.6090538624275
3754	-124.28755068661576	-127.47868472324915
3753	-125.0455585431946	-127.38318769934291
3752	-125.70422771810354	-127.31729288850055
3751	-124.9773189038774	-127.22545791015057
3750	-125.50933022409663	-127.15810855139102
3749	-125.30660318395076	-127.08544842810592
3748	-124.72534651013848	-126.99283164350673
3747	-124.42868051430878	-126.89221013451535
3746	-124.08097623894673	-126.78189555491149
3745	-123.03888184784955	-126.63502101474393
3744	-122.62635163106506	-126.47772600840102
3743	-121.5229286933527	-126.2833106404067
3742	-120.72976372000403	-126.06540647213657
3741	-120.55630838955221	-125.84925093346635
3740	-119.35868044523022	-125.59459144185901
3739	-118.80006927950444	-125.32801154369183
3738	-118.85175531219284	-125.07392344892897
3737	-119.4860072676147	-124.85469227308714
3736	-119.3826559450572	-124.64001115568884
3735	-118.57525259021986	-124.40208009913815
3734	-118.38992535584612	-124.1662165697561
3733	-117.50461960373423	-123.90487873026468
3732	-115.30455401641166	-123.5674886155118
3731	-114.43903249222649	-123.20938504369504
3730	-113.22990567574061	-122.8179017236372
3729	-112.9879449461555	-122.43228906934532
3728	-113.34566785873312	-122.07584071980757
3727	-112.98081140634258	-121.71906686803798
3726	-112.89763500317395	-121.37302955206889
3725	-112.43582237931969	-121.02245465800698
3724	-112.06616399148515	-120.67113496713577
3723	-112.82099039759532	-120.363208175754
3722	-113.48282393661111	-120.0933235161045
3721	-112.88944486974515	-119.81075241067728
3720	-112.13485879172231	-119.5096693467008
3719	-112.6523142191968	-119.24069541286299
3718	-112.76364716895932	-118.98664084423523
3717	-114.43154383640922	-118.80797399627892
3716	-114.01953592599148	-118.62015616271145
3715	-114.86346794503379	-118.47280795957398
3714	-115.28512280611221	-118.34777860806837
3713	-115.95181588008427	-118.2538033326817
3712	-117.82464395843454	-118.23697080795833
3711	-118.90246803355785	-118.26307282859797
3710	-120.51788101332704	-118.35150999374977
3709	-124.5912557856418	-118.59624130805796
3708	-127.76568589661883	-118.95587735238375
3707	-130.40474561351584	-119.40491253766504
3706	-133.8288357681331	-119.97062916332146
3705	-137.027347330893	-120.6396025306921
3704	-140.00888970385677	-121.39927238599533
3703	-142.7817930710521	-122.23789803089834
3702	-146.00301704578942	-123.16996537758376
3701	-149.00155585663606	-124.18307533728675
3700	-151.65619309017666	-125.2605612391022
3699	-153.91630010978952	-126.38442467221012
3698	-155.66884393967166	-127.53294026177636
3697	-157.2605757259812	-128.69883423835728
3696	-158.6979911206713	-129.87537293687802
3695	-160.0522909741103	-131.05887926915366
3694	-161.06685937534485	-132.2357562237028
3693	-162.08127726448174	-133.40625808473055
3692	-162.9651630007761	-134.56551577296403
3691	-163.7240015237203	-135.70906631177064
3690	-164.3630930412487	-136.83282964818295
3689	-166.1864401387802	-137.9840264438505
3688	-167.8402456272347	-139.1549316809981
3687	-169.331371458562	-140.3383924745915
3686	-170.66645169116327	-141.52779668686335
3685	-172.1766906693024	-142.7297806628175
3684	-173.52852628976916	-143.9376388760163
3683	-174.4036457604991	-145.1324453235852
3682	-174.49845767404645	-146.28411021638135
3681	-174.82300867078447	-147.40333552104377
3680	-175.04180077530827	-148.4872460474411
3679	-174.83464912578097	-149.5205225516864
3678	-173.5712487206647	-150.4637277598796
3677	-171.62526477180904	-151.29362532811476
3676	-168.70385399729344	-151.97640577271514
3675	-164.52799925162913	-152.4686433965863
3674	-162.0816362586677	-152.84563695396497
3673	-159.33743700149125	-153.10022607161378
3672	-156.31038900033195	-153.22611895853348
3671	-153.01494448205722	-153.21783734456136
3670	-149.46503723627757	-153.0706642402288
3669	-146.32415381904661	-152.8060874788526
3668	-142.92521943566044	-152.4185915869405
3667	-142.53227431330401	-152.03088242026683
3666	-140.1326619364229	-151.56427345507612
3665	-137.11932227927446	-150.9977906869643
3664	-134.17194793189788	-150.33793794233586
3663	-131.3540860087337	-149.59345606163504
3662	-130.15681047378825	-148.83121784576284
3661	-128.6212282534675	-148.03865243066392
3660	-126.76354671289732	-147.20431756385904
3659	-124.92454550053276	-146.33058391224117
3658	-123.42948318427216	-145.4324846430636
3657	-122.58863447355475	-144.5366311966619
3656	-121.07194342020671	-143.61643138953667
3655	-119.2361676334458	-142.6603266696221
3654	-116.4464108461068	-141.6323134985913
3653	-115.02399678059305	-140.58883403367832
3652	-114.25695436157548	-139.55619602755817
3651	-113.46538618895602	-138.53301247373255
3650	-112.65082160403131	-137.5180107378726
3649	-112.46520923004664	-136.53553504519033
3648	-109.62752219328331	-135.48030555491374
3647	-108.81363558603107	-134.43454112760966
3646	-108.63071696737302	-133.4226146811572
3645	-108.0742999170568	-132.42855200967446
3644	-107.16169072661887	-131.43768406243086
3643	-106.56016814852524	-130.4620851359305
3642	-105.93057660715726	-129.50005565581466
3641	-105.59982581966324	-128.5627828127108
3640	-104.9038516723756	-127.63497310028241
3639	-105.48624532831286	-126.76638790311063
3638	-104.68585953946945	-125.90047751464652
3637	-105.4941017359613	-125.10022098851282
3636	-106.08042702095395	-124.35434089846666
3635	-105.41353770537785	-123.61155873717287
3634	-106.34891131923314	-122.93458729829781
3633	-106.21018535675216	-122.27872386227588
3632	-106.0224701444954	-121.64121948002608
3631	-105.78809608102347	-121.01952439695941
3630	-106.8108199384667	-120.46231688242135
3629	-107.08052749853096	-119.93753773519576
3628	-107.60756007358736	-119.45400646135744
3627	-107.72912824974355	-118.99420481419504
3626	-107.78904666840322	-118.55478455072577
3625	-108.11549992172854	-118.1453987837358
3624	-108.37076086653178	-117.76207780007934
3623	-108.55794143402409	-117.40112960252948
3622	-108.41970958708771	-117.04891548404078
3621	-108.49165091424697	-116.71333504514996
3620	-108.95940943588221	-116.40925828076327
3619	-109.3490913659632	-116.13238789620014
3618	-109.07825693068139	-115.85575425932258
3617	-109.15349029413392	-115.59291941983756
3616	-109.23352924792835	-115.34353069616158
3615	-109.25302224579468	-115.10468642348546
3614	-109.86563996567952	-114.89923295671223
3613	-109.74217186643227	-114.69699463844117
3612	-109.56716917426229	-114.49582441177304
3611	-109.34307204624906	-114.29375511190929
3610	-109.72319041577703	-114.11451678669617
3609	-109.37786093572822	-113.92876508498698
3608	-109.64227119777843	-113.76066685782313
3607	-109.83751355125924	-113.60681733248092
3606	-109.7713430481183	-113.45640622298902
3605	-109.52080877154663	-113.30206871978119
3604	-109.22464498582372	-113.14216940317202
3603	-108.88508588017703	-112.9752246035588
3602	-108.17877807336527	-112.78712828477471
3601	-107.44831777868808	-112.5777627643318
3600	-106.69518636632051	-112.34707306765779
3599	-106.05101695925418	-112.10016846831262
3598	-105.25076094882456	-111.83156379381128
3597	-104.62747501765784	-111.54905004559492
3596	-103.78278319619972	-111.24449008187544
3595	-103.24806799894645	-110.93090442787363
3594	-102.68394400818033	-110.60749374537968
3593	-102.09204564742572	-110.2735541380563
3592	-101.79948785634087	-109.94123736751628
3591	-101.46723486385235	-109.60892311556061
3590	-101.09726927974543	-109.2751323557426
3589	-100.69150298382328	-108.93851903873177
3588	-100.25177935402348	-108.59786219112556
3587	-99.45432095865817	-108.23929155292953
3586	-98.31585025725326	-107.85013658170098
3585	-95.55026638502113	-107.36778824186342
3584	-93.77256616946761	-106.83464175895084
3583	-92.74330403235558	-106.28203976234487
3582	-91.06151656422844	-105.68515596300729
3581	-89.53919204721865	-105.05198036051473
3580	-88.03962540364387	-104.3848286320145
3579	-86.56256021804461	-103.68591558785832
3578	-84.97750949680062	-102.95225204179327
3577	-83.42045287023393	-102.18629856927687
3576	-81.89092516436767	-101.39040101011122
3575	-80.38846807503933	-100.56679523732272
