	macd	trigger
2899		
2898		
2897		
2896		
2895		
2894		
2893		
2892		
2891		
2890		
2889		
2888		
2887		
2886		
2885		
2884		
2883		
2882		
2881		
2880		
2879		
2878		
2877		
2876		
2875		
2874		
2873		
2872		
2871		
2870		
2869		
2868		
2867		
2866		
2865		
2864		
2863		
2862		
2861		
2860		
2859		
2858		
2857		
2856		
2855		
2854		
2853		
2852		
2851		
2850		
2849		
2848		
2847		
2846		
2845		
2844		
2843		
2842		
2841		
2840		
2839		
2838		
2837		
2836		
2835		
2834		
2833		
2832		
2831		
2830		
2829		
2828		
2827		
2826		
2825		
2824		
2823		
2822		
2821		
2820		
2819		
2818		
2817		
2816		
2815		
2814		
2813		
2812		
2811		
2810		
2809		
2808		
2807		
2806		
2805		
2804		
2803		
2802		
2801	2.3481739132046187	
2800	2.435362613720173	
2799	2.50768921161297	
2798	2.602324897640642	
2797	2.6856909810718577	
2796	2.7677943001071696	
2795	2.8486713963071395	
2794	2.9529670958595062	
2793	3.0521853738197677	
2792	3.1479018408802233	
2791	3.2044227492884403	
2790	3.2428297663653325	
2789	3.293006916656509	
2788	3.343310191936766	
2787	3.390938725596115	
2786	3.427631224309849	
2785	3.4482753540356583	
2784	3.4549862222611836	
2783	3.483504143235862	
2782	3.551153521081588	
2781	3.588443511974191	
2780	3.5684351855110634	
2779	3.5277032640389336	
2778	3.441625217852831	
2777	3.335025633969593	
2776	3.1803368396165865	
2775	3.075509488879419	
2774	2.9711136967933953	
2773	2.918829007511846	
2772	2.8876091551729104	
2771	2.8261156443254407	
2770	2.7833475810207915	
2769	2.7266809244061534	
2768	2.6668984628192476	
2767	2.5693319998343185	
2766	2.4516935921525373	
2765	2.294531044234688	
2764	2.169702768029211	
2763	2.0319756270287144	
2762	1.8731944933947204	
2761	1.732492926574551	
2760	1.6061895546130671	
2759	1.4863412642435208	
2758	1.3638690981386645	
2757	1.235988989417777	
2756	1.1148235415472953	
2755	1.004568850265855	
2754	0.9211016893596735	
2753	0.8246510605483479	2.2832629884314177
2752	0.7708724316111386	2.214673445188987
2751	0.7266117809049746	2.1475988329753415
2750	0.7019086296297132	2.082813727378561
2749	0.6764846440632368	2.0201432549339935
2748	0.6728233123389344	1.960421775689167
2747	0.6779755930494957	1.903864929768719
2746	0.6630464879313536	1.8494099152115142
2745	0.6529684507942619	1.7971465505425996
2744	0.6460266680228557	1.7470865395041737
2743	0.6345551451814657	1.6989104960720987
2742	0.6157447625087684	1.6521970131045427
2741	0.6095580845429396	1.6074065031961764
2740	0.5867148323452511	1.5637223354908165
2739	0.5615879333822988	1.5209855148380804
2738	0.5161062791967197	1.478278129646609
2737	0.4436102320320856	1.4344486762436601
2736	0.3893826763401762	1.3903175513650408
2735	0.35111458529290474	1.3465658083502712
2734	0.276352701816478	1.301638141294193
2733	0.21704941284895085	1.256232504558888
2732	0.19390353505350788	1.2118762451034248
2731	0.174767998251653	1.1686826760833526
2730	0.15488598602705395	1.1265624417520397
2729	0.1266469524902618	1.0851155566311448
2728	0.11188662438632946	1.0448647881231108
2727	0.09160641605896558	1.0055242397876523
2726	0.08755528826769421	0.9677177197266533
2725	0.060592493334965525	0.930431225653377
2724	0.016367121445441057	0.8929303300345598
2723	-0.02585371416505211	0.8553039278105806
2722	-0.07846910696885345	0.817129987416108
2721	-0.1379055495596191	0.7781517326161596
2720	-0.20074293576716684	0.7382634357462702
2719	-0.2575279608458487	0.6977487194151588
2718	-0.3100511407725861	0.65680562440528
2717	-0.360026375330051	0.6155537747099833
2716	-0.3812045933769923	0.5751709423603958
2715	-0.4120792820918382	0.5352251931845842
2714	-0.4397868559599942	0.4958237123420964
2713	-0.44737041106915854	0.45775355075938384
2712	-0.45438007656007073	0.42097927684518294
2711	-0.4390585338611146	0.3863434741692804
2710	-0.42732271957655144	0.35360975943278566
2709	-0.41122741799320295	0.32287160669786613
2708	-0.40656818720788124	0.2935845543216701
2707	-0.4112750002771435	0.265310818328584
2706	-0.4093108129037688	0.23827425244041633
2705	-0.39941276519856217	0.21273988545434896
2704	-0.34753811986662697	0.1903236691572647
2703	-0.2853248899134684	0.17130848729202872
2702	-0.22109601120105538	0.15563312441878202
2701	-0.16594165438189634	0.14279657971443496
2700	-0.09439350173228434	0.13333512570476552
2699	-0.03546377379350929	0.1266063147960683
2698	-0.023155691866861616	0.12064023056820725
2697	-0.005111188924729504	0.1156337696232885
2696	0.03255148142798703	0.11232803999555559
2695	0.06219350548489899	0.11033439825792163
2694	0.09517772051755458	0.10973201168188382
2693	0.13606246475151806	0.11077793592510292
2692	0.18132158838434975	0.11357871967049404
2691	0.21339368848681772	0.11753972832875517
2690	0.22339050495445179	0.12173829484390067
2689	0.2312396339254832	0.12607971029093967
2688	0.19439449669901876	0.12878702842455786
2687	0.186301667067454	0.1310653921421628
2686	0.192392864399622	0.13349382966082826
2685	0.2012716018818992	0.13617665999985767
2684	0.21977127199907898	0.13948435016990396
2683	0.2252836216831895	0.14287807838653477
2682	0.20951940835688276	0.14551313585414855
2681	0.18612276347103318	0.14711835463188777
2680	0.1770130665594678	0.14829966486767446
2679	0.1568046659171074	0.14863564507548327
2678	0.1444173948596017	0.14846905599373245
2677	0.13569449682799473	0.14796469680909125
2676	0.13810005301991168	0.14757532905794762
2675	0.14032506387133026	0.14728922660698487
2674	0.1665426372837402	0.14804879844000413
2673	0.20802392737277842	0.15041433714978095
2672	0.233509239196394	0.1536910242837182
2671	0.2659929417704916	0.15811847126046674
2670	0.30832831752280754	0.16403918305810997
2669	0.3543147946108718	0.17153763379815704
2668	0.396752339586925	0.18041126735476673
2667	0.45172332699850415	0.1910991941022034
2666	0.5090652043598425	0.20362275577883604
2665	0.5699187732116968	0.21804740265308503
2664	0.6289875917633339	0.23422747138419386
2663	0.6665239010183939	0.25124572344259266
2662	0.7058422962792434	0.2691391581087718
2661	0.7525946800468404	0.2881657463214067
2660	0.7955533413100113	0.3081314013884046
2659	0.8553334706062117	0.329660862627768
2658	0.9189899781365085	0.35284480743305546
2657	0.9696769127707796	0.3771077022036229
2656	1.0156367577020973	0.4022210512276159
2655	1.0762707989627103	0.42872839894154974
2654	1.1303876555503223	0.4563184746278234
2653	1.1673620456042215	0.484274603279943
2652	1.2142286738598358	0.5129713282796118
2651	1.276286788100819	0.5429766698297223
2650	1.3476877665165858	0.5746062832203084
2649	1.3798619646895816	0.6062544577481951
2648	1.4149919312848311	0.6380367298686077
2647	1.4715393957580147	0.6707895235073152
2646	1.523147790832141	0.7042805863236976
2645	1.5533181617363567	0.7376386181549198
2644	1.5996184995289724	0.7715026527529524
2643	1.6285281338280555	0.8051696684005097
2642	1.645639590602812	0.838184081730194
2641	1.6787978672713137	0.8712019929843463
2640	1.7192226688227237	0.9045087478886374
2639	1.7504866448418994	0.937733271088034
2638	1.7681643729355443	0.9703453312208893
2637	1.7953816482580152	1.0027437315660506
2636	1.8204304590855287	1.0348518067257833
2635	1.8417871585540837	1.0665360833125679
2634	1.880532825198415	1.0984960505492254
