	macd	trigger
1231		
1230		
1229		
1228		
1227		
1226		
1225		
1224		
1223		
1222		
1221		
1220		
1219		
1218		
1217		
1216		
1215		
1214		
1213		
1212		
1211		
1210		
1209		
1208		
1207		
1206		
1205		
1204		
1203		
1202		
1201		
1200		
1199		
1198		
1197		
1196		
1195		
1194		
1193		
1192		
1191		
1190		
1189		
1188		
1187		
1186		
1185		
1184		
1183		
1182		
1181		
1180		
1179		
1178		
1177		
1176		
1175		
1174		
1173		
1172		
1171		
1170		
1169		
1168		
1167		
1166		
1165		
1164		
1163		
1162		
1161		
1160		
1159		
1158		
1157		
1156		
1155		
1154		
1153		
1152		
1151		
1150		
1149		
1148		
1147		
1146		
1145		
1144		
1143		
1142		
1141		
1140		
1139		
1138		
1137		
1136		
1135		
1134		
1133	-0.1556952581966229	
1132	-0.14181523393618534	
1131	-0.1349999492775673	
1130	-0.12633094287497926	
1129	-0.11442993272317992	
1128	-0.10548436971012976	
1127	-0.09461887421044679	
1126	-0.0963611268999287	
1125	-0.09797161240282648	
1124	-0.08791122282553943	
1123	-0.07497394704992288	
1122	-0.06293980740874616	
1121	-0.052270969316683846	
1120	-0.042743410025856576	
1119	-0.03764915609065156	
1118	-0.02858992644966918	
1117	-0.018262654616069796	
1116	-0.007063886454655943	
1115	0.003952211932162442	
1114	0.014452004099887006	
1113	0.03122753242667997	
1112	0.0455086723034448	
1111	0.058251643156072674	
1110	0.06952029840433838	
1109	0.0810840107464017	
1108	0.0997711562860566	
1107	0.11651192588209369	
1106	0.13344874969192233	
1105	0.14781164596585228	
1104	0.15970962404786704	
1103	0.1744335891561697	
1102	0.18838865882582212	
1101	0.2068093242579181	
1100	0.22253656114408216	
1099	0.23655475096790468	
1098	0.249806799800119	
1097	0.25288296772403385	
1096	0.26426894714309057	
1095	0.27411990281196097	
1094	0.27652631459107724	
1093	0.2786817182021366	
1092	0.28218321726949114	
1091	0.28891224566199725	
1090	0.2958931852846227	
1089	0.29886066460867866	
1088	0.2999434477632441	
1087	0.2937162816217551	
1086	0.2920744550362606	
1085	0.2876858764292294	0.17166669406104365
1084	0.28156703780547687	0.17665086587144238
1083	0.2720099456633456	0.18094919130486423
1082	0.26185678312977956	0.18457486910763843
1081	0.25185563256955845	0.18757311274962413
1080	0.2468512744632001	0.19020068426588185
1079	0.23655713449800686	0.19224503875707835
1078	0.22661311670680817	0.1937533288678253
1077	0.22241565593894919	0.1950053664279808
1076	0.21829676409334198	0.19601826494700916
1075	0.21425488286575955	0.19680796679397836
1074	0.20666946237433947	0.19723326164180588
1073	0.20294863209958436	0.19747878705823388
1072	0.199294275213596	0.19755648739743603
1071	0.19479704702692047	0.19743880886253243
1070	0.18676891570731513	0.19698533821574285
1069	0.18356318135002425	0.19641676369993016
1068	0.1740307018339351	0.19547144341217804
1067	0.1710483399737548	0.19444320024876616
1066	0.1682974266120958	0.19334559771923215
1065	0.16522032088014882	0.19216815038851356
1064	0.1603683220514185	0.1908403870714536
1063	0.15785500975364997	0.1894666093812707
1062	0.15537567565556643	0.1880502325759566
1061	0.15293000571327653	0.18659448554150276
1060	0.1505176845339733	0.1851024224536175
1059	0.14813839554439312	0.18357693353066507
1058	0.14210721959024752	0.1818690047718369
1057	0.13812216878288552	0.1800708339202611
1056	0.12963324694382905	0.17800155379454474
1055	0.12793127665279513	0.1759510562928791
1054	0.11976855955238719	0.1736542376850353
1053	0.118394933264522	0.17139891716095154
1052	0.12443441262095334	0.1694851932844771
1051	0.1292082822302234	0.16784648900199284
1050	0.13462693912783408	0.16649690438662118
1049	0.13973024755470576	0.1654110080883505
1048	0.14174105201508524	0.1644520395976587
1047	0.14637911817643712	0.16372077981357827
1046	0.14886896869761657	0.16312059917819513
1045	0.15116939103947047	0.16263821234641085
1044	0.15328781289102622	0.1622612345215827
1043	0.15523141568455756	0.16197812671509382
1042	0.15794128627956638	0.16181572500261146
1041	0.15951217856279953	0.16172314743919175
1040	0.16280104287622166	0.16176642500696922
1039	0.1714744511290327	0.1621558389913557
1038	0.18528720565014822	0.1630828663646277
1037	0.19650175010487203	0.16442103072752717
1036	0.20804393150794454	0.16616634353672782
1035	0.21801575037376963	0.16823914683195307
1034	0.2255432830525521	0.17052827229520687
1033	0.23449325607357707	0.17308161113865148
