	macd	trigger
1528		
1527		
1526		
1525		
1524		
1523		
1522		
1521		
1520		
1519		
1518		
1517		
1516		
1515		
1514		
1513		
1512		
1511		
1510		
1509		
1508		
1507		
1506		
1505		
1504		
1503		
1502		
1501		
1500		
1499		
1498		
1497		
1496		
1495		
1494		
1493		
1492		
1491		
1490		
1489		
1488		
1487		
1486		
1485		
1484		
1483		
1482		
1481		
1480		
1479		
1478		
1477		
1476		
1475		
1474		
1473		
1472		
1471		
1470		
1469		
1468		
1467		
1466		
1465		
1464		
1463		
1462		
1461		
1460		
1459		
1458		
1457		
1456		
1455		
1454		
1453		
1452		
1451		
1450		
1449		
1448		
1447		
1446		
1445		
1444		
1443		
1442		
1441		
1440		
1439		
1438		
1437		
1436		
1435		
1434		
1433		
1432		
1431		
1430	-2.4728121614709266	
1429	-2.493579510412573	
1428	-2.5304147571769278	
1427	-2.594487888040959	
1426	-2.6552618600294835	
1425	-2.6737061105570774	
1424	-2.670269632486125	
1423	-2.650316962333335	
1422	-2.6518867458011925	
1421	-2.69160880178066	
1420	-2.7280809026216843	
1419	-2.7316036268987745	
1418	-2.692576647422541	
1417	-2.64956909068448	
1416	-2.6161363662327375	
1415	-2.5717792897144705	
1414	-2.528190015481627	
1413	-2.4819894196912458	
1412	-2.4029727195526505	
1411	-2.3354324381354132	
1410	-2.2800131526793166	
1409	-2.2395917172126474	
1408	-2.1840405847586055	
1407	-2.1242815708915828	
1406	-2.07988221322843	
1405	-2.0285002858192485	
1404	-1.9533182911232387	
1403	-1.888647446751591	
1402	-1.8087933245912495	
1401	-1.760469774750689	
1400	-1.7111817163649619	
1399	-1.6725389976972167	
1398	-1.6186360449811872	
1397	-1.5733522131891107	
1396	-1.5281966511260237	
1395	-1.5273842855966109	
1394	-1.5456434236403567	
1393	-1.5179190909311302	
1392	-1.4790061000008734	
1391	-1.4434741683083558	
1390	-1.412362282845919	
1389	-1.399591505604107	
1388	-1.3690383600171145	
1387	-1.3391921564342368	
1386	-1.321844734467163	
1385	-1.3164496668844095	
1384	-1.3130024738475328	
1383	-1.30667325076746	
1382	-1.2845228296371118	-1.7664445798983899
1381	-1.2686838480985898	-1.7438702646302844
1380	-1.2386241999232794	-1.7210962192556265
1379	-1.1615723756258944	-1.6960225131396265
1378	-0.9786967932129897	-1.6640562100191199
1377	-0.7857335099647571	-1.6251235636274066
1376	-0.5916036973980567	-1.5795445563978463
1375	-0.37604264620219396	-1.5267272288746647
1374	-0.1857601257260484	-1.4681506458948954
1373	0.023600699252810386	-1.4032772213813542
1372	0.1884502121717304	-1.334350510313068
1371	0.3215513679489135	-1.2629367443590216
1370	0.41097043660921884	-1.1910277122665052
1369	0.4864252276462082	-1.1192350861114335
1368	0.5460817794755428	-1.0482163204999317
1367	0.5966778125434473	-0.9783082909104469
1366	0.6531585860048494	-0.9091979013592927
1365	0.6970104223894822	-0.8413708166364317
1364	0.7470236891567907	-0.7744974237647712
1363	0.7943767222541567	-0.7086359099644804
1362	0.8550170929434131	-0.6431745434869943
1361	0.8953704136778953	-0.5789344622476823
1360	0.9358725707110693	-0.5158456551450364
1359	0.9764988915167265	-0.45384318204073015
1358	1.045388575728353	-0.3916994437936825
1357	1.1179621009244158	-0.32926291385845885
1356	1.1731638324045264	-0.26725843137606703
1355	1.2178843055877309	-0.2060928782432517
1354	1.267323637692897	-0.14552953528844045
1353	1.308943038150261	-0.08585754521043462
1352	1.372635035488642	-0.026128788677794862
1351	1.436425992045514	0.03366248494381983
1350	1.534836095925229	0.0949304956537493
1349	1.5971043379902738	0.1561415310272077
1348	1.663140841048687	0.2174552256078705
1347	1.7475955199511901	0.2796190360276015
1346	1.8434143927284907	0.34306063800867503
1345	1.9128600776166707	0.40665975051357706
1344	1.971965637086086	0.4699945715951722
1343	2.1018683298184158	0.5359406721365998
1342	2.1899948231067583	0.6027032899593721
1341	2.34014570954983	0.6727513416203316
1340	2.5059167220467202	0.746577345080111
1339	2.6703392149904346	0.823970104856316
1338	2.817191856307801	0.9040759841715359
1337	2.9758822780198813	0.987259133690123
1336	3.150798938195308	1.074044299392998
1335	3.3074029403658614	1.163549801815547
