	macd	trigger
2870		
2869		
2868		
2867		
2866		
2865		
2864		
2863		
2862		
2861		
2860		
2859		
2858		
2857		
2856		
2855		
2854		
2853		
2852		
2851		
2850		
2849		
2848		
2847		
2846		
2845		
2844		
2843		
2842		
2841		
2840		
2839		
2838		
2837		
2836		
2835		
2834		
2833		
2832		
2831		
2830		
2829		
2828		
2827		
2826		
2825		
2824		
2823		
2822		
2821		
2820		
2819		
2818		
2817		
2816		
2815		
2814		
2813		
2812		
2811		
2810		
2809		
2808		
2807		
2806		
2805		
2804		
2803		
2802		
2801		
2800		
2799		
2798		
2797		
2796		
2795		
2794		
2793		
2792		
2791		
2790		
2789		
2788		
2787		
2786		
2785		
2784		
2783		
2782		
2781		
2780		
2779		
2778		
2777		
2776		
2775		
2774		
2773		
2772	-0.01644449113542734	
2771	-0.016235579373638842	
2770	-0.015327010164102983	
2769	-0.01456215243364678	
2768	-0.01312105220599813	
2767	-0.01157860373593822	
2766	-0.009776230417352316	
2765	-0.00832777106056426	
2764	-0.007327462431100162	
2763	-0.006315726073932826	
2762	-0.004962719111457847	
2761	-0.003891979211948726	
2760	-0.0030358371882379664	
2759	-0.0022183986536750133	
2758	-0.002217492112982722	
2757	-0.0013785582343439629	
2756	-0.0006341470149244799	
2755	-0.00042876329418239933	
2754	4.8172991029549195e-05	
2753	0.00033387688212682676	
2752	0.00038032743698535043	
2751	0.0008203694991837374	
2750	0.0012961995849400942	
2749	0.0016924350333806792	
2748	0.002126330023973555	
2747	0.002367860709143521	
2746	0.0027113158038649665	
2745	0.00332388101628478	
2744	0.003389833757506455	
2743	0.0030484529954146744	
2742	0.002663688209370907	
2741	0.002237617819881965	
2740	0.0020036044990030533	
2739	0.0014896324607329703	
2738	0.0012888771775227958	
2737	0.0005151236785074786	
2736	0.00012632722524541506	
2735	-0.00012790410045226963	
2734	-0.0002534393346871333	
2733	-0.0006659104468198507	
2732	-0.0010590865273591987	
2731	-0.0004934442056132582	
2730	0.0006350770996128574	
2729	0.0013577528953780948	
2728	0.0031685157776042416	
2727	0.005781759650156815	
2726	0.008272285121571077	
2725	0.009813971661116305	
2724	0.010745350651076624	0.0011369196632352342
2723	0.011569126454299639	0.001610038392774303
2722	0.012647253855864182	0.00210754260572062
2721	0.013371262716407095	0.002612298946390753
2720	0.014234629847883262	0.0031302267750512656
2719	0.01547016430834125	0.00367720845325413
2718	0.01754019118346184	0.004288576469225279
2717	0.019506701349018662	0.004956444695486803
2716	0.023175954646487362	0.005752315551669349
2715	0.026365016851900513	0.006648722668157192
2714	0.0293950445818858	0.007633708618241663
2713	0.03136703201662083	0.008657251151004824
2712	0.03359540880765177	0.009728564303638994
2711	0.035644533711204573	0.010837731338286444
2710	0.03740040346598317	0.011970517671527082
2709	0.038996525374039415	0.01311912347429521
2708	0.04104616728312038	0.01430213791605287
2707	0.04358900883651362	0.01553886608251721
2706	0.0459937219998352	0.016821053559986206
2705	0.04808270890835331	0.018133421381440237
2704	0.050112951933553695	0.019472224661552108
2703	0.052147198391431004	0.0208365286145336
2702	0.053756705282577144	0.022207590822726938
2701	0.05526548098746975	0.02358104774352281
2700	0.05667734807827607	0.024952902237860012
2699	0.05830243581492045	0.026332171093713858
2698	0.05982377482647294	0.027714354659149114
2697	0.06216646506841972	0.02913326365511805
2696	0.06443224101595924	0.030584193550864777
2695	0.06650045118011327	0.03205771364882346
2694	0.06813262236277762	0.03353506736870333
2693	0.06934747810377306	0.03499912852903213
2692	0.07016310301782624	0.036434290158455285
2691	0.07121455539786758	0.037851526956132794
2690	0.0712545503268851	0.039210560606251624
2689	0.07125629728109395	0.04051245763280529
2688	0.07184075348966434	0.04178341503012689
2687	0.07285768313486063	0.04304236303541727
2686	0.07490757925270408	0.044331681490781503
2685	0.07893658722897001	0.045730109881174805
2684	0.0814993683082692	0.04717386511057368
2683	0.0844013110016828	0.0486747551680414
2682	0.08631910667430986	0.050190784247696234
2681	0.08935101358412201	0.051766196604713356
2680	0.09157604790659057	0.053366120517656185
2679	0.09178187476963107	0.0549085154023998
2678	0.09149439759216449	0.056376069566003814
2677	0.0891118509495259	0.05768800957696888
2676	0.08666694025222377	0.05884838861912885
2675	0.0808484577208688	0.059728591487797376
2674	0.07756904034056866	0.06044180584117553
2673	0.07690441058006581	0.06109943668922118
2672	0.07842430878203022	0.061791006768024785
2671	0.07989758986297257	0.06251327391418954
