	macd	trigger
402		
401		
400		
399		
398		
397		
396		
395		
394		
393		
392		
391		
390		
389		
388		
387		
386		
385		
384		
383		
382		
381		
380		
379		
378		
377		
376		
375		
374		
373		
372		
371		
370		
369		
368		
367		
366		
365		
364		
363		
362		
361		
360		
359		
358		
357		
356		
355		
354		
353		
352		
351		
350		
349		
348		
347		
346		
345		
344		
343		
342		
341		
340		
339		
338		
337		
336		
335		
334		
333		
332		
331		
330		
329		
328		
327		
326		
325		
324		
323		
322		
321		
320		
319		
318		
317		
316		
315		
314		
313		
312		
311		
310		
309		
308		
307		
306		
305		
304	-0.22213863538128464	
303	-0.2209241387829124	
302	-0.21641744402796803	
301	-0.2071459982430781	
300	-0.20038014851576946	
299	-0.19764130212225695	
298	-0.19438591633159064	
297	-0.18845100944761128	
296	-0.18544236727270658	
295	-0.18138170295299716	
294	-0.17852239830411776	
293	-0.18067965031520572	
292	-0.17710395130954737	
291	-0.15139476638535143	
290	-0.10733359742068416	
289	-0.06863185821273277	
288	-0.03562295672156779	
287	-0.010306702123216382	
286	0.013831619381107885	
285	0.038525403694322335	
284	0.0631767321687633	
283	0.08664740986200314	
282	0.11011531898878246	
281	0.12789125293517856	
280	0.14705346928052876	
279	0.16639241028266838	
278	0.1796050251082164	
277	0.20127902311897117	
276	0.22012527868429288	
275	0.2460388985099229	
274	0.2763914344084739	
273	0.3095310050557174	
272	0.34532124592850266	
271	0.37638728719549874	
270	0.3988631258713582	
269	0.41835585275596543	
268	0.44256471295228295	
267	0.4668936352911146	
266	0.5015596712499217	
265	0.5358411871690834	
264	0.5653417551543214	
263	0.5932000846574397	
262	0.618006555448261	
261	0.6487300749233214	
260	0.674762247796302	
259	0.7036935964868363	
258	0.73094137612852	
257	0.7595355231232332	
256	0.7923753376702152	0.35564992535578677
255	0.8262839577810723	0.3769939976080376
254	0.8582207003514739	0.3986853664861532
253	0.8867682069793617	0.42055761704727096
252	0.9045956734082026	0.44212788394509933
251	0.9121720487514082	0.46296312281090507
250	0.9234324613181499	0.48327016865936395
249	0.9217079711638192	0.5025116113336486
248	0.9286059886075648	0.5211244114455934
247	0.9362206173190728	0.5391761547640646
246	0.9415051936788217	0.5565982440207388
245	0.9505931962841387	0.573589989532584
244	0.9618022418203651	0.5902671193196267
243	0.9599166904891021	0.6060876009795972
242	0.9500607735703639	0.620756611199618
241	0.9432012986350458	0.6344605160877106
240	0.946794212000988	0.6476912495460149
239	0.9497409954281082	0.6604462287112628
238	0.9581521254272687	0.6729800188488442
237	0.9656916045778772	0.6852680842694627
236	0.9647750018654335	0.6969694686122268
235	0.9634083182077475	0.7080943000730279
234	0.9600852832286719	0.7185892411328542
233	0.9579529628572487	0.7285340911686999
232	0.967673829764351	0.7384465261493125
231	0.9764583022381217	0.7482902089500688
230	0.9858782097430563	0.7580953598965873
229	0.9912955384741196	0.7676997013234099
228	0.991349903198163	0.7768926238484078
227	0.9970485792809143	0.7859248629074939
226	1.00197867023207	0.794772782620225
225	1.0092548676049518	0.8035411085655368
224	1.0156842952462455	0.8121993949479459
223	1.0228461000293123	0.8207828907808798
222	1.03070459694694	0.8293237542651066
221	1.0515991324651495	0.838353961836584
220	1.0710053941609345	0.8477923960323387
219	1.088981109385493	0.8575639552063504
218	1.1040314092449535	0.8675364291092958
217	1.117832271676015	0.8776512034390074
216	1.1257736891882573	0.8876661758506406
215	1.1265597881274871	0.8972975926421025
214	1.131400466765541	0.9067254815710115
213	1.1354416490473724	0.9159267115586177
212	1.1371594174527573	0.9248178650020467
211	1.1413350569907763	0.9335110435139666
210	1.14317560508767	0.9419212302275668
209	1.1599621335372134	0.9506595762510676
208	1.1707028226664775	0.9594705836126094
207	1.1975564547852642	0.9689961840017027
206	1.222575085359587	0.9791336033937161
205	1.2379995983186944	0.989474510344518
204	1.248953826600939	0.9998323433045572
203	1.255633198681302	1.0100361765087917
202	1.2801928537831344	1.0208054007306568
201	1.2919886740479356	1.0316085562562058
200	1.3010139344557317	1.0423342205051311
199	1.3121048243053863	1.0530680206573078
