	macd	trigger
2076		
2075		
2074		
2073		
2072		
2071		
2070		
2069		
2068		
2067		
2066		
2065		
2064		
2063		
2062		
2061		
2060		
2059		
2058		
2057		
2056		
2055		
2054		
2053		
2052		
2051		
2050		
2049		
2048		
2047		
2046		
2045		
2044		
2043		
2042		
2041		
2040		
2039		
2038		
2037		
2036		
2035		
2034		
2033		
2032		
2031		
2030		
2029		
2028		
2027		
2026		
2025		
2024		
2023		
2022		
2021		
2020		
2019		
2018		
2017		
2016		
2015		
2014		
2013		
2012		
2011		
2010		
2009		
2008		
2007		
2006		
2005		
2004		
2003		
2002		
2001		
2000		
1999		
1998		
1997		
1996		
1995		
1994		
1993		
1992		
1991		
1990		
1989		
1988		
1987		
1986		
1985		
1984		
1983		
1982		
1981		
1980		
1979		
1978	0.05119312954801103	
1977	0.07789834387395445	
1976	0.09249673318871032	
1975	0.10635064911554082	
1974	0.11948974945207169	
1973	0.12106315138674972	
1972	0.13886287512988815	
1971	0.15574744265909146	
1970	0.17723615530293557	
1969	0.19761837144945105	
1968	0.21142592127651483	
1967	0.24105095811169974	
1966	0.23592310474322176	
1965	0.24757447835159496	
1964	0.24741998503209572	
1963	0.24156706335791966	
1962	0.24145802563744212	
1961	0.25804850843579175	
1960	0.24844828868914703	
1959	0.23916983863585983	
1958	0.2386684057891415	
1957	0.24938178460709537	
1956	0.2594697037095557	
1955	0.26895661381608704	
1954	0.27786606566189676	
1953	0.2833683686978219	
1952	0.29132974351261964	
1951	0.29877416969029014	
1950	0.3057221116063715	
1949	0.3121932906631457	
1948	0.31820671382887156	
1947	0.32378070091220934	
1946	0.2942288684354537	
1945	0.2774808270057747	
1944	0.2497533354548409	
1943	0.22899283120970892	
1942	0.20907225729756362	
1941	0.17828931001037063	
1940	0.16052554323687218	
1939	0.1493538367758589	
1938	0.10928664689407697	
1937	0.06512815099151226	
1936	0.04356512407105129	
1935	0.014126334323407264	
1934	-0.005111816230851218	
1933	-0.014593980532239925	
1932	-0.035480691999055125	
1931	-0.03759542973386942	
1930	-0.0336529847426732	0.1545516316833575
1929	-0.035823955265641416	0.14591776757037678
1928	-0.03787735721820695	0.13763317357951924
1927	-0.04578480148929032	0.1294137411895914
