	macd	trigger
4722		
4721		
4720		
4719		
4718		
4717		
4716		
4715		
4714		
4713		
4712		
4711		
4710		
4709		
4708		
4707		
4706		
4705		
4704		
4703		
4702		
4701		
4700		
4699		
4698		
4697		
4696		
4695		
4694		
4693		
4692		
4691		
4690		
4689		
4688		
4687		
4686		
4685		
4684		
4683		
4682		
4681		
4680		
4679		
4678		
4677		
4676		
4675		
4674		
4673		
4672		
4671		
4670		
4669		
4668		
4667		
4666		
4665		
4664		
4663		
4662		
4661		
4660		
4659		
4658		
4657		
4656		
4655		
4654		
4653		
4652		
4651		
4650		
4649		
4648		
4647		
4646		
4645		
4644		
4643		
4642		
4641		
4640		
4639		
4638		
4637		
4636		
4635		
4634		
4633		
4632		
4631		
4630		
4629		
4628		
4627		
4626		
4625		
4624	-3.3076250338408215	
4623	-3.3085964887568764	
4622	-3.2538750971746992	
4621	-3.221735975185453	
4620	-3.1894765976204837	
4619	-3.146238477856457	
4618	-3.1034431761981978	
4617	-3.0610893640288452	
4616	-3.074008070985684	
4615	-3.0847450649606003	
4614	-3.096155398666383	
4613	-3.110972736160278	
4612	-3.1235052064827187	
4611	-3.1338555055026234	
4610	-3.144905413842963	
4609	-3.153834603523336	
4608	-3.149553560476704	
4607	-3.149474920437541	
4606	-3.1477968402160457	
4605	-3.141779636223987	
4604	-3.1316228139936584	
4603	-3.080751618681319	
4602	-3.0306818171727627	
4601	-2.9757188535595844	
4600	-2.921797066141778	
4599	-2.8660411881013204	
4598	-2.8171316047249775	
4597	-2.7805136648955227	
4596	-2.7413092508660952	
4595	-2.7025265879372853	
4594	-2.6641646698708996	
4593	-2.6262223738348496	
4592	-2.623402507209164	
4591	-2.6193807174763037	
4590	-2.614214432328083	
4589	-2.6137748891631816	
4588	-2.6586392830120076	
4587	-2.676742188842269	
4586	-2.692653160466847	
4585	-2.7064653124676283	
4584	-2.718268412089145	
4583	-2.728149000470438	
4582	-2.73619050896869	
4581	-2.7424733708089377	
4580	-2.7470751282806702	
4579	-2.7707700650925062	
4578	-2.7712398841326262	
4577	-2.7406187090458047	
4576	-2.698125102193785	-2.8249833983480315
4575	-2.6562060148081628	-2.817329050339544
4574	-2.5969795582522863	-2.8073967625264995
4573	-2.527208466824078	-2.7948408025552305
4572	-2.4653196429018465	-2.780156297341646
4571	-2.4109913094560227	-2.7637926420101118
4570	-2.35792045402863	-2.7458933717640766
4569	-2.354078543199506	-2.728698042073765
4568	-2.3492147961821956	-2.7121213253219474
4567	-2.385491857145496	-2.6979168319145392
4566	-2.4008266016994355	-2.6850519079158763
4565	-2.432334707072954	-2.6741530211699414
4564	-2.485323935487486	-2.666041151565268
4563	-2.534630069806184	-2.6604169421219592
4562	-2.6167210677009507	-2.6585534967153692
4561	-2.6937352265979086	-2.660048720854255
4560	-2.793173816679001	-2.665688018446909
4559	-2.8866556558001264	-2.6750190562943454
4558	-2.974405199345483	-2.6876235869015526
4557	-3.0566394443847003	-2.7031149142663544
4556	-3.1670974016514037	-2.722539254314539
4555	-3.2709078119620187	-2.7454357192688503
4554	-3.368321015598042	-2.7713776969941786
4553	-3.45957906897965	-2.799970415178679
4552	-3.636751451622871	-2.834655313913922
4551	-3.834643349677009	-2.8760127844994545
4550	-4.021567611976053	-2.923289321881104
4549	-4.197928815620344	-2.975785306098002
4548	-4.425588687645984	-3.035378054288386
4547	-4.640625939937024	-3.101235835077404
4546	-4.843505819984074	-3.1725859544539023
4545	-5.010019915479802	-3.247702810364772
4544	-5.166396817188016	-3.326011251240089
4543	-5.313017985553216	-3.40697840435744
4542	-5.462615264610605	-3.49061393741984
4541	-5.602613817492028	-3.576416501169491
4540	-5.733378626978578	-3.663922281313589
4539	-5.855262680602237	-3.752702606414035
4538	-5.990316953089618	-3.843240120846198
4537	-6.085124051190192	-3.9338375107041275
4536	-6.172505021710748	-4.024196888226277
4535	-6.252752453299848	-4.114045031446119
4534	-6.32614921724236	-4.203131817078085
4533	-6.402310212235861	-4.291604557859354
4532	-6.471728771559256	-4.3792218874553495
4531	-6.51596420315397	-4.465012222226125
4530	-6.554849546262574	-4.548840991209664
4529	-6.588607528539555	-4.630587973265751
4528	-6.604951983856168	-4.709645777197775
4527	-6.579636467818801	-4.784462413575426
4526	-6.5520979102340675	-4.8551278445946595
4525	-6.494264200489567	-4.920606342614062
4524	-6.451397996935199	-4.981712115824946
4523	-6.407170405669319	-5.038573296401311
4522	-6.361665348307483	-5.091315561063812
4521	-6.314963601994236	-5.140062152005792
4520	-6.267142901622705	-5.18493389800659
4519	-6.218278038859836	-5.226049235779098
4518	-6.168440958080666	-5.263524231590256
4517	-6.149178586141943	-5.298723653477446
4516	-6.127632570691588	-5.331650391564404
4515	-6.103917214179532	-5.362311582025654
4514	-6.059223261436458	-5.389967486034093
4513	-6.013446287589005	-5.4146977459581
4512	-5.966658508463752	-5.436581414236496
4511	-5.931563258771774	-5.456197567546516
4510	-5.895012646092951	-5.473580626490965
4509	-5.857091110027383	-5.4887668262924425
4508	-5.817879970782386	-5.501794028280302
4507	-5.85974872432233	-5.515957659178321
4506	-5.896698092153088	-5.531017572016843
4505	-5.928932168352446	-5.546751469119635
4504	-5.982005872393984	-5.563956220362889
4503	-6.029586231012658	-5.582355912556028
4502	-6.0718979480716655	-5.601694703211987
4501	-6.086939170414013	-5.62085820136378
4500	-6.098160536953415	-5.639702829478305
4499	-6.105729427370946	-5.658097384038258
4498	-6.125699403917565	-5.676549410346142
4497	-6.122525454888319	-5.694143739336617
4496	-6.11633949971943	-5.710795982225644
4495	-6.139105265990992	-5.727685532425396
4494	-6.157670030793611	-5.744637456399208
4493	-6.127624998490987	-5.7597333966137585
4492	-6.095785319201795	-5.772976653419298
4491	-6.030373853891177	-5.783118302151716
4490	-5.945693176513174	-5.789522692544206
4489	-5.861795005334585	-5.792369244494868
4488	-5.7786867060514595	-5.791830429503723
4487	-5.702759348684026	-5.788323407684472
4486	-5.6273407982050685	-5.781985990955267
4485	-5.552446531433134	-5.77295105851695
4484	-5.49087334105009	-5.761849775501944
4483	-5.4292645897776595	-5.748762579117662
4482	-5.354862558985175	-5.733264729798948
4481	-5.281078117678177	-5.715475909967692
4480	-5.22072016338565	-5.696014849960316
4479	-5.166811357666688	-5.675201275554825
4478	-5.087070032754298	-5.652072716562367
4477	-4.992312679580465	-5.626130167976767
4476	-4.889673760847316	-5.597174881824446
4475	-4.801994526066906	-5.565913912245654
4474	-4.7029985161311885	-5.531993374077427
4473	-4.586834883080726	-5.494843398407726
4472	-4.467168795183781	-5.454453711070948
4471	-4.350636165390441	-5.411075197330649
4470	-4.19864471183692	-5.363432295732631
4469	-4.051396087991279	-5.311879458462986
4468	-3.922236180708822	-5.257281445329307
4467	-3.796280858361385	-5.199884079690146
4466	-3.683729195666544	-5.140324111717537
4465	-3.5486858667536296	-5.077803132081666
4464	-3.434020601509644	-5.013238088480084
4463	-3.309935871378613	-4.946339401821474
4462	-3.202646114783576	-4.877858442358507
4461	-3.105012910423568	-4.808236597794763
4460	-3.0037805859220583	-4.737377307033077
4459	-2.905599412244726	-4.66544895068049
4458	-2.816818295874853	-4.592862559662968
4457	-2.7402759434110067	-4.520124421398053
4456	-2.6496982385350094	-4.446689323616166
4455	-2.568311102929073	-4.372945372881633
4454	-2.5021820448976797	-4.299503586471118
4453	-2.4023261523451964	-4.225027969972119
4452	-2.2252089083366684	-4.146526218198076
4451	-2.0550000855871673	-4.06442773845376
4450	-1.8721314109374845	-3.9783769385008827
4449	-1.7159619021736177	-3.8895770532868372
4448	-1.5434373759084679	-3.797494135970593
4447	-1.342485938173752	-3.7011414517982955
4446	-1.1499860336234349	-3.6010184144760533
4445	-0.9430667285121928	-3.4967072125076752
4444	-0.7741223893778084	-3.3898626133066108
4443	-0.6060123123203311	-3.2806167956917243
4442	-0.4968927494037274	-3.171378884180362
4441	-0.39894076683057733	-3.0625866752235575
4440	-0.3052413460306269	-2.9543894152070416
4439	-0.21564956437840976	-2.8469248026446796
4438	-0.09772239865091592	-2.739052136402602
4437	0.02457842627801199	-2.6306157393039453
4436	0.14129797082175344	-2.5218566480374975
4435	0.24939798612292918	-2.413125636252188
4434	0.35891073039628907	-2.3043660863266378
4433	0.4955766881179784	-2.1945137118107207
4432	0.6613258935492183	-2.0824703213260234
4431	0.835351713319028	-1.9679971604739501
4430	0.9945514640207591	-1.8517712107185482
4429	1.152453980867719	-1.7339121091149838
4428	1.2702199510959105	-1.6160584793972352
4427	1.3819634042130104	-1.498446298346255
4426	1.5073138191404638	-1.3805322261790351
4425	1.639116737825347	-1.2620749241244134
4424	1.796429293206245	-1.142094953092443
4423	1.9456444412480352	-1.0209696651108173
4422	2.1194242070029503	-0.8977803515624918
4421	2.280950997427496	-0.7730886143205526
4420	2.4371740488223708	-0.6471614123111982
4419	2.5850157660697732	-0.5203759461589796
4418	2.7280194153177035	-0.3929556226301492
4417	2.879286641173408	-0.2646011646577046
4416	3.0156896303878824	-0.13593222927145784
4415	3.15079178302301	-0.007012134075897641
4414	3.265143587388252	0.12133539644677448
4413	3.3790702931584207	0.24911620071462845
4412	3.4795706585615562	0.3758259314751914
4411	3.5509994260332007	0.5003663762287962
4410	3.6140879212879895	0.6224955624029184
4409	3.6918723945794767	0.7428845520233722
4408	3.7512280451889097	0.8608788367115277
4407	3.8059300060755135	0.9763898789831751
4406	3.836708436913753	1.0885768140493355
4405	3.896515219669908	1.1987086266779066
4404	3.9515718639131734	1.306679665984456
4403	3.995579990230837	1.4121413945393928
4402	4.041992535778576	1.5152865847480705
4401	4.084189163239714	1.6160407883807282
4400	4.122339893657951	1.7143391442322653
4399	4.169585210866487	1.8106347077963165
4398	4.199532930872593	1.9043276517874839
4397	4.2194435206248215	1.9951264356599507
4396	4.236252834458881	2.0830229775866935
4395	4.250093338585842	2.1680147059817387
4394	4.228641175301618	2.24883142296166
4393	4.2254397073393335	2.32635269488239
4392	4.220186550757489	2.4006273370034705
4391	4.232452822539187	2.4724698084810575
4390	4.228974682478395	2.541358044134679
4389	4.229947883027577	2.607582510428192
4388	4.20595145742395	2.670268426499527
4387	4.193847212304306	2.7300209926412737
4386	4.183359783180848	2.7870186835089132
4385	4.171174060637327	2.8413029584347362
4384	4.150879301917456	2.892662231284059
4383	4.083886524362214	2.9393798265299727
4382	4.037307277629253	2.9824383881815035
4381	3.9582727491301455	3.020708608214499
4380	3.8612929174362876	3.0536745243973793
4379	3.7992042758521904	3.0829125409187648
4378	3.737968294771491	3.1086023151378788
4377	3.6775779531632793	3.1309161812273567
4376	3.553054699647987	3.1474714141717515
4375	3.4550984548708357	3.1595357666801362
4374	3.3598083876783846	3.1673899370932816
4373	3.2443693439334425	3.1704088637130075
4372	3.155247139730193	3.169814262391917
4371	3.0685445428947276	3.165842747403992
4370	2.9841963992676597	3.1587190967741567
4369	2.859894362739567	3.147000061804225
4368	2.7397689352995087	3.1310296664721213
4367	2.6236923000976446	3.1111334284576153
4366	2.5537905681087523	3.0892761543374543
4365	2.49224576666154	3.065862486409557
4364	2.4387093053013302	3.0412675258765653
4363	2.3960947032527997	3.015965921073505
4362	2.3996824715696903	2.9917972912360775
4361	2.4083589339358866	2.9689167631334024
4360	2.3958817578147773	2.9464442430059767
4359	2.3827261168507903	2.9243371213506117
4358	2.3721807545344973	2.902683433160989
4357	2.360881175676951	2.881435816938651
4356	2.3651236926318973	2.861187853363361
4355	2.2378887003214345	2.8367442514028527
4354	2.147802255972721	2.8097263894736946
4353	2.063955306991801	2.7804799147253103
4352	1.9796039488774113	2.7490724466837455
4351	1.898066727562167	2.715699094092883
4350	1.812754164295768	2.680288898459282
4349	1.7564018654076676	2.64405745387405
4348	1.7017037059785594	2.607101836010874
4347	1.6616212343489565	2.5700236169287844
4346	1.6420138948649878	2.5336305616238812
4345	1.6029315699311724	2.497132063606966
4344	1.6298437917576791	2.4631203126507244
4343	1.713225140203491	2.4337122881734987
4342	1.7789034738337932	2.4080332001763587
4341	1.8536722882744527	2.386293303634299
4340	1.924067696964471	2.3681666066262324
4339	1.9967579656153873	2.35360140544892
4338	2.0000374541815233	2.3397360093820687
4337	2.002125980315924	2.326496269136847
4336	2.0421130877841165	2.315343881283479
4335	2.0792140055027915	2.306083801407329
4334	2.1135409561401275	2.2985330351988935
4333	2.1386959975525315	2.2922648631207645
4332	2.1615906041330106	2.2871403407809443
4331	2.2473835927001176	2.285581240462137
4330	2.3215884039974526	2.2869932966711675
4329	2.3944550403961387	2.291207513037419
4328	2.4529922567249685	2.297552056672624
4327	2.5075835093535375	2.305788638963901
4326	2.577902480221667	2.3164598381267725
4325	2.6697034629113148	2.3303126142730854
4324	2.746167673372696	2.346620751923679
4323	2.814462010769745	2.3649675718492595
4322	2.8326219441646856	2.3833070587771776
4321	2.8745107568176422	2.4025700495892335
4320	2.8804522564388435	2.4213106224095737
4319	2.852081523219425	2.438203680426422
4318	2.803993661768345	2.4525484520808374
4317	2.7729086708512227	2.465111653875104
4316	2.705999526532878	2.474558277544462
4315	2.6472398502077397	2.481330131767811
4314	2.648358768358122	2.487880300255878
4313	2.6545560866838116	2.4944166304153788
4312	2.6590882086834142	2.5008743629169077
4311	2.6620286749936213	2.5071941620041254
4310	2.6309028992443473	2.5120455013644776
4309	2.5802980956021315	2.514722082344495
4308	2.576221373363694	2.5171338267417114
4307	2.5579698104972124	2.5187352426506298
4306	2.532708426022424	2.5192832121978754
4305	2.5072794153940663	2.5188124737709288
4304	2.494722932184146	2.517867783364041
4303	2.5139879658196946	2.5177156332693285
4302	2.511535769598453	2.517473285082004
4301	2.5404364428230224	2.518373803186726
4300	2.59273597355633	2.521289973310719
4299	2.6998907564083936	2.5282939407731497
4298	2.8788750315158893	2.5420422474779834
4297	2.983097993143616	2.559338585843487
4296	3.0842705121005167	2.57992419115999
4295	3.110865606068785	2.6007454615812935
4294	3.16717951628857	2.6229586011920225
4293	3.2192761215684413	2.6463436418695445
4292	3.22825751152709	2.6691638310099415
4291	3.264445243355482	2.6925082368696187
4290	3.3037931597729084	2.7164802308867064
4289	3.368924155216007	2.7420663043147413
4288	3.403287678676179	2.767996590492064
4287	3.4863980424189265	2.7961692342405233
4286	3.518326922232802	2.8244891800719563
4285	3.559989048695911	2.8533323478898267
4284	3.5653421917828325	2.8812543357707634
4283	3.5653383311488938	2.9080811897829313
4282	3.586266026045223	2.9346767027653584
4281	3.558793246466621	2.959151887166676
4280	3.4656070325656287	2.9790128933951254
4279	3.387886367382862	2.9950471628945126
4278	3.3835683729325865	3.0102833030365233
4277	3.3646617834480423	3.0241805108419477
4276	3.2992845262152173	3.0349689129212902
4275	3.267726282294433	3.0440966604725337
4274	3.229392928900978	3.0513631865976034
4273	3.1585671727544025	3.055567267707094
4272	3.102348107887366	3.0574018118096924
4271	3.030796881920793	3.0563584804879227
4270	2.951161359057437	3.052233100373686
4269	2.873619101264751	3.0452286252474345
4268	2.7981150695030976	3.0355378914925746
4267	2.7245956722400706	3.02334407162412
4266	2.620449631100712	3.00754428049429
4265	2.5978289635562817	2.991477004224825
4264	2.6107015800256477	2.9765446266669646
4263	2.634650952539971	2.9631370247177746
4262	2.6984635040045646	2.9527576658430927
4261	2.7384246679615956	2.944352446255358
4260	2.7556009794947727	2.9369504245796603
4259	2.7640463705796776	2.9301698704752117
4258	2.777178691470567	2.924170213874087
4257	2.824082066182001	2.9202451868888644
4256	2.873887702463378	2.9184272456175915
4255	2.9427178617128504	2.919379819153006
4254	3.0394377357912674	2.924087974433454
4253	3.110627343673002	2.9314032463334607
4252	3.1769504091463716	2.9410325500205436
4251	3.225569601733582	2.9521908693195726
4250	3.2702914243080556	2.9646654046961114
4249	3.343832178972889	2.9795346943233096
4248	3.3959966275173485	2.9958665394432997
4247	3.427732150316018	3.0128024503376767
4246	3.4757721331113203	3.0309581288950693
4245	3.532835737014807	3.050639608642571
4244	3.539869204967431	3.0698250876155044
4243	3.551250111266711	3.0887045046636685
4242	3.5602617613382677	3.1071969502012435
4241	3.5735200698366327	3.1254841352582945
4240	3.564774069186427	3.142711195015974
4239	3.5415441555281006	3.158351706346385
4238	3.550091388739503	3.173714049734289
4237	3.55639914697133	3.1887213111731225
4236	3.580104359111317	3.2040696686705514
4235	3.581325149976607	3.218864003749341
4234	3.5871369728589	3.2333060832939764
4233	3.5843019550910356	3.2470706294147265
4232	3.5471646512787913	3.258839024177632
4231	3.503359545881949	3.2684280656133984
4230	3.4336749793943113	3.2749083376309054
4229	3.332814309056431	3.2771791603390046
4228	3.182712873337863	3.2734745995953984
4227	3.044309816222693	3.2644877442522433
4226	2.9236567870640613	3.2511218228003185
4225	2.806981539358759	3.233704554827125
4224	2.707189374068406	3.2130568984520167
4223	2.6040236788354036	3.1891732403049846
4222	2.5172309193287106	3.162822558426606
4221	2.4461098268576222	3.1347161741069582
4220	2.3443919245658265	3.103723063432397
