	macd	trigger
3452		
3451		
3450		
3449		
3448		
3447		
3446		
3445		
3444		
3443		
3442		
3441		
3440		
3439		
3438		
3437		
3436		
3435		
3434		
3433		
3432		
3431		
3430		
3429		
3428		
3427		
3426		
3425		
3424		
3423		
3422		
3421		
3420		
3419		
3418		
3417		
3416		
3415		
3414		
3413		
3412		
3411		
3410		
3409		
3408		
3407		
3406		
3405		
3404		
3403		
3402		
3401		
3400		
3399		
3398		
3397		
3396		
3395		
3394		
3393		
3392		
3391		
3390		
3389		
3388		
3387		
3386		
3385		
3384		
3383		
3382		
3381		
3380		
3379		
3378		
3377		
3376		
3375		
3374		
3373		
3372		
3371		
3370		
3369		
3368		
3367		
3366		
3365		
3364		
3363		
3362		
3361		
3360		
3359		
3358		
3357		
3356		
3355		
3354	-0.3842441539632162	
3353	-0.39789745157096235	
3352	-0.4052985945547505	
3351	-0.4121383761622113	
3350	-0.4211532570328771	
3349	-0.42952343322009057	
3348	-0.4345489364350783	
3347	-0.44184820620890264	
3346	-0.4513175493874897	
3345	-0.46010856737304096	
3344	-0.4682495755266771	
3343	-0.4757677704214558	
3342	-0.4826892788990804	
3341	-0.4890392045693588	
3340	-0.4948416719100521	
3339	-0.5056994675580633	
3338	-0.5157910812219342	
3337	-0.5195421110722052	
3336	-0.5256627118604413	
3335	-0.5368614731314807	
3334	-0.5472648466797416	
3333	-0.5569051935216436	
3332	-0.5765842170034468	
3331	-0.5888060674263684	
3330	-0.6001608315655069	
3329	-0.6118244880541255	
3328	-0.6197780818637142	
3327	-0.6270482337822045	
3326	-0.6336632265747788	
3325	-0.6396503043848831	
3324	-0.6450357126340904	
3323	-0.6556178282057452	
3322	-0.6653784257482371	
3321	-0.6685560038106857	
3320	-0.6712476016851454	
3319	-0.6705663668402622	
3318	-0.6666628735561595	
3317	-0.6567639796631362	
3316	-0.6469870427970257	
3315	-0.6373311697512385	
3314	-0.6277954583569709	
3313	-0.6330699252234417	
3312	-0.6377807279863177	
3311	-0.6419514318556132	
3310	-0.6373379212073012	
3309	-0.6320208207871083	
3308	-0.6207030873356878	
3307	-0.6095885769547564	
3306	-0.5986734007489503	-0.5995822026088341
3305	-0.5879537599321978	-0.5990548325004884
3304	-0.5625292282733021	-0.5974084351782467
3303	-0.5349984197219975	-0.594611681466924
3302	-0.505467034689854	-0.5906391140247058
3301	-0.47403697151885993	-0.5854705922702126
3300	-0.44380257752314733	-0.5792229257479311
3299	-0.41472414487923004	-0.5720036717420162
3298	-0.3807548870651587	-0.5636494770126304
3297	-0.3481434414243836	-0.5542775300206454
3296	-0.31081994595583495	-0.5437350651485284
3295	-0.27504215095997253	-0.5321471968459016
3294	-0.22263943908808415	-0.5188511171477335
3293	-0.1725145693025425	-0.5040284000916104
3292	-0.1306427428073924	-0.4881050710091191
3291	-0.09667563155793601	-0.4714693129468541
3290	-0.05813973127560246	-0.4539603038419154
3289	-0.027406860798588895	-0.4359477732801245
3288	0.004980261266950947	-0.4173841522307867
3287	0.045022857289524154	-0.39797225375814416
3286	0.09541015330356473	-0.3773171042446985
3285	0.13887576771352528	-0.3557640960759576
3284	0.1909819661549932	-0.33299317139464946
3283	0.2314433066952546	-0.3095425160951461
3282	0.2730049481932184	-0.2853956975998609
3281	0.31866327441969133	-0.2604130475342915
3280	0.3559451036308303	-0.23497622122521855
3279	0.3821363592380109	-0.20956046057825214
3278	0.41001372565443717	-0.18409347040886506
3277	0.43641278347224954	-0.1586362402753366
3276	0.4613874168089467	-0.13324478985005334
3275	0.48498976037644326	-0.10797050156893526
3274	0.5134405685567529	-0.08260859817467096
3273	0.5403344099965253	-0.05722472752391749
3272	0.5657284264868423	-0.03187928829970714
3271	0.5834910136554399	-0.00687912136724326
3270	0.6094355548122294	0.018124144062423235
3269	0.636986968002347	0.04319685422639501
3268	0.6629593075230318	0.06827345071104936
3267	0.6812032403398618	0.09304272549594858
3266	0.6951623339093942	0.11734609021742765
3265	0.7143486450178926	0.14141529983776438
3264	0.7354080908272991	0.16533682612824974
3263	0.7582470836327602	0.1891895502338759
3262	0.7796591533127426	0.21292001912380099
3261	0.7965796444221525	0.23635398880683214
3260	0.8154434398697674	0.2595827613316703
3259	0.8267854050747658	0.28231433550531454
3258	0.8403132207759043	0.3046578173705549
3257	0.8559227002873016	0.32671342679139825
3256	0.8672538697888754	0.34832281597822384
3255	0.8776250673559076	0.36946682653833185
3254	0.8927156448969171	0.39035374706551645
3253	0.9010172887655514	0.41072399014119554
3252	0.9022030193278425	0.43031576154975765
3251	0.9028717498985444	0.44914102231976333
3250	0.899904518833992	0.4670869814969499
3249	0.8997540654367171	0.4843022078633967
3248	0.8991483509674794	0.5007989120546558
3247	0.898108296300137	0.5165895651056147
3246	0.896654095005708	0.5316868634604471
3245	0.894805236276639	0.5461036961701512
3244	0.8925805271463148	0.5598531141548315
3243	0.8899981140261346	0.5729483014155159
3242	0.8744484851526622	0.5849019228592349
3241	0.8781068633059164	0.5965216481613969
3240	0.8754590182978745	0.6075713704338254
3239	0.8750106360477545	0.6181613967739735
3238	0.8741324328664675	0.6282934332667316
3237	0.876009369423663	0.638095112434735
3236	0.8792500789160442	0.6476338229609842
3235	0.8736535721800962	0.6565708449002674
3234	0.8678616861874318	0.6649227566488365
3233	0.8650574286479085	0.6728312167517818
3232	0.858762435513178	0.6801762140250935
3231	0.852311278639867	0.6869742513352864
3230	0.8469845482815259	0.6932917032218809
3229	0.840192769313461	0.6990900411007831
3228	0.833276785755622	0.7043851793535639
3227	0.8135267689526771	0.7086909555436766
3226	0.7968002326659089	0.7121661611736089
3225	0.7842422962803042	0.715008344493538
3224	0.7718509525483839	0.7172493359103814
3223	0.7596249678067153	0.7189196252419011
3222	0.7411906052147543	0.7197972881483357
3221	0.7168371723198632	0.7196806572957677
3220	0.6964099977315499	0.7187639449862836
3219	0.6733624743071758	0.7169757409018315
3218	0.6542065731915301	0.7145039065500491
3217	0.6387763337148513	0.7115222625887552
3216	0.6237180439426382	0.7080656660908966
3215	0.6026335947418957	0.7039157406556225
3214	0.5821968565301532	0.6991254445872834
3213	0.5591922568672913	0.6936190865563868
3212	0.538224188004186	0.6875051322543559
3211	0.5262485264248298	0.6811613692352619
3210	0.5113458766074643	0.6744817308176339
3209	0.49685683897352106	0.6674957434677741
3208	0.4795682818661291	0.6601054008611487
3207	0.46281825856344483	0.6523478360080461
3206	0.4401834670784339	0.644006160989387
3205	0.41835074985817045	0.6351349572535474
3204	0.40691170216768313	0.6261636772533581
3203	0.3925761011605715	0.6169823887697299
3202	0.3786896342008461	0.607617002273398
3201	0.3530475427855393	0.5976127721001526
3200	0.3277475840777413	0.5870083203385768
3199	0.31305914741280105	0.5762442445846699
3198	0.295666169028614	0.5652205482883158
3197	0.2821232181317441	0.5540986903538234
3196	0.26905046058677584	0.5429009798728737
3195	0.2532199937671109	0.5315220505900906
3194	0.24119282509335704	0.5201184015341009
3193	0.22958806582613533	0.5087075680964374
3192	0.2183925035061236	0.49730587588514774
3191	0.20759331543435167	0.48592850403377436
3190	0.2036121609678716	0.4748422067184292
3189	0.20292449430494486	0.4641648237383725
3188	0.20216301378734158	0.45387733565903865
3187	0.19231779966712992	0.4436077193687206
3186	0.19441246527722456	0.43382402513975077
3185	0.1963110695074235	0.4244994154812354
3184	0.2018869470133069	0.41576017138927557
3183	0.21032623957454888	0.40769565488886506
3182	0.22149486313258393	0.40038644946373625
3181	0.22881725247569307	0.39365185981455597
3180	0.23246404882186766	0.38732500522629504
3179	0.2390486309419444	0.3815051513069275
3178	0.24843443582409463	0.37628229956916925
3177	0.25726418444562427	0.3716111482192176
3176	0.2610421427602887	0.367271740050911
3175	0.2690299845815076	0.3634162464952481
3174	0.2765146698689023	0.3600058976070513
3173	0.28416074148280757	0.35702952847901803
3172	0.2906656861182313	0.3544253021193584
3171	0.2999524494551693	0.3522877532476885
3170	0.31189006020850485	0.3507025619945105
3169	0.3263521198858257	0.34974708211344757
3168	0.33675614727945913	0.34923734635318354
3167	0.3465117388008849	0.3491304018625315
3166	0.3556433342127363	0.3493859439457142
3165	0.3641745850729876	0.3499661807427509
3164	0.372128378345856	0.35083570419694315
3163	0.3762942528834685	0.3518345396197488
3162	0.37684206402516196	0.35281566188472213
3161	0.3804028036999867	0.3538979716640613
3160	0.3997735162701517	0.35569774929414105
3159	0.41158590418131524	0.3578903038815038
3158	0.4291161924666298	0.36068453174212584
3157	0.44886051781378455	0.364143669280415
3156	0.4739437341777446	0.36845105652031723
3155	0.4976385221272963	0.37351892991139624
3154	0.513523091077758	0.3790110574376273
3153	0.534890977262819	0.38512588701618117
3152	0.5770201107705688	0.3926533879160222
3151	0.6078659143798859	0.40109550549526735
3150	0.6350484071631826	0.41027264686978876
3149	0.6723203736341858	0.42055173782253025
3148	0.6997730278568781	0.431504366167665
3147	0.7256117408164755	0.4430407958129649
3146	0.7544314248334842	0.4552550485206329
3145	0.7815464235241976	0.4680536634848336
3144	0.8199796087033207	0.4818576599448306
3143	0.859476223422611	0.49666930216788824
3142	0.8967271001802217	0.5123609692494888
3141	0.9318151287088838	0.5288133009606082
3140	0.9648205489282446	0.5459147692806644
3139	0.9990623930496909	0.5636884046331465
3138	1.0344667834680479	0.5821534363635564
3137	1.0742045311178217	0.6014527053872064
3136	1.118058083198882	0.6217149149284118
3135	1.1528476947273063	0.6425467877603147
3134	1.182210366941625	0.6637131271308887
3133	1.2193498335695097	0.6855058306317193
3132	1.2606499485541605	0.708063514034499
3131	1.3026566157820128	0.7313838824103281
3130	1.3518035635493462	0.7557170653354981
3129	1.3980085375235518	0.7809079495109159
3128	1.4251601662115547	0.8061756173723738
3127	1.4503336873269106	0.8314394800415372
3126	1.4638718932666634	0.8562433564113238
3125	1.476032027218217	0.8805512475253245
3124	1.493360885755969	0.9045853283414367
3123	1.5156143585232016	0.9285494834927412
3122	1.5425568827655027	0.95263036033376
3121	1.573961176779818	0.9769983701748379
3120	1.5998698710720163	1.0014267218241455
3119	1.630258370870152	1.0260887441740163
3118	1.6616606632695223	1.051015034222758
3117	1.7037542816854483	1.0766145276133978
3116	1.7495372311500006	1.103005511246165
3115	1.8020649308580374	1.1304214606047005
3114	1.8512616085150384	1.1586915389560064
3113	1.900500791178935	1.187783914419131
3112	1.956250181756495	1.217921654500352
3111	2.018184586899217	1.2493063235925346
3110	2.0794945727156673	1.2818645285653854
3109	2.1466729697585123	1.3157803896589195
3108	2.209673096654477	1.350836797733752
3107	2.2621556992742953	1.3865765492710194
3106	2.2980752469332018	1.4223232831269281
3105	2.334410812006581	1.458093043294629
3104	2.367875754441272	1.4937723509137262
3103	2.3823382707697363	1.5286195317240991
3102	2.3981511327564817	1.562720181445034
3101	2.4022473725468387	1.595644088401487
3100	2.4016573032469637	1.6272536231072443
3099	2.377096971625086	1.656660293380509
3098	2.358918333251637	1.6842007680444966
3097	2.356589905903391	1.7105698376456788
3096	2.349891069719426	1.7356420515635678
3095	2.342274485021555	1.7594322817502888
3094	2.3175345479228753	1.781319284197813
3093	2.2927159023899293	1.8013746161606472
3092	2.2645845142773666	1.8195401998277554
3091	2.2625616667554453	1.836914040606811
3090	2.2594532913910754	1.8534846195936858
3089	2.248808701995827	1.8689878953931833
3088	2.237478660136958	1.883438845522632
3087	2.218998076614511	1.8965983214451059
3086	2.1937022452316413	1.9082497027388976
3085	2.1749200256049477	1.9187075754874903
3084	2.155861651190385	1.9280079173388789
3083	2.143052681210783	1.9364412039117795
3082	2.1167053191171803	1.9435105126172298
3081	2.0904568864225226	1.94927321554009
3080	2.0708201940482454	1.9540398432109647
3079	2.0314888447551738	1.9570771076245175
3078	1.9928925817396816	1.958481657644024
3077	1.9485137540245603	1.958090753680958
3076	1.9051432732630857	1.9560143523919526
3075	1.862757754544262	1.9523571809734928
3074	1.8115772115985251	1.9468363254362686
3073	1.7325141030007885	1.938431426465087
3072	1.649647681534752	1.927106436581303
3071	1.56969957835328	1.9130903182827699
3070	1.5055892829651114	1.897109706886325
