	macd	trigger
2853		
2852		
2851		
2850		
2849		
2848		
2847		
2846		
2845		
2844		
2843		
2842		
2841		
2840		
2839		
2838		
2837		
2836		
2835		
2834		
2833		
2832		
2831		
2830		
2829		
2828		
2827		
2826		
2825		
2824		
2823		
2822		
2821		
2820		
2819		
2818		
2817		
2816		
2815		
2814		
2813		
2812		
2811		
2810		
2809		
2808		
2807		
2806		
2805		
2804		
2803		
2802		
2801		
2800		
2799		
2798		
2797		
2796		
2795		
2794		
2793		
2792		
2791		
2790		
2789		
2788		
2787		
2786		
2785		
2784		
2783		
2782		
2781		
2780		
2779		
2778		
2777		
2776		
2775		
2774		
2773		
2772		
2771		
2770		
2769		
2768		
2767		
2766		
2765		
2764		
2763		
2762		
2761		
2760		
2759		
2758		
2757		
2756		
2755	-83.07929304012396	
2754	-88.70212301151605	
2753	-94.33411723638801	
2752	-98.40453405828157	
2751	-101.95925260934837	
2750	-104.85742807937004	
2749	-107.18244992779273	
2748	-109.01423883830284	
2747	-110.26489154275714	
2746	-112.05976223048219	
2745	-113.27174324898078	
2744	-113.59520440969027	
2743	-114.28861481957301	
2742	-115.1687793651563	
2741	-115.61492939774962	
2740	-115.70226384659418	
2739	-116.1180669406358	
2738	-117.29615880440451	
2737	-118.35948645580902	
2736	-119.87608320433992	
2735	-120.4143713377016	
2734	-121.31885337770382	
2733	-122.516360234702	
2732	-122.74376962898532	
2731	-122.7274429188883	
2730	-121.50855836501705	
2729	-120.22730548918571	
2728	-119.45988043112447	
2727	-118.55252225950517	
2726	-116.59178235944273	
2725	-115.75727958072366	
2724	-115.30666892129193	
2723	-115.10751481348689	
2722	-115.55447876784365	
2721	-116.32854104126	
2720	-117.5894628685046	
2719	-118.55781539816599	
2718	-119.59649580157838	
2717	-120.2343295749015	
2716	-119.66900459431508	
2715	-119.655559378004	
2714	-119.11186201578766	
2713	-118.1794811300233	
2712	-116.28659236056865	
2711	-114.0081349835209	
2710	-111.9536717281726	
2709	-107.74488822774492	
2708	-104.86067005155564	
2707	-102.35233540796526	-114.72582452940719
2706	-97.22932865293478	-113.93232799830386
2705	-93.18518610907631	-112.99714733330704
2704	-87.78690300311155	-111.86741128247633
2703	-81.54516018702179	-110.51615585849326
2702	-75.69696202727391	-108.97275573802334
2701	-70.67682620516916	-107.28387630176357
2700	-66.15017650132177	-105.47866762183138
2699	-61.19584885041695	-103.54429040836266
2698	-58.84317235645449	-101.60032393094397
2697	-57.17038899846921	-99.67637060619823
2696	-54.94170661085991	-97.7471072443201
2695	-52.78677995225007	-95.815665850858
2694	-51.307988865584775	-93.91079988484128
2693	-48.96242035568412	-91.99394039920047
2692	-46.39583503711401	-90.05602011920082
2691	-44.832946451979296	-88.14033045239523
2690	-44.381711707548675	-86.29248824097216
2689	-44.44545383950481	-84.53067581853136
2688	-45.76242587382603	-82.90318030831118
2687	-46.020660530632085	-81.359116414794
2686	-44.96205859448219	-79.83940134871149
2685	-43.92875785793967	-78.34379193389643
2684	-42.767222347918505	-76.86569138142526
2683	-40.56536005960788	-75.36102855911359
2682	-39.822022526555884	-73.8912075771966
2681	-39.092210601023	-72.45506847505347
2680	-37.60804767465288	-71.01989510805124
2679	-36.479601818758056	-69.60015017807797
2678	-35.537719209492934	-68.20268619016329
2677	-34.3126137504305	-66.81480673680598
2676	-33.5880821094197	-65.45645202084546
2675	-33.033617906264226	-64.13316567125412
