	macd	trigger
3751		
3750		
3749		
3748		
3747		
3746		
3745		
3744		
3743		
3742		
3741		
3740		
3739		
3738		
3737		
3736		
3735		
3734		
3733		
3732		
3731		
3730		
3729		
3728		
3727		
3726		
3725		
3724		
3723		
3722		
3721		
3720		
3719		
3718		
3717		
3716		
3715		
3714		
3713		
3712		
3711		
3710		
3709		
3708		
3707		
3706		
3705		
3704		
3703		
3702		
3701		
3700		
3699		
3698		
3697		
3696		
3695		
3694		
3693		
3692		
3691		
3690		
3689		
3688		
3687		
3686		
3685		
3684		
3683		
3682		
3681		
3680		
3679		
3678		
3677		
3676		
3675		
3674		
3673		
3672		
3671		
3670		
3669		
3668		
3667		
3666		
3665		
3664		
3663		
3662		
3661		
3660		
3659		
3658		
3657		
3656		
3655		
3654		
3653	0.9953144705638124	
3652	0.9779192620918025	
3651	0.9608538600105305	
3650	0.9116510685128105	
3649	0.8968748492986265	
3648	0.8605834303209292	
3647	0.8364838700482551	
3646	0.8021614117421336	
3645	0.769053878095832	
3644	0.7371185468043393	
3643	0.7173373865859105	
3642	0.6981225507670956	
3641	0.6960737114457913	
3640	0.6882133894194737	
3639	0.7026364593896517	
3638	0.6713882941703275	
3637	0.6412618704290196	
3636	0.5561606022775152	
3635	0.5028468439184337	
3634	0.4517662039406787	
3633	0.40283801129416474	
3632	0.34467170699824123	
3631	0.30037495724945984	
3630	0.2807088696015114	
3629	0.2675066795036116	
3628	0.26619090049427996	
3627	0.25336792731175706	
3626	0.24101049227482463	
3625	0.24058194222263296	
3624	0.2573036093828591	
3623	0.2558353115105092	
3622	0.25430494110727864	
3621	0.26428411701692767	
3620	0.2736686332999909	
3619	0.2708705657130963	
3618	0.26806392036860416	
3617	0.265250442303568	
3616	0.2624318003903454	
3615	0.247916117599857	
3614	0.21930017591731144	
3613	0.20655459620380157	
3612	0.1649077668245127	
3611	0.15451941202340436	
3610	0.12094732934886565	
3609	0.11247346544553238	
3608	0.10137396457139403	
3607	0.0907317273419892	
3606	0.0805310056748283	
3605	0.09749207820095762	0.30685717157425885
3604	0.08982700347235095	0.2970144758282374
3603	0.09438447108109926	0.2878808966779386
3602	0.09868544587965289	0.2794025607038606
3601	0.09078815460637202	0.2709973061441561
3600	0.08320580778692488	0.2626732357307881
3599	0.06693938649010533	0.2540412250446665
3598	0.060382800061034914	0.24554226017113243
3597	0.05409504386588537	0.237179397483585
3596	0.024001964892761407	0.22790871700043655
3595	0.055511126133495736	0.22044336917513127
3594	0.06142675216133853	0.21358548972025296
3593	0.08515898024830904	0.2080684418838215
3592	0.10776493804010556	0.2037755930162578
3591	0.12928471917206252	0.2005988703041677
3590	0.1497571067600063	0.1984380944591893
3589	0.16921961636708716	0.1972003737113093
3588	0.1755573008281317	0.1962864284176601
3587	0.1875992079304467	0.19592068558331682
3586	0.1989966573659956	0.19604981522607898
3585	0.20977327913928434	0.19662433956037326
3584	0.2199519275181956	0.197598354741762
3583	0.22955470613356965	0.19892927547608436
3582	0.2019071862990529	0.19905299880533908
