	macd	trigger
1186		
1185		
1184		
1183		
1182		
1181		
1180		
1179		
1178		
1177		
1176		
1175		
1174		
1173		
1172		
1171		
1170		
1169		
1168		
1167		
1166		
1165		
1164		
1163		
1162		
1161		
1160		
1159		
1158		
1157		
1156		
1155		
1154		
1153		
1152		
1151		
1150		
1149		
1148		
1147		
1146		
1145		
1144		
1143		
1142		
1141		
1140		
1139		
1138		
1137		
1136		
1135		
1134		
1133		
1132		
1131		
1130		
1129		
1128		
1127		
1126		
1125		
1124		
1123		
1122		
1121		
1120		
1119		
1118		
1117		
1116		
1115		
1114		
1113		
1112		
1111		
1110		
1109		
1108		
1107		
1106		
1105		
1104		
1103		
1102		
1101		
1100		
1099		
1098		
1097		
1096		
1095		
1094		
1093		
1092		
1091		
1090		
1089		
1088	0.15631186961034516	
1087	0.15920043296238973	
1086	0.16672429418161627	
1085	0.17380336616788483	
1084	0.18045592586965853	
1083	0.1866995058445795	
1082	0.1925509287736311	
1081	0.20349521216137134	
1080	0.2132689200425233	
1079	0.22247156681082814	
1078	0.23718882589858836	
1077	0.2593793727809448	
1076	0.30808893433599494	
1075	0.3732308671331168	
1074	0.42900086335317766	
1073	0.4802629015910327	
1072	0.528879106958513	
1071	0.5777542602116554	
1070	0.618994307391759	
1069	0.6546152180705533	
1068	0.6769539032577399	
1067	0.7007357390142559	
1066	0.7315574118225356	
1065	0.760573930410537	
1064	0.7878557820917607	
1063	0.8151822960278281	
1062	0.8476870052864314	
1061	0.8782547295145875	
1060	0.9069608718122382	
1059	0.9333030240850064	
1058	0.9614104377288584	
1057	0.9935040372787469	
1056	1.023611292530667	
1055	1.051809568666414	
1054	1.0799151070598043	
1053	1.1015243189902435	
1052	1.1244921489535429	
1051	1.1458317849993875	
1050	1.1720392800275121	
1049	1.211674106764363	
1048	1.2770318611779317	
1047	1.3240478939906026	
1046	1.3697042992079744	
1045	1.4287823647633004	
1044	1.4726148255365956	
1043	1.506296672048947	
1042	1.5480352606980148	
1041	1.5959734784972497	
1040	1.6765525167844046	1.030593367049412
1039	1.7615153594508186	1.063741951175766
1038	1.8416943461886888	1.0988082770334888
1037	1.9083179204621246	1.1350844914048455
1036	1.9649484538918074	1.1720658545941594
1035	2.0269666123946806	1.209960296923152
1034	2.0821230550687773	1.2484233337333714
1033	2.1397004282569583	1.2875382481481803
1032	2.187550661809496	1.3268528977826626
1031	2.2260863140701375	1.3659588461978143
1030	2.2557056877900763	1.404487630826131
1029	2.2828250203474667	1.4423675206839774
1028	2.2954661576391473	1.4790156084396002
1027	2.307873652109855	1.514489566754007
1026	2.320053604421794	1.5488434874752857
1025	2.3335272592926657	1.5821925615808052
1024	2.363403617470084	1.6152853574923336
1023	2.3907138185762804	1.6480302082995475
1022	2.4398912829328907	1.6813685487122059
1021	2.4855839102478825	1.7151296003979597
1020	2.521831121380359	1.7489016609540862
1019	2.555141112482346	1.7825652127556233
1018	2.579521224421903	1.8157569018588233
1017	2.596888252580861	1.8482105840010683
1016	2.5953031172892196	1.8791778594702513
1015	2.5924660320625392	1.908678007033999
1014	2.5945700561839047	1.936984466335332
1013	2.5875777402925237	1.9637791282056347
1012	2.568825433187449	1.988648964043516
1011	2.561920998444805	2.012168337164397
1010	2.5478635443151347	2.0341063360455927
1009	2.545473582518028	2.055011740313489
1008	2.5388066663448754	2.0747570599038876
1007	2.548129480933895	2.0940461829014083
1006	2.5696339280793765	2.113395920860965
1005	2.573379084411819	2.1320832963133673
1004	2.5291960623988388	2.1481937611127693
1003	2.491926871558981	2.16211982084457
1002	2.447324733116943	2.1736596752879183
1001	2.4003951349809967	2.1828223444869783
1000	2.3590312135840037	2.1899346662798336
999	2.3292222919978727	2.195550292266639
998	2.288686588794512	2.1993011161819904
997	2.2503791670295215	2.201355981381738
996	2.2266839576759594	2.2023738911104704
995	2.206044038205569	2.202521247740998
994	2.1820914266352247	2.2017017548866242
993	2.154986495733361	2.199829564426658
992	2.1311346620654774	2.19707887200476
991	2.107274655171082	2.1934858865050333
990	2.0771594171187004	2.1888354593588994
989	2.0426502011129486	2.182995804159929
988	2.000827140548253	2.17572403924446
987	1.9692868909290624	2.1674893121734113
986	1.9318937795742244	2.158097794844177
985	1.8936389451495685	2.1475625208635574
984	1.8592930589996683	2.1360858329004815
983	1.827125811392989	2.123792739883093
982	1.7923366130187404	2.110612109502037
981	1.762929896640287	2.096793837362013
980	1.7355290621855914	2.0824433214184084
979	1.708482021053804	2.0675959936298227
978	1.6754799328861054	2.0520354506564815
977	1.6478493381223132	2.0360034258374893
976	1.61273569603172	2.0192220688620934
975	1.5736512841064894	2.0015640781282356
974	1.5339542033800484	1.983040352729647
973	1.4905299592043306	1.9635379882273485
972	1.448312925085098	1.9431439654448077
971	1.3993572152874734	1.9216272905649294
970	1.3411403591149522	1.89866654924509
