	macd	trigger
4891		
4890		
4889		
4888		
4887		
4886		
4885		
4884		
4883		
4882		
4881		
4880		
4879		
4878		
4877		
4876		
4875		
4874		
4873		
4872		
4871		
4870		
4869		
4868		
4867		
4866		
4865		
4864		
4863		
4862		
4861		
4860		
4859		
4858		
4857		
4856		
4855		
4854		
4853		
4852		
4851		
4850		
4849		
4848		
4847		
4846		
4845		
4844		
4843		
4842		
4841		
4840		
4839		
4838		
4837		
4836		
4835		
4834		
4833		
4832		
4831		
4830		
4829		
4828		
4827		
4826		
4825		
4824		
4823		
4822		
4821		
4820		
4819		
4818		
4817		
4816		
4815		
4814		
4813		
4812		
4811		
4810		
4809		
4808		
4807		
4806		
4805		
4804		
4803		
4802		
4801		
4800		
4799		
4798		
4797		
4796		
4795		
4794		
4793	0.21610177534716257	
4792	0.2195029788257017	
4791	0.22149586388516695	
4790	0.22327993076748243	
4789	0.22486447675943566	
4788	0.22625841544707015	
4787	0.22747029442221134	
4786	0.2261566970077311	
4785	0.22478965063796608	
4784	0.2233723564725949	
4783	0.22190788125895722	
4782	0.22100696178553392	
4781	0.21942637844480828	
4780	0.2178082015370748	
4779	0.21615497572022946	
4778	0.21686836695831602	
4777	0.2174378774869936	
4776	0.21787002701071145	
4775	0.21817108150379738	
4774	0.2183470636971947	
4773	0.2171620884611727	
4772	0.21473403067787444	
4771	0.21230980491232998	
4770	0.21108336548426365	
4769	0.20923733567488512	
4768	0.20674314904471913	
4767	0.20300197493448024	
4766	0.20059122854674172	
4765	0.1957222239806029	
4764	0.17251885140768053	
4763	0.15214458260748387	
4762	0.13263444150198467	
4761	0.1170233226895192	
4760	0.1045648872684879	
4759	0.09512420383539677	
4758	0.09229337664558557	
4757	0.09327493461961467	
4756	0.09667369141588722	
4755	0.09986699701839541	
4754	0.10415124127963082	
4753	0.110708345663042	
4752	0.11690802066648587	
4751	0.12276366831606822	
4750	0.13076434126507763	
4749	0.13833157547284003	
4748	0.14743322153208993	
4747	0.15793824262728862	
4746	0.1691274894674777	
4745	0.17971832400579046	0.16006530079024844
4744	0.18973293793577284	0.1614107797551343
4743	0.1991927720490736	0.16311380896595284
4742	0.20686542074689385	0.16507443149953444
4741	0.21408197430015008	0.1672583626271063
4740	0.21828658277782864	0.16952024615921085
4739	0.21835296396475457	0.17167380592194506
4738	0.22082541600038752	0.17383089156162032
4737	0.223072593516207	0.17598188440390206
4736	0.2264272288775402	0.17817565634680324
4735	0.22818819186350936	0.18034135350869576
4734	0.22848598521589736	0.18241767790074884
4733	0.22738564603967149	0.18434944753576923
4732	0.22621976553305956	0.1861414382470734
4731	0.21978534964721064	0.18757620967547559
4730	0.21353249826636045	0.18867935239718225
4729	0.2074560390346889	0.18947474956175822
4728	0.20155095200062334	0.18998470433776116
4727	0.19514328056241226	0.1902018868407674
4726	0.1882583768685535	0.1901202980726812
4725	0.17244693678084388	0.18938041372605025
4724	0.15598641266176827	0.18798608765758865
4723	0.14019625420290538	0.1859957327683582
4722	0.12113963827478358	0.1833011551230796
4721	0.10288916624546118	0.17996804697429603
4720	0.08603018214038372	0.17608296801055465
4719	0.07191946170944163	0.1717841865106802
4718	0.060993696256247176	0.1672212839359943
4717	0.050534173896011225	0.16242497455075083
4716	0.040524954623116116	0.15742383742897403
4715	0.033598906987521104	0.15235291062352974
4714	0.026970902383808948	0.14722711973986713
4713	0.01797749822671335	0.14195200223367463
4712	0.005431538998784902	0.13638902498779626
4711	-0.006546369508910743	0.1305735630531702
4710	-0.02329671678068479	0.12432239579734171
4709	-0.04323618219316927	0.11752471311601251
4708	-0.06621292612860685	0.11008073620096041
4707	-0.08811066591905359	0.1020615898469739
4706	-0.11163671304717582	0.09342576878717956
4705	-0.134035629451283	0.08424474022706814
4704	-0.14471464610710427	0.0750138392536833
4703	-0.1507891028904922	0.06592020865932478
4702	-0.15383222823268028	0.05707958871325454
4701	-0.15665818273549093	0.048489650282014234
4700	-0.15796559998860715	0.0402004593459935
4699	-0.15913262927477945	0.032204694678296036
4698	-0.1601650414147784	0.024495162691797228
4697	-0.16375620780637945	0.016957170782023148
4696	-0.16710014115191285	0.009593204186533894
4695	-0.17289790662928084	0.0022976882120271376
4694	-0.17834340369866197	-0.0049183724508693365
4693	-0.18476609979308023	-0.012097490790353488
4692	-0.190802001836623	-0.01922596978185192
4691	-0.19376685598024324	-0.026183672838899535
4690	-0.19919791612010584	-0.033076058771992274
4689	-0.20566230456334011	-0.03994712474221031
4688	-0.2117272142636395	-0.046782017518041626
4687	-0.2187289467387572	-0.053619631113108406
4686	-0.2246075142963022	-0.060415368758196274
4685	-0.23211920727096924	-0.06723595809174633
4684	-0.23917014195858144	-0.07406223445629259
4683	-0.24577761851102053	-0.08087650421025137
4682	-0.24930816428958025	-0.08755733878362534
4681	-0.25520170382599616	-0.09420395920040167
4680	-0.25393696885170414	-0.10053418573412967
4679	-0.25531685079211996	-0.10666568923486289
4678	-0.25650266134546484	-0.11259891477575998
4677	-0.2575025897184702	-0.11833460012855038
4676	-0.2610464880774046	-0.1239814558005591
4675	-0.2642949162446655	-0.12953145338775937
4674	-0.26725961022061284	-0.13497734722458068
4673	-0.2726778683672393	-0.1404203782301339
4672	-0.2790412882579787	-0.14589807944721375
4671	-0.28497168515175986	-0.1513920210321415
4670	-0.2959452035364194	-0.1571007819413169
4669	-0.3008053299722633	-0.16277445785715702
4668	-0.3066873619793995	-0.16845484987496998
4667	-0.3094104926197119	-0.174017095369209
4666	-0.3118503241556638	-0.17945479365539818
4665	-0.31401845302646336	-0.1847622527778
4664	-0.32273643876942515	-0.190202998586738
4663	-0.3418435301444731	-0.19618135076471313
4662	-0.3571664046418732	-0.20252678105075486
4661	-0.37434844028003056	-0.2092979917029756
4660	-0.40011844563419885	-0.2168164651408502
4659	-0.42451012818070666	-0.22499824172458055
4658	-0.4489132759031804	-0.23381746658005745
4657	-0.48563269907342743	-0.24373388836299303
