	macd	trigger
1319		
1318		
1317		
1316		
1315		
1314		
1313		
1312		
1311		
1310		
1309		
1308		
1307		
1306		
1305		
1304		
1303		
1302		
1301		
1300		
1299		
1298		
1297		
1296		
1295		
1294		
1293		
1292		
1291		
1290		
1289		
1288		
1287		
1286		
1285		
1284		
1283		
1282		
1281		
1280		
1279		
1278		
1277		
1276		
1275		
1274		
1273		
1272		
1271		
1270		
1269		
1268		
1267		
1266		
1265		
1264		
1263		
1262		
1261		
1260		
1259		
1258		
1257		
1256		
1255		
1254		
1253		
1252		
1251		
1250		
1249		
1248		
1247		
1246		
1245		
1244		
1243		
1242		
1241		
1240		
1239		
1238		
1237		
1236		
1235		
1234		
1233		
1232		
1231		
1230		
1229		
1228		
1227		
1226		
1225		
1224		
1223		
1222		
1221	-0.10459429787614916	
1220	-0.1057868472172534	
1219	-0.10713775490328992	
1218	-0.10836918208675694	
1217	-0.10867262485249851	
1216	-0.10890594798394826	
1215	-0.10907242631937164	
1214	-0.11054241803862164	
1213	-0.11051547130230954	
1212	-0.11208255850302118	
1211	-0.11351841977466659	
1210	-0.11482864305528873	
1209	-0.11491075463028588	
1208	-0.11548568439047946	
1207	-0.11653137589696128	
1206	-0.11746864776241983	
1205	-0.1191410973375806	
1204	-0.12145944263929387	
1203	-0.12332668061789631	
1202	-0.12498767589001059	
1201	-0.12684626270187138	
1200	-0.12838405305816503	
1199	-0.1297283012028827	
1198	-0.1295238751938741	
1197	-0.12983240471272328	
1196	-0.13006063710692173	
1195	-0.130212203115311	
1194	-0.1294886650285747	
1193	-0.1283310905754691	
1192	-0.1271619003759077	
1191	-0.12598219197937865	
1190	-0.12363839870636717	
1189	-0.1207616447233586	
1188	-0.11529071267995672	
1187	-0.11158099679435596	
1186	-0.11025381587952321	
1185	-0.10899004781189037	
1184	-0.10837114330109321	
1183	-0.10719948273786661	
1182	-0.1065543746188915	
1181	-0.10559147950374426	
1180	-0.10602952727329962	
1179	-0.10356833821688971	
1178	-0.10370257319668807	
1177	-0.10371893155286882	
1176	-0.1040367063433636	
1175	-0.10428706673952881	
1174	-0.10459162116317344	
1173	-0.10411613822345922	-0.11319501774969086
1172	-0.103609519118943	-0.11276029870845576
1171	-0.10337136678363867	-0.11233709113374787
1170	-0.10422534676816131	-0.11197358295330752
1169	-0.1025372524974375	-0.11155307021924794
