	macd	trigger
307		
306		
305		
304		
303		
302		
301		
300		
299		
298		
297		
296		
295		
294		
293		
292		
291		
290		
289		
288		
287		
286		
285		
284		
283		
282		
281		
280		
279		
278		
277		
276		
275		
274		
273		
272		
271		
270		
269		
268		
267		
266		
265		
264		
263		
262		
261		
260		
259		
258		
257		
256		
255		
254		
253		
252		
251		
250		
249		
248		
247		
246		
245		
244		
243		
242		
241		
240		
239		
238		
237		
236		
235		
234		
233		
232		
231		
230		
229		
228		
227		
226		
225		
224		
223		
222		
221		
220		
219		
218		
217		
216		
215		
214		
213		
212		
211		
210		
209	1.2735530813551037	
208	1.2620427089290587	
207	1.2450400166378017	
206	1.2200954226544525	
205	1.1957140649686124	
204	1.177319729289266	
203	1.1537419421072599	
202	1.1388952318956314	
201	1.1269107341963434	
200	1.1149169251634419	
199	1.1249659786411854	
198	1.1339670275463476	
197	1.1585833658628815	
196	1.1925571343675472	
195	1.2215445856540015	
194	1.2485501503397956	
193	1.2484873108131183	
192	1.2351786848613528	
191	1.24012398447681	
190	1.2385759749387262	
189	1.2350590897338094	
188	1.2211792064225335	
187	1.1903183132337318	
186	1.158867200498591	
185	1.1012471292887795	
184	1.0457421434991119	
183	0.9965675470193673	
182	0.9806700210124006	
181	0.923398867244515	
180	0.8697464478740642	
179	0.7936443961682329	
178	0.7408614240100633	
177	0.7017074370279204	
176	0.6364785891511815	
175	0.5869967595290859	
174	0.5278653781112155	
173	0.5221700090538377	
172	0.5120942374492614	
171	0.5007603301903032	
170	0.43259010900823114	
169	0.3277336191448086	
168	0.22605839099571767	
167	0.1289367991093826	
166	0.06568457740459621	
165	0.0053006398062791504	
164	-0.06414539508139683	
163	-0.15406887305988448	
162	-0.21606465926181784	
161	-0.218669561640624	0.5843477071153598
160	-0.32278929843138826	0.543207465536774
159	-0.3409414312255592	0.5033543157561899
158	-0.4058277066960727	0.46261152508433384
157	-0.4675398625699074	0.42116103700096164
156	-0.49627243546363786	0.3804947614177677
155	-0.5683810859967764	0.338648619391442
154	-0.5934028829606746	0.29774426431634105
153	-0.6229880711991242	0.257524519978958
152	-0.6839944310758099	0.2165796542022343
151	-0.7554211588918847	0.17448901871401745
150	-0.8156631006600534	0.1317869162282711
149	-0.8078180738018901	0.09142261995750346
148	-0.8603873714074126	0.050686491238280416
147	-0.9101203412973575	0.009712117743463878
146	-0.9313605306805002	-0.03028348636885399
145	-0.946606324313862	-0.06909973767071027
144	-0.9910528669069834	-0.10803204307756252
143	-1.0025553733386516	-0.14569259269495297
142	-1.0038885213539572	-0.18171975468379387
141	-0.9833124471092205	-0.21527793729013434
140	-0.9814813107057745	-0.24726983114077367
139	-0.9792331369505831	-0.27775469871909014
138	-0.9765879591094517	-0.30678914021497117
137	-0.9735650957259381	-0.3344272623625149
136	-0.9701831742075768	-0.3607208333687379
135	-0.9511229559182652	-0.38508646594033835
134	-0.9462623175417875	-0.40819847431076206
133	-0.9611177469275063	-0.4309256795318442
132	-0.857899488663989	-0.4484429413677722
131	-0.7589410103564802	-0.4611585792886673
130	-0.6702630941459446	-0.4697070626878076
129	-0.5420859235280631	-0.47266109064879347
128	-0.35770488714337034	-0.46797682039933686
127	-0.29279619289453507	-0.4608494306123268
126	-0.2245039707924974	-0.4512476088629627
125	-0.22422239593604587	-0.44203742471932683
124	-0.1804561790969217	-0.4314396791412891
123	-0.13858842205593902	-0.41959044115520194
122	-0.06751470333315268	-0.4053626114057429
121	-0.08661989475440635	-0.3924971933279225
120	-0.13434687906526221	-0.3820894086751072
119	-0.14405350276300055	-0.37250312704386046
118	-0.1828261757668841	-0.3648724410661067
117	-0.22441637580247686	-0.35922763179944806
116	-0.17980010043179817	-0.3520236054318176
115	-0.14960374383492336	-0.3439040223330184
114	-0.12382680735255036	-0.33508406778689076
113	-0.1851053259621267	-0.3290785946818537
112	-0.25757679933582267	-0.3262178725137788
111	-0.3078430039430984	-0.32548329346174953
110	-0.3227816274202624	-0.32537537014352746
109	-0.3212057686535914	-0.3252089289937442
108	-0.3618729716840505	-0.32667144863877756
107	-0.32048528278999555	-0.32642485022865747
106	-0.3907167073736417	-0.32898605145345067
105	-0.3554386708662136	-0.3300391926944387
104	-0.3200098840993846	-0.32964014034178307
103	-0.30490268257512554	-0.32865643462340083
102	-0.2997689503071328	-0.3275083312549906
101	-0.30258865007216684	-0.3265184470849964
100	-0.3870624248970316	-0.3289222152912886
99	-0.44857762926219635	-0.33367056252184024
98	-0.5259958657045729	-0.3412991374241636
97	-0.5143918653196238	-0.34816176987193304
96	-0.507788560736806	-0.3544877869502598
95	-0.501224271507617	-0.3603005520193432
94	-0.49470055699798365	-0.3656225064809386
93	-0.48980060697547145	-0.37053781668563435
92	-0.488036408856793	-0.37518702707161516
91	-0.4845179140263909	-0.37951153134144733
90	-0.48090995931560343	-0.3835209153821993
89	-0.47563357484590796	-0.38716194780026475
88	-0.4703521459274782	-0.39044926606587865
