	macd	trigger
673		
672		
671		
670		
669		
668		
667		
666		
665		
664		
663		
662		
661		
660		
659		
658		
657		
656		
655		
654		
653		
652		
651		
650		
649		
648		
647		
646		
645		
644		
643		
642		
641		
640		
639		
638		
637		
636		
635		
634		
633		
632		
631		
630		
629		
628		
627		
626		
625		
624		
623		
622		
621		
620		
619		
618		
617		
616		
615		
614		
613		
612		
611		
610		
609		
608		
607		
606		
605		
604		
603		
602		
601		
600		
599		
598		
597		
596		
595		
594		
593		
592		
591		
590		
589		
588		
587		
586		
585		
584		
583		
582		
581		
580		
579		
578		
577		
576		
575	0.54059900816641	
574	0.5546630598941888	
573	0.5747826153322677	
572	0.5936465879828461	
571	0.606967222964407	
570	0.6236948205413348	
569	0.6393085312351658	
568	0.653854684836233	
567	0.6646361311125801	
566	0.6740184584924513	
565	0.6787555367631803	
564	0.6873431616179673	
563	0.6907444379469361	
562	0.6964099398297243	
561	0.7031242955005297	
560	0.708049563175269	
559	0.7190947907598684	
558	0.738226347915294	
557	0.7600210723336289	
556	0.7804115529541669	
555	0.8011472645228004	
554	0.8154186662281866	
553	0.8229424797388099	
552	0.8342427743401863	
551	0.8394704625253446	
550	0.8463108023888708	
549	0.852403893284599	
548	0.8531991218592765	
547	0.8569678723248302	
546	0.8601269926090502	
545	0.8667366628687212	
544	0.8887654582384883	
543	0.911061020167562	
542	0.9405573886707828	
541	0.9687965586157006	
540	1.0057111505487626	
539	1.0380843547556609	
538	1.0736932308610108	
537	1.1006872881831242	
536	1.1235385168961827	
535	1.1535689490021497	
534	1.179871194167717	
533	1.2031894045742177	
532	1.230721902121239	
531	1.2569567822504197	
530	1.2925870997371618	
529	1.3300739507611397	
528	1.363981030220799	
527	1.3897008810197704	1.0039350423684914
526	1.4236520102053376	1.022969937148285
525	1.439833147609356	1.0417601115469146
524	1.4628962612424061	1.0606323082772406
523	1.4871486970210839	1.0796392277138447
522	1.5185121544116527	1.0990927662196404
521	1.5536620623941388	1.1191396157420044
520	1.586415561411549	1.1396466597749635
519	1.6162649558599256	1.1604664629638288
518	1.6427255534309424	1.181438992201461
517	1.659913251108108	1.2021584045217306
516	1.6603923344810596	1.2219205722297988
515	1.660004474879159	1.2407401279214147
514	1.653347207047716	1.2583991304936073
513	1.6425193926526447	1.2747802453604684
512	1.630742895780628	1.2899086642650228
511	1.6229208564207553	1.3040153572361246
510	1.6146287172819527	1.3171319613380819
509	1.6046753992970437	1.329237899267334
508	1.5894864251212795	1.3401631617688095
507	1.57356984284948	1.3499345882042793
506	1.5472013507073896	1.358171222948036
505	1.5255218606235843	1.3651410559822776
504	1.508944653718757	1.3711156673553035
503	1.4917405053359118	1.3761156137069697
502	1.4659785981693787	1.3798321639092888
501	1.4363472168797102	1.3821645149677426
500	1.4122445895647289	1.3834033618174146
499	1.3799123812112413	1.383259868478353
498	1.3526543856662343	1.3820042311428347
497	1.3321050426532892	1.3799607401303267
496	1.3081116603152054	1.3770234498166178
495	1.2839247433568346	1.3732237743475497
494	1.2657405915113742	1.368844017011073
493	1.244027961468447	1.363765757547109
492	1.2177176448450666	1.3578323753443577
491	1.190743117437016	1.3510537325059278
490	1.1712039273500991	1.3437672679401444
489	1.1519543692663632	1.3360062062059124
488	1.131749370550267	1.3277519268828066
487	1.1062925020620042	1.318813156085073
486	1.0826706913836475	1.309292656654277
485	1.0751258287756258	1.299862192152971
484	1.0798287726221076	1.2910102683016664
483	1.0893739314747037	1.2829066761892176
482	1.0891950996586957	1.2751291445339348
481	1.0915871447951773	1.2677668011984453
480	1.103929562074974	1.2612007557213598
479	1.1345220615471945	1.2561282669033575
478	1.1581379072396345	1.2522077612322617
477	1.1926050184414976	1.2498249999009807
476	1.2186297409182316	1.2485788444507824
475	1.2378318276674491	1.248149847618717
474	1.2621114499244328	1.2487067725006982
473	1.2824429302454377	1.2500515930352223
472	1.2923996803433155	1.25173861807848
471	1.3012402819562467	1.2537093962049763
470	1.324730700646505	1.2565352359283686
469	1.3345184970822999	1.2596363055960293
468	1.3362507222003472	1.262681266825923
467	1.3409972190794406	1.2657922103739174
466	1.345469132165178	1.2689556109019051
465	1.3588212970298557	1.272521797066712
464	1.3661354399517336	1.2762349781968578
463	1.3692579285400228	1.279923072579412
462	1.364585711365649	1.2832782568561625
461	1.357527951299545	1.2862195569121952
460	1.3431367161774972	1.2884733554127341
459	1.327443282189364	1.2900158921241074
458	1.3067161143964157	1.290676690227318
457	1.2818254117196375	1.2903265842987366
456	1.261841895748958	1.289200274375013
455	1.2326080834036546	1.2869632962751978
454	1.1926522404227953	1.2832365296183996
453	1.1418424583184432	1.277650920729914
452	1.080692773672844	1.269872558806753
451	1.042090251107851	1.2608793640126157
450	1.0027996704801083	1.2506926900653201
449	0.9698641140956141	1.2396109238378428
448	0.9315666621893257	1.227458181219938
447	0.9091632927801072	1.2149039959580359
446	0.8720342714670792	1.201383589926076
445	0.8335968610921256	1.1868837819343212
444	0.802847274194896	1.171746495406996
443	0.7692583122092316	1.1558850941978212
442	0.7463622944463566	1.1397495792218155
441	0.724760074716464	1.1234016976313974
440	0.7107839395746254	1.1071501368507
439	0.7040968526916558	1.091277997873469
438	0.6973504139123889	1.075767771440347
437	0.6867187396572234	1.0604520435460323
436	0.6838827234734595	1.045629849696306
435	0.6833789732837587	1.031373319483273
434	0.6787091958278211	1.017496018743258
433	0.6649476218041386	1.0036251336098188
432	0.6533876953383242	0.9898469488503198
431	0.6400960933176947	0.9760896101348555
430	0.6238774954647184	0.9622371069636652
429	0.5946266772614877	0.9477806406329132
428	0.5631962908237824	0.9326583270326146
427	0.5316230003397138	0.9168908049781277
426	0.4967245821472801	0.9003727868771426
425	0.4637980055422304	0.8832113691990738
424	0.43918380767856036	0.8657586210469956
423	0.4186696539911523	0.8481871217276011
422	0.40143885159856296	0.8306305282035329
421	0.38221697764878115	0.8130099529046547
420	0.3604618769081611	0.7952283267720186
419	0.33758356313598625	0.7772478167983073
418	0.3207101638347325	0.7593121233913818
417	0.30122604413911347	0.7413168694127398
416	0.2741180468372377	0.7229648800932019
415	0.24360194881051456	0.7041363015047202
414	0.23299430588060943	0.6856317869091804
413	0.21696067912266415	0.6672254264716095
412	0.2028308562993999	0.6489880752763884
411	0.19374286884514902	0.6311110241107594
410	0.18561166689539021	0.613617616961451
409	0.1764669769825531	0.5964529187538448
408	0.16893471542957172	0.5796672646249803
407	0.17518109027226103	0.5637866690488712
406	0.18105241427497276	0.5487607622758781
405	0.1910723408550865	0.5347187526563025
404	0.18893865634895946	0.5211448057062973
403	0.18164824451134365	0.5078180626592176
402	0.18619859105996994	0.49519356360908756
401	0.18722161252956226	0.4831052193370039
400	0.1881010130458023	0.4715262918477111
399	0.18561798287516496	0.4603047642340761
398	0.18508702052891834	0.4495031838720907
397	0.18448425659284595	0.43910221035317293
396	0.1947836893739634	0.4295139402875205
395	0.21613096595284986	0.42113997956628596
394	0.23058448046364077	0.41366206622694224
393	0.23974087973502378	0.4068371127243529
392	0.24706456181532133	0.40056753771191844
391	0.2545724969113152	0.3948387437072704
390	0.24416582391308594	0.3889265330442449
389	0.2341062781640204	0.3828517261628212
388	0.22115253172791682	0.37650714512689976
387	0.20738133904924183	0.3698713076145273
386	0.18766617646067374	0.3627224343141005
385	0.16164057559099376	0.35483308166489286
384	0.1360696114890061	0.3462501610154057
383	0.11417883553833263	0.3371452875862651
382	0.10033928319983687	0.32785481972736363
381	0.0916053375540713	0.31858634048021
380	0.08386842596460298	0.3093780951687242
379	0.0790281025874151	0.30034134771985943
378	0.07630826889300835	0.2915525462863414
377	0.07367267363248686	0.2830052564083411
376	0.06594132066036451	0.2744900917290782
375	0.053996946300507886	0.2658405168645529
374	0.042568507874371164	0.25708204248140365
373	0.02386943083863713	0.2479337309290864
372	0.0008296604544213437	0.23824060733849714
371	-0.017923376218746512	0.2281922041111573
370	-0.03063190905804447	0.21803956270923106
369	-0.041450292057994886	0.2078609121548667
368	-0.06341426921564874	0.19722008056016804
367	-0.09211893427318074	0.1858707992523823
366	-0.1142850450745243	0.1740973373251319
365	-0.13279024504878834	0.16205993241576494
364	-0.14843943323615605	0.14988096146643765
363	-0.16265055507163595	0.13762238149527056
362	-0.1767779641036853	0.12529059586570088
361	-0.19211460533173863	0.1128410436662797
360	-0.20405967762444277	0.10041136828519291
359	-0.21729953809586533	0.08795000168220185
358	-0.23954912331149103	0.07510480372279127
357	-0.26649659366555767	0.06170657096963844
356	-0.2940234133948465	0.047754274898622766
355	-0.3227375685997629	0.033223081028892064
354	-0.3571104529226474	0.017913755937035473
353	-0.39881290804197533	0.0015693513632887262
352	-0.43256976966489447	-0.015457896680761194
351	-0.45677872894295746	-0.03276672950245566
350	-0.480944850048985	-0.05034442376357224
349	-0.5121949755184758	-0.06845827116814635
348	-0.5352659871725436	-0.08676645759026672
347	-0.5537627806594827	-0.10508196264713736
346	-0.5620429675920136	-0.12300381064910777
345	-0.5670574566450739	-0.1404193676977381
344	-0.5676540833738599	-0.15717523117846413
343	-0.5711739192646164	-0.17341192707488803
342	-0.5768329752211301	-0.18923372089408946
341	-0.5838817817813435	-0.20471139421063222
340	-0.5883579692783059	-0.21975755230894728
339	-0.5916748749726892	-0.2343436577996696
338	-0.5938835461070298	-0.24844429450900385
337	-0.5963320139126651	-0.2620879107231257
336	-0.6048527373761203	-0.2755305779210345
335	-0.6282571162506798	-0.2893638902081913
334	-0.6515671181912808	-0.30356882533250146
333	-0.6812700969642549	-0.3183815285526771
332	-0.7021200730847568	-0.33343096636926267
331	-0.7288000378829693	-0.3489364945237087
330	-0.7564834757770882	-0.36491957950170545
329	-0.7708180749218769	-0.38083798132001323
328	-0.7821493168464926	-0.39657645376534434
327	-0.7919074876271495	-0.4120803631935032
326	-0.7949611860351453	-0.4270959782218988
325	-0.7903145151644324	-0.44134046292550205
324	-0.7926162186676748	-0.45511655933108053
323	-0.7957002326381186	-0.4684733189132778
322	-0.7962800197411752	-0.48132898032859794
321	-0.7996684603349493	-0.4938133449223007
320	-0.8018363867794633	-0.5058931107112027
319	-0.8086878033876062	-0.5177678192778353
318	-0.816756017344332	-0.5294932326743885
317	-0.8149313862272436	-0.5406872398294315
316	-0.810815677131238	-0.551280833823008
315	-0.7980148165367922	-0.5609569588109578
314	-0.7912327292257473	-0.5699876345220964
313	-0.7843479059723251	-0.5783941462606517
312	-0.7767184778893039	-0.5861717724425703
311	-0.759930341989211	-0.5929860035370186
310	-0.7506637311286184	-0.5991695916539801
309	-0.7407785192432712	-0.6047230104809092
308	-0.7348595667298738	-0.6098265174624321
307	-0.7119215309794882	-0.6138303283698124
306	-0.6838059957570977	-0.6165745280886602
305	-0.6520639652335589	-0.6179662979605575
304	-0.6188280343298516	-0.6180000921791271
303	-0.5991410387054827	-0.6172605080930439
302	-0.5741863352321488	-0.6155712955223807
301	-0.5487694099421745	-0.6129515700451912
300	-0.5222741416905947	-0.6093955354835746
299	-0.4954138273016113	-0.604925595760438
298	-0.4773249834397717	-0.5999215761641415
297	-0.451356393670423	-0.5940954077799862
296	-0.4347924658918032	-0.5878481482895468
295	-0.41615526315733575	-0.5811150056429573
294	-0.39880139710278684	-0.5739653622534903
293	-0.3787783578056363	-0.5663108772292335
292	-0.35361604742239905	-0.5579698064651212
291	-0.3294165826400004	-0.5490068347501983
290	-0.3087509176135157	-0.5395849328859569
289	-0.2888664941433774	-0.5297527357912951
288	-0.2723404207553557	-0.519658035120157
287	-0.25707646107777293	-0.509360620403369
286	-0.24172380634683321	-0.49886496301241845
285	-0.23800591616105038	-0.4886351065178984
284	-0.2336829129518634	-0.47863689681318594
283	-0.23464058835463675	-0.46906833646155094
282	-0.2380351239567915	-0.4600081398242674
281	-0.23854819428044038	-0.4513233710045866
280	-0.24867420246931715	-0.44337628757707087
279	-0.25951053767478527	-0.4361658161402359
278	-0.2697177386166416	-0.42963839717394076
277	-0.2747639722084685	-0.4235648515343561
276	-0.28204008600204133	-0.4180148266831663
275	-0.28623455468567016	-0.4128469424207482
274	-0.2926918487791994	-0.40813495128165955
273	-0.2987023363294625	-0.4038434528370559
272	-0.3010292489246069	-0.3998115021957739
271	-0.2913786856049114	-0.39555921352231177
270	-0.2878737109613567	-0.39133623226030984
269	-0.2895852514977264	-0.38734597922140085
268	-0.2858611864495728	-0.3833661656991868
267	-0.27955458595167926	-0.3792951059335944
266	-0.26557951116847534	-0.3748356525084601
265	-0.2508014562064673	-0.3699715471631426
264	-0.23526470637568053	-0.3646889059049247
263	-0.2242190723777071	-0.3591802648935624
262	-0.21290930102708217	-0.35344412856548324
261	-0.184429602316321	-0.34681608561592464
260	-0.15845403751573883	-0.33942931474027677
259	-0.13683478655141812	-0.33148440659306483
258	-0.11157329322288945	-0.3228604156147289
257	-0.08935817703387272	-0.31370343881484425
256	-0.0681092888523338	-0.304072269134942
255	-0.052350395136514294	-0.2942007969562993
254	-0.0418394763021297	-0.2843042493994985
253	-0.03829574880822406	-0.2746568336375935
252	-0.03554461816032273	-0.2652798619890989
251	-0.042014323233900086	-0.25652433090926313
250	-0.0416571649218227	-0.24809814926985882
249	-0.0595228561093748	-0.24070302433077104
248	-0.0739389694005439	-0.23416324438317385
247	-0.08570625649326757	-0.22834139052686608
246	-0.08777799032242939	-0.22282909013964322
245	-0.08970954560565758	-0.21760870657852738
244	-0.08760004282475364	-0.21251031891352443
243	-0.08684318067994212	-0.2075821877711779
242	-0.09974777717194172	-0.20335338069865605
241	-0.10419931795590287	-0.19946498020032533
240	-0.10774255545826605	-0.19586801714045748
239	-0.11367242385454546	-0.1926446560407398
238	-0.11731947919213326	-0.18969072357449318
237	-0.11943696716280527	-0.18693567075276799
236	-0.12985989651022578	-0.18469740232466822
235	-0.14299546451347567	-0.18306203026884216
234	-0.1561087654644311	-0.18200503828402084
233	-0.16463622416593893	-0.18132390757058192
232	-0.16617798600558586	-0.18072994923544025
231	-0.17407407459860025	-0.18046893427919192
230	-0.18347284783111206	-0.18058673492537858
229	-0.18844074792882992	-0.18089473572354872
228	-0.19243284134002892	-0.18134721086043332
227	-0.19288697609333383	-0.181799751064417
226	-0.1945222015087822	-0.18229867110377868
225	-0.1933769358730686	-0.18273311320587401
224	-0.18567161077579186	-0.18284834849298273
223	-0.1925463165279524	-0.18322866124489523
222	-0.19444913897122973	-0.18366868029046263
221	-0.2033267219345518	-0.1844395844081856
220	-0.20974010691355716	-0.18543176240909334
219	-0.2177053334153527	-0.18669739343851283
218	-0.22258926348893482	-0.1881049186024772
217	-0.2232274580789806	-0.189482273889279
216	-0.22437143801137438	-0.19085047716503112
215	-0.22729992929320275	-0.19227986820858312
214	-0.2293252818881797	-0.1937326302754081
213	-0.2304876135085152	-0.19517400287808226
212	-0.229523261654748	-0.19652103327259687
211	-0.22783208874044192	-0.19774891836000624
210	-0.2313089770719543	-0.19906499966973
209	-0.23711166798769057	-0.20055702650558913
208	-0.24317746667339435	-0.20222841699125732
207	-0.2514448710624464	-0.20415847476273802
206	-0.27092629259609424	-0.20677682153648821
205	-0.29719300432780926	-0.21032255546530124
204	-0.323409721519198	-0.21475734781748904
203	-0.34956506815691313	-0.22004392683408602
202	-0.3736945210369669	-0.2260694422468568
201	-0.3958778720125764	-0.23272859838829668
200	-0.4161922890997545	-0.23992325503632886
199	-0.43471239589315047	-0.24756204702658574
198	-0.4482541299196683	-0.255432326918091
197	-0.4628986209778674	-0.2635682621350075
196	-0.48054171302963766	-0.2720770270419076
195	-0.49908375344185885	-0.2809792537444164
194	-0.51782284612311	-0.29026723990224096
193	-0.5380427593982446	-0.2999839290952693
192	-0.5544553769605685	-0.30996320368600155
