	macd	trigger
4929		
4928		
4927		
4926		
4925		
4924		
4923		
4922		
4921		
4920		
4919		
4918		
4917		
4916		
4915		
4914		
4913		
4912		
4911		
4910		
4909		
4908		
4907		
4906		
4905		
4904		
4903		
4902		
4901		
4900		
4899		
4898		
4897		
4896		
4895		
4894		
4893		
4892		
4891		
4890		
4889		
4888		
4887		
4886		
4885		
4884		
4883		
4882		
4881		
4880		
4879		
4878		
4877		
4876		
4875		
4874		
4873		
4872		
4871		
4870		
4869		
4868		
4867		
4866		
4865		
4864		
4863		
4862		
4861		
4860		
4859		
4858		
4857		
4856		
4855		
4854		
4853		
4852		
4851		
4850		
4849		
4848		
4847		
4846		
4845		
4844		
4843		
4842		
4841		
4840		
4839		
4838		
4837		
4836		
4835		
4834		
4833		
4832		
4831	0.23229361763284118	
4830	0.23978958058954447	
4829	0.24912355034330602	
4828	0.2737889768191195	
4827	0.2925815870962225	
4826	0.3080455034651308	
4825	0.3203263495746498	
4824	0.33186090646061217	
4823	0.34498258571123586	
4822	0.354998676705911	
4821	0.3713051342681055	
4820	0.38201196453687203	
4819	0.39667276571152854	
4818	0.4151063549865981	
4817	0.4301249421130322	
4816	0.4348462940297466	
4815	0.4461718826332728	
4814	0.45438595798532333	
4813	0.47378404470179447	
4812	0.5038613512988661	
4811	0.5418179308638145	
4810	0.5753548386511724	
4809	0.5974580860251351	
4808	0.608685914749195	
4807	0.6190827355350521	
4806	0.6382663365857013	
4805	0.6538349816331817	
4804	0.6707557764360033	
4803	0.6865523257330679	
4802	0.6988538958087815	
4801	0.7078117065736151	
4800	0.7184208912978747	
4799	0.7281754182267122	
4798	0.7371101093702634	
4797	0.7476968152873624	
4796	0.767244969443226	
4795	0.7879502843441628	
4794	0.8171079215354382	
4793	0.8494204877254674	
4792	0.8773561111719275	
4791	0.903562338705818	
4790	0.9256378379226575	
4789	0.9412854393688264	
4788	0.9582129812437401	
4787	0.9664371562856999	
4786	0.9713093815490126	
4785	0.9779526578279985	
4784	0.9813031447845972	
4783	0.9989734717168304	0.7374129337989913
4782	1.0053311251649149	0.7495634899428767
4781	1.0133895305093432	0.7614554899772784
4780	1.0155516757994647	0.7728421952286066
4779	1.01458889612627	0.7836151929123751
4778	1.033260630559127	0.7946810090942908
4777	1.0530702086757273	0.8060761680850219
4776	1.081519575473635	0.8181643787799102
4775	1.1055956075205913	0.8307200478800489
4774	1.1330632145874588	0.843868376297099
4773	1.166350613414437	0.8578328525723017
4772	1.1975248678211088	0.8724826856281699
4771	1.2113874117726198	0.8870416236061588
4770	1.231619653992155	0.9017890785887349
4769	1.250301812465409	0.9166516820195163
4768	1.259857800220658	0.9312379480803638
4767	1.2657875390922513	0.9454097666359
4766	1.2682503412840092	0.9590427024667441
4765	1.2673999995526088	0.9720249298653263
4764	1.2736152482748295	0.9846857254864188
4763	1.276337677430135	0.9968955541853416
4762	1.2782853796838722	1.0086446455367255
4761	1.2717946033133316	1.0196043364835061
4760	1.2675195782685265	1.0299044767194239
4759	1.267935478848436	1.0397709541431672
4758	1.2599634135321978	1.0488776662603663
4757	1.2491347302433482	1.0571421860757868
4756	1.243319934336526	1.0648099103085908
4755	1.237135118787272	1.0718931692431648
4754	1.2306001283749808	1.0784043680540398
4753	1.2237340824568292	1.0843559671525842
4752	1.2087879746730295	1.0894429206855398
4751	1.1757019779331515	1.0929634467623472
4750	1.1331451036850808	1.0946007811067104
4749	1.0997339490103144	1.0948096289057638
4748	1.0672806202405098	1.0936912294478602
4747	1.0279556761526152	1.0910244042841375
4746	1.0055736201673966	1.0875624371719377
4745	0.9732125999427552	1.0829356568450086
