	macd	trigger
4013		
4012		
4011		
4010		
4009		
4008		
4007		
4006		
4005		
4004		
4003		
4002		
4001		
4000		
3999		
3998		
3997		
3996		
3995		
3994		
3993		
3992		
3991		
3990		
3989		
3988		
3987		
3986		
3985		
3984		
3983		
3982		
3981		
3980		
3979		
3978		
3977		
3976		
3975		
3974		
3973		
3972		
3971		
3970		
3969		
3968		
3967		
3966		
3965		
3964		
3963		
3962		
3961		
3960		
3959		
3958		
3957		
3956		
3955		
3954		
3953		
3952		
3951		
3950		
3949		
3948		
3947		
3946		
3945		
3944		
3943		
3942		
3941		
3940		
3939		
3938		
3937		
3936		
3935		
3934		
3933		
3932		
3931		
3930		
3929		
3928		
3927		
3926		
3925		
3924		
3923		
3922		
3921		
3920		
3919		
3918		
3917		
3916		
3915	-0.46151485303256834	
3914	-0.4526354303857616	
3913	-0.433158853629358	
3912	-0.41438990576020984	
3911	-0.39901542266023426	
3910	-0.3841679790528829	
3909	-0.35892037378586394	
3908	-0.3401552879823413	
3907	-0.3083966513088612	
3906	-0.2889767839697299	
3905	-0.2896164389264442	
3904	-0.2956035367754595	
3903	-0.30946676135572915	
3902	-0.31141473961272936	
3901	-0.3131125014279448	
3900	-0.30620169486940796	
3899	-0.31623693779732776	
3898	-0.3284445252441657	
3897	-0.3371050665278972	
3896	-0.34518974627808063	
3895	-0.3470778008392301	
3894	-0.3487013734497708	
3893	-0.3444033634500272	
3892	-0.33160884147061864	
3891	-0.3163937728126456	
3890	-0.3045765785323127	
3889	-0.2988692090317855	
3888	-0.2961385478006946	
3887	-0.28764437254886843	
3886	-0.2707708527543815	
3885	-0.26606409655188656	
3884	-0.2700993437571384	
3883	-0.2709191168625509	
3882	-0.2715635032676431	
3881	-0.2691375725774705	
3880	-0.26377881521738544	
3879	-0.2643592927605951	
3878	-0.2531056173312791	
3877	-0.2363944432487486	
3876	-0.22033166580414587	
3875	-0.1990286277692448	
3874	-0.1844794895991555	
3873	-0.17344769453092823	
3872	-0.15399085183267402	
3871	-0.1353483652777001	
3870	-0.11749197927630917	
3869	-0.10927932053694178	
3868	-0.11325207039822516	
3867	-0.11995593344743583	-0.2433323447920594
3866	-0.12926691375475485	-0.23815927902586695
3865	-0.13212736193522545	-0.2333798737822367
3864	-0.13180615608892055	-0.22882809359351408
3863	-0.13740832959557991	-0.2247541397312965
3862	-0.14567649695680984	-0.22124893383893054
3861	-0.1624810074293208	-0.21865722386777894
3860	-0.16943442080265925	-0.21649701382650297
3859	-0.1729798051402227	-0.21459608025425161
3858	-0.16424276653228986	-0.21240631055344072
3857	-0.16485716597831868	-0.21034728582308365
3856	-0.17289926589619142	-0.20873227217667817
3855	-0.17595685314704923	-0.20732427973501602
3854	-0.17273859250691714	-0.20584406097334254
3853	-0.1695792045306206	-0.20429751725372874
3852	-0.16647756734129615	-0.20269016871716403
3851	-0.1634325834682926	-0.2010271824513828
3850	-0.16651879747941933	-0.19956995980066233
3849	-0.17242077053919047	-0.1984269450187503
3848	-0.17492114577231632	-0.19744016891221283
3847	-0.1772184171578317	-0.19659359777402005
3846	-0.16711487008865333	-0.19536274920341404
3845	-0.14822218482134275	-0.19339943512557972
3844	-0.13011449227177252	-0.19077013415351
3843	-0.11582632791395753	-0.18766368429740607
3842	-0.1051940761332375	-0.18425290909623354
3841	-0.10419458964590689	-0.18094893791875385
3840	-0.09704642392414087	-0.1774934157322427
3839	-0.08095356910991569	-0.1735252398793488
3838	-0.06247541555061531	-0.16896924883728895
3837	-0.04480637829505696	-0.16388448257714383
3836	-0.015589330428703363	-0.1578219705018824
3835	0.012306124463933088	-0.150878463189886
3834	0.0420139398308379	-0.14301842504263151
3833	0.0734393317990154	-0.1342116361447554
3832	0.10649091018848367	-0.12443280245668004
3831	0.1348883142595554	-0.11391240603683973
3830	0.17122125847350134	-0.10236045388895479
3829	0.2120166977420297	-0.0896402432122491
3828	0.24464024802730933	-0.07613154208065949
