	macd	trigger
980		
979		
978		
977		
976		
975		
974		
973		
972		
971		
970		
969		
968		
967		
966		
965		
964		
963		
962		
961		
960		
959		
958		
957		
956		
955		
954		
953		
952		
951		
950		
949		
948		
947		
946		
945		
944		
943		
942		
941		
940		
939		
938		
937		
936		
935		
934		
933		
932		
931		
930		
929		
928		
927		
926		
925		
924		
923		
922		
921		
920		
919		
918		
917		
916		
915		
914		
913		
912		
911		
910		
909		
908		
907		
906		
905		
904		
903		
902		
901		
900		
899		
898		
897		
896		
895		
894		
893		
892		
891		
890		
889		
888		
887		
886		
885		
884		
883		
882	-0.03721638645711778	
881	-0.0378899833793529	
880	-0.03878163441175175	
879	-0.03961081127680899	
878	-0.0403801579973635	
877	-0.04082022688769271	
876	-0.04149120956175878	
875	-0.042382586219755325	
874	-0.043210085271203624	
873	-0.04232714206295185	
872	-0.03925965117900887	
871	-0.03051501118293487	
870	-0.024382157530107307	
869	-0.016859361112464555	
868	-0.008846263618343286	
867	-0.0014834333754567552	
866	0.008052009574067043	
865	0.017137208884953736	
864	0.027474678462160895	
863	0.039004972018696904	
862	0.05110647608892549	
861	0.0648807382832004	
860	0.07798088136452996	
859	0.09156837397077666	
858	0.10732449301760205	
857	0.12400610992352235	
856	0.13527783259727855	
855	0.148249704522053	
854	0.1628414103194551	
853	0.17207454768110253	
852	0.1773361562077298	
851	0.17995536422158231	
850	0.18467586059579943	
849	0.19198216411390234	
848	0.20001515822571925	
847	0.20292362857122903	
846	0.2085082833411338	
845	0.21314633849626397	
844	0.2157087680068095	
843	0.2180438442755399	
842	0.22074754821729137	
841	0.22380259587596463	
840	0.22719231887155722	
839	0.2303110922626317	
838	0.23316982103022887	
837	0.23637044305005794	
836	0.23634264158592622	
835	0.23441634893047691	
834	0.2342415460505407	0.15302769434223562
833	0.23574072178832672	0.1567788740538134
832	0.23824321468540965	0.16045089194679082
831	0.24289701596622137	0.164145515344171
830	0.24482420869598087	0.16774081312230466
829	0.24653881099728459	0.17123362343843523
828	0.25404192010260473	0.17488553190739753
827	0.25327249688778686	0.1783256510861401
826	0.2524094031781008	0.1815618028468194
825	0.2520589516779559	0.18462758956656508
824	0.25280106352978216	0.18757971142067856
823	0.25338065242661223	0.19041749611205525
822	0.25320089849659055	0.19311459529908157
821	0.25350513065285796	0.195699225260852
820	0.2518501767080519	0.19809382735856507
819	0.24893018072079443	0.20025437327071616
818	0.24540970429523945	0.20216719329885957
817	0.24435497416754437	0.20394870205145482
816	0.24139904864434136	0.20552540842493555
815	0.23845483186310545	0.20690778933911658
814	0.23552324565400085	0.2081057577306111
813	0.2307742951813374	0.2090522550563015
812	0.22490212753564087	0.20971237184061395
811	0.21918274412546168	0.21010583761511792
810	0.21361204541082301	0.21025117128909257
809	0.20818604718114386	0.21016576195768513
808	0.20290087706118776	0.20986594339453596
807	0.19775277113496692	0.20936706280682604
806	0.19581158952804323	0.2088098783527234
805	0.19139758978899124	0.20809551224545889
804	0.1877026250554099	0.20726037478223766
803	0.18592932274171048	0.20638833170665363
802	0.18167359460733046	0.2053796390636325
801	0.17751867125844	0.2042443518965961
800	0.17346205567357664	0.20299194501322282
799	0.1682639383371214	0.20158107750568174
798	0.16104896486489118	0.19993673053496688
797	0.15376994989116355	0.198066321996098
796	0.14674336992219317	0.19598971191313358
795	0.13716776081427362	0.19361264182320712
794	0.12454035863215118	0.1908246759986747
793	0.1049620129881852	0.18736297149181452
792	0.08622029435834833	0.18328971126569688
791	0.07264604307656519	0.17883852686140325
790	0.06588422884643919	0.1742989901247943
789	0.06251466413681683	0.16981084259377174
788	0.058017946949973975	0.1653265410095584
787	0.053071333794665776	0.16082772987506924
786	0.047697356860910034	0.1562977451303435
785	0.04191775034260914	0.15172150498014814
784	0.034188619874861104	0.14702284849774602
783	0.026793351441421365	0.1422200467927114
782	0.0203473399403844	0.1373551613822814
781	0.014811142903720764	0.13246691062608176
780	0.009832835519812733	0.12757836274570003
779	0.0038197770493972882	0.12264817943260568
778	-0.0031786978987220493	0.11763871433296315
