	macd	trigger
3516		
3515		
3514		
3513		
3512		
3511		
3510		
3509		
3508		
3507		
3506		
3505		
3504		
3503		
3502		
3501		
3500		
3499		
3498		
3497		
3496		
3495		
3494		
3493		
3492		
3491		
3490		
3489		
3488		
3487		
3486		
3485		
3484		
3483		
3482		
3481		
3480		
3479		
3478		
3477		
3476		
3475		
3474		
3473		
3472		
3471		
3470		
3469		
3468		
3467		
3466		
3465		
3464		
3463		
3462		
3461		
3460		
3459		
3458		
3457		
3456		
3455		
3454		
3453		
3452		
3451		
3450		
3449		
3448		
3447		
3446		
3445		
3444		
3443		
3442		
3441		
3440		
3439		
3438		
3437		
3436		
3435		
3434		
3433		
3432		
3431		
3430		
3429		
3428		
3427		
3426		
3425		
3424		
3423		
3422		
3421		
3420		
3419		
3418	0.4714741831145268	
3417	0.4857345728209026	
3416	0.5060764769809065	
3415	0.5203185767348142	
3414	0.5319876377008104	
3413	0.5417409890133946	
3412	0.5578443364326606	
3411	0.5668828311262804	
3410	0.577396788858568	
3409	0.5860191108391941	
3408	0.5966908408298952	
3407	0.6076599766715205	
3406	0.6233418755978466	
3405	0.6379685884367596	
3404	0.6488001423794802	
3403	0.660467002565051	
3402	0.6678952898693034	
3401	0.6735147871109373	
3400	0.677966959506751	
3399	0.6796137357040894	
3398	0.6876107543571397	
3397	0.7045013894804981	
3396	0.7162795334180547	
3395	0.7231692441186386	
3394	0.7293713098869148	
3393	0.736055794181171	
3392	0.736339788793094	
3391	0.734518132407258	
3390	0.7329816899396207	
3389	0.7311440662895219	
3388	0.7295963063380491	
3387	0.7242857112164405	
3386	0.7188525487013457	
3385	0.7080897788731733	
3384	0.6986248850995231	
3383	0.6933126457080263	
3382	0.6884757031468176	
3381	0.6817608773777994	
3380	0.6726701328705449	
3379	0.6695125989328066	
3378	0.661466932004501	
3377	0.6534549700745771	
3376	0.6443018405625036	
3375	0.63524157559009	
3374	0.6262743082198874	
3373	0.6185829570058825	
3372	0.6209995192464604	
3371	0.6253627976235663	
3370	0.623861393112092	0.6609078293553138
3369	0.620326714707458	0.6590674051967438
3368	0.6166385611537795	0.6571549184166853
3367	0.6110155620156892	0.6550872948900898
3366	0.6107172718119145	0.6531100263107255
3365	0.6113189331182927	0.6512575888711791
3364	0.6103838007810012	0.6494550239242095
3363	0.6061808128817994	0.6475558759805534
3362	0.5988573422035159	0.6454286099961114
3361	0.5921653421775535	0.6431122919345181
3360	0.5842728188426971	0.6405643611294574
3359	0.5776496199607113	0.6378510490305545
3358	0.5728464937099442	0.6350585317943206
3357	0.5709943088245666	0.632316673170363
3356	0.5671196697793253	0.6295362949744283
3355	0.5649513826586681	0.6267914350649029
3354	0.5595599566136826	0.62394344977534
3353	0.5523066159491545	0.6209183642211413
3352	0.5511851073541667	0.6179825069982174
3351	0.5522696084670038	0.6152238720978636
3350	0.5505847034168898	0.6125177932543118
3349	0.5493061701093147	0.6098784684902268
3348	0.5465838952514552	0.6072423709313809
3347	0.5430952676497505	0.6045772497602443
3346	0.5401007319146416	0.6019046730706733
3345	0.5369670036132135	0.5992189831839634
3344	0.5312479965999035	0.5964138508489294
3343	0.5249041140273931	0.5934687247689855
3342	0.5210398732575765	0.5904916077579674
3341	0.5164701787830772	0.5874547639865467
3340	0.5106129305912841	0.5843079072804349
3339	0.5047614137287226	0.5810559359872719
3338	0.4995353116507584	0.5777288015050288
3337	0.4986148759965374	0.5745050432712274
3336	0.4974814580565283	0.5713712657386456
3335	0.49428920427808265	0.5682397132443346
3334	0.4909894198456719	0.5651057466765745
3333	0.4857293609560358	0.5618898787393726
3332	0.4810803598922604	0.5586201942248151
3331	0.4795005990432948	0.5554228704414371
3330	0.47961117261817776	0.5523628815013525
3329	0.4769840588845433	0.5493238514873108
