	macd	trigger
4144		
4143		
4142		
4141		
4140		
4139		
4138		
4137		
4136		
4135		
4134		
4133		
4132		
4131		
4130		
4129		
4128		
4127		
4126		
4125		
4124		
4123		
4122		
4121		
4120		
4119		
4118		
4117		
4116		
4115		
4114		
4113		
4112		
4111		
4110		
4109		
4108		
4107		
4106		
4105		
4104		
4103		
4102		
4101		
4100		
4099		
4098		
4097		
4096		
4095		
4094		
4093		
4092		
4091		
4090		
4089		
4088		
4087		
4086		
4085		
4084		
4083		
4082		
4081		
4080		
4079		
4078		
4077		
4076		
4075		
4074		
4073		
4072		
4071		
4070		
4069		
4068		
4067		
4066		
4065		
4064		
4063		
4062		
4061		
4060		
4059		
4058		
4057		
4056		
4055		
4054		
4053		
4052		
4051		
4050		
4049		
4048		
4047		
4046	-2.347810828170452	
4045	-2.3082168329316914	
4044	-2.226173594977098	
4043	-2.152314967412252	
4042	-2.0808728181060587	
4041	-1.9736858562349937	
4040	-1.865125233191236	
4039	-1.7935716918266849	
4038	-1.729972188576653	
4037	-1.6849877661661026	
4036	-1.6329990621058244	
4035	-1.6019666099514893	
4034	-1.5604993004786252	
4033	-1.5201857491805981	
4032	-1.4865564821450334	
4031	-1.48164486044422	
4030	-1.5041724531207308	
4029	-1.5360917094083675	
4028	-1.571355964611655	
4027	-1.6041742890888315	
4026	-1.614892079240093	
4025	-1.6271174292904789	
4024	-1.6266089984897576	
4023	-1.6252973281309835	
4022	-1.6346063065125236	
4021	-1.6312430210364681	
4020	-1.621490440672659	
4019	-1.605638011234177	
4018	-1.5839645356178096	
4017	-1.565364867101593	
4016	-1.52666308577885	
4015	-1.5005204446254226	
4014	-1.4661469559269023	
4013	-1.4326151211212448	
4012	-1.4028048922423437	
4011	-1.3852881570522158	
4010	-1.341656315277561	
4009	-1.3256164736822171	
4008	-1.2979480439238102	
4007	-1.2738212236555029	
4006	-1.2530897605353317	
4005	-1.2267979556068838	
4004	-1.2128623482801828	
4003	-1.169472822044014	
4002	-1.1156700109752506	
4001	-1.0874242374033116	
4000	-1.0303042835369496	
3999	-0.9693457286455214	
3998	-0.9077160254004326	-1.3929233574234505
3997	-0.8543967795994973	-1.368500240107436
3996	-0.7941456529579227	-1.3426111172768185
3995	-0.7631001875312506	-1.3166417382970266
3994	-0.7061961913704238	-1.2894383537681475
3993	-0.6395670379780825	-1.260632073187894
3992	-0.5996273507920193	-1.2314812653463645
3991	-0.5912096621575813	-1.2033820702533407
3990	-0.5708591254438602	-1.1757519869528301
3989	-0.5391151786729722	-1.1480658648260922
3988	-0.5326425704235476	-1.1214161365473703
3987	-0.5141309715003501	-1.0952258645189625
3986	-0.49016329788418034	-1.0692331069653724
3985	-0.4912267981357843	-1.0444952500289897
3984	-0.47988342909224	-1.0204169287189746
3983	-0.47487447077634215	-0.9972313646598387
3982	-0.47592062568801907	-0.9751481775860916
3981	-0.4462985482545321	-0.9528158760508795
3980	-0.4360471961477117	-0.9310592690940478
3979	-0.4564881357424042	-0.9111367193294463
3978	-0.5001497717817074	-0.8939310048001655
3977	-0.541567013621858	-0.8792184731229539
3976	-0.599149675562316	-0.8675541449541962
3975	-0.6415718691929015	-0.858165254160658
3974	-0.7245912054457904	-0.8526285579981601
3973	-0.7881385343767278	-0.849961381832449
3972	-0.8545249918439879	-0.8501497199845225
3971	-0.9542988204422329	-0.8544390971462116
3970	-1.0521169134826351	-0.8625644501986949
3969	-1.144945199956652	-0.8741495578215489
3968	-1.2391225542065456	-0.8890960741978055
3967	-1.3407101441617613	-0.9075586855026837
3966	-1.4493304849405035	-0.9296702388683159
3965	-1.5893232080842807	-0.9565499781467472
3964	-1.685045373413601	-0.986189503441669
3963	-1.7755511436199782	-1.0182582800983293
3962	-1.8641277994403254	-1.0525743542214994
3961	-1.9322279019937127	-1.0882127826337757
3960	-2.0086474099695266	-1.125455064119896
3959	-2.0929790556139523	-1.164553942999338
3958	-2.1661911355506476	-1.2049830432462403
3957	-2.2318558319501847	-1.246383228565373
3956	-2.2871688392894924	-1.2882981822943897
3955	-2.3356814611312444	-1.3304343134655585
3954	-2.3994889043259064	-1.3733987041433537
3953	-2.4591657027133493	-1.4169923155985213
3952	-2.483660585717047	-1.4597791330074144
3951	-2.524507510278468	-1.5024498651517504
3950	-2.5497018230718425	-1.5443840979034487
3949	-2.5724434316169322	-1.5855158221044647
3948	-2.6241290740477723	-1.6270368558524284
3947	-2.6783826657661223	-1.6690349143327774
3946	-2.741331507773751	-1.7118385919388368
3945	-2.837644180101961	-1.7567466999476742
3944	-2.9281220429849526	-1.80344109908082
3943	-3.0129836862922588	-1.8516257696343472
