	macd	trigger
3995		
3994		
3993		
3992		
3991		
3990		
3989		
3988		
3987		
3986		
3985		
3984		
3983		
3982		
3981		
3980		
3979		
3978		
3977		
3976		
3975		
3974		
3973		
3972		
3971		
3970		
3969		
3968		
3967		
3966		
3965		
3964		
3963		
3962		
3961		
3960		
3959		
3958		
3957		
3956		
3955		
3954		
3953		
3952		
3951		
3950		
3949		
3948		
3947		
3946		
3945		
3944		
3943		
3942		
3941		
3940		
3939		
3938		
3937		
3936		
3935		
3934		
3933		
3932		
3931		
3930		
3929		
3928		
3927		
3926		
3925		
3924		
3923		
3922		
3921		
3920		
3919		
3918		
3917		
3916		
3915		
3914		
3913		
3912		
3911		
3910		
3909		
3908		
3907		
3906		
3905		
3904		
3903		
3902		
3901		
3900		
3899		
3898		
3897	-0.6530181785153957	
3896	-0.6759855398959189	
3895	-0.7029018042382233	
3894	-0.7741559421266828	
3893	-0.8280550279513221	
3892	-0.8735257406284944	
3891	-0.9163893828014977	
3890	-0.9649547465673862	
3889	-1.00798556852736	
3888	-1.0470925332233207	
3887	-1.0769291173130142	
3886	-1.0992839632045843	
3885	-1.117255915092997	
3884	-1.131036712980091	
3883	-1.143593865138513	
3882	-1.1521895926075132	
3881	-1.1569994172262312	
3880	-1.160995080363449	
3879	-1.1698317062703012	
3878	-1.1776605132981075	
3877	-1.184525116997932	
3876	-1.1904674705155998	
3875	-1.2040310009692945	
3874	-1.2078304328760652	
3873	-1.205146585157749	
3872	-1.2048272925931371	
3871	-1.196765053998476	
3870	-1.1870364561803513	
3869	-1.1742856359662284	
3868	-1.1586529738298452	
3867	-1.1431547092540484	
3866	-1.1191323983832149	
3865	-1.092759004138557	
3864	-1.0525607322955892	
3863	-1.013681728677895	
3862	-0.9731718329819472	
3861	-0.9340336557533107	
3860	-0.8991411653494481	
3859	-0.871244185843338	
3858	-0.8441876131156931	
3857	-0.8238125100724858	
3856	-0.8039550495083603	
3855	-0.7816580822643857	
3854	-0.7658829546603982	
3853	-0.7474900673943665	
3852	-0.7369535958890339	
3851	-0.7220832473952044	
3850	-0.7075273926789549	
3849	-0.6932787284429054	-0.9471089514811125
3848	-0.6793301490999397	-0.9349647168702161
3847	-0.6820611264573699	-0.9235650479844899
3846	-0.6858122927279027	-0.9129107339969025
3845	-0.7039824859487283	-0.9036002303832479
3844	-0.7149799208898884	-0.8952394219795189
3843	-0.7221149763969663	-0.8876045030827885
3842	-0.7285567384502798	-0.8806244743804997
3841	-0.7403419918110785	-0.8744966070662744
3840	-0.7512123476572441	-0.8691352094563479
3839	-0.7566861012063413	-0.8642658159717277
3838	-0.7539852699363792	-0.8595097677980769
3837	-0.741965026695766	-0.8544601875965371
3836	-0.7270922007609499	-0.8490090169285318
3835	-0.7034465124239233	-0.8428013878563357
3834	-0.6744597429066772	-0.835646864984697
3833	-0.652519894615267	-0.8278894434650622
3832	-0.6373235988284591	-0.8198422147847356
3831	-0.627057263637937	-0.8117257275199137
3830	-0.6275958436449258	-0.8039959342036995
3829	-0.6277899910997888	-0.7966191813080217
3828	-0.6215523439145585	-0.7893094775492252
3827	-0.6213914186448619	-0.7823160125092748
3826	-0.6209209125674846	-0.7756105265906965
3825	-0.6201551019898233	-0.769166838905041
3824	-0.622172092924302	-0.7630874352864897
3823	-0.6145774250573481	-0.7569584933260136
3822	-0.6131558486958824	-0.7510359862956485
3821	-0.611485963893486	-0.7452999192876553
3820	-0.5911208998317221	-0.7389744862150606
3819	-0.571380843949612	-0.7321111260665343
3818	-0.5630353769009702	-0.7251990742826426
3817	-0.5501542743957515	-0.7180548994878458
3816	-0.5406661072670573	-0.71082660717609
3815	-0.5313332859788176	-0.7035237513605811
3814	-0.5190599800356495	-0.6960296863050152
3813	-0.507079595104841	-0.6883641714863126
3812	-0.486088534563649	-0.6801691430864696
3811	-0.4689049945403525	-0.6716210521581065
3810	-0.4553670442178088	-0.6628819517967864
3809	-0.43910531626035265	-0.6538496513807317
3808	-0.42335839279927256	-0.6445569902792954
3807	-0.4081108436706984	-0.6350347321001029
3806	-0.3933476925744088	-0.6253116851452809
3805	-0.3790544035485368	-0.6154148153836912
3804	-0.35897980558924303	-0.6051189340433997
3803	-0.339634061529253	-0.5944696505845191
3802	-0.31162455971845304	-0.5831341706928117
3801	-0.28472883547661354	-0.5711853758620462
3800	-0.27454769487354724	-0.5593171705144273
3799	-0.2552995169089911	-0.5471633420978252
3798	-0.23679549604112538	-0.5347650932759849
3797	-0.21587730322995924	-0.5220358071427167
3796	-0.20834340386537065	-0.5095226943317243
3795	-0.20732119601309762	-0.4974760711336162
3794	-0.20623904226741274	-0.48587403211714875
3793	-0.21766833775025418	-0.4751961301143957
3792	-0.2284662830660693	-0.465379089886563
3791	-0.2449477970476721	-0.456613454980931
3790	-0.266849786127338	-0.4490714930354947
3789	-0.2907686433167527	-0.4427832310046962
3788	-0.31345074016213914	-0.437648363082851
3787	-0.3475536049070769	-0.4340730865343517
3786	-0.3799275003172795	-0.43192540417923964
3785	-0.45798566242179106	-0.4329586190114687
3784	-0.4943581833594948	-0.4353918865761611
3783	-0.5351432361772908	-0.4393433998095909
3782	-0.5769606945634251	-0.44479275210629843
3781	-0.6229071181309251	-0.4518430078070797
3780	-0.6664442047779318	-0.4603343956217305
3779	-0.7108256289980801	-0.4702423954419427
3778	-0.7718325327631845	-0.48216753775018606
3777	-0.8328382073042775	-0.49602886021492526
3776	-0.9033263384723114	-0.5121235020111441
3775	-0.9860080183403426	-0.5308437605211976
3774	-1.067596834888377	-0.5520414603278857
3773	-1.1449261499594598	-0.5754494570164013
3772	-1.2340346005793066	-0.6014444976652039
3771	-1.3407042436843568	-0.6306163996288146
3770	-1.4418327952258778	-0.66261993058361
3769	-1.5805645394991217	-0.6988254968651688
3768	-1.710582077863691	-0.7387221654932214
3767	-1.8592751979113586	-0.7828994088270265
3766	-1.9747682622169975	-0.8298784328863745
3765	-2.071245997027816	-0.8787986988839205
3764	-2.171830429545423	-0.9297451489160092
3763	-2.260342864236989	-0.9821620261102313
3762	-2.327714295974431	-1.0351585927153326
3761	-2.406775822745402	-1.0891725411291884
3760	-2.4778072531037907	-1.143847663391627
3759	-2.544329069561499	-1.198980539676234
3758	-2.6001228279328643	-1.2541310830173287
3757	-2.6456451821029106	-1.3088946849496046
3756	-2.694123973929223	-1.3634033297127681
