	macd	trigger
347		
346		
345		
344		
343		
342		
341		
340		
339		
338		
337		
336		
335		
334		
333		
332		
331		
330		
329		
328		
327		
326		
325		
324		
323		
322		
321		
320		
319		
318		
317		
316		
315		
314		
313		
312		
311		
310		
309		
308		
307		
306		
305		
304		
303		
302		
301		
300		
299		
298		
297		
296		
295		
294		
293		
292		
291		
290		
289		
288		
287		
286		
285		
284		
283		
282		
281		
280		
279		
278		
277		
276		
275		
274		
273		
272		
271		
270		
269		
268		
267		
266		
265		
264		
263		
262		
261		
260		
259		
258		
257		
256		
255		
254		
253		
252		
251		
250		
249	0.06351643052934364	
248	0.060199003202848544	
247	0.05215410658966135	
246	0.04527802974800643	
245	0.03870645156352026	
244	0.031067786903648198	
243	0.023776042603882885	
242	0.016817923697461268	
241	0.01155147100509879	
240	0.0051537315559624375	
239	0.004566911686701758	
238	0.0067681449203629285	
237	0.00609269403049062	
236	0.0057235333913929765	
235	0.009265187755154614	
234	0.011241126081610986	
233	0.010322398464689186	
232	0.00944140027209528	
231	0.013653566825071906	
230	0.010341328705010255	
229	0.009435894019588886	
228	0.008567845195521784	
227	0.007735843756869087	
226	0.006938599536699286	
225	0.006174868742773398	
224	0.00544345211419639	
223	0.007315612512897474	
222	0.006519658694619679	
221	0.005183297018957589	
220	0.0016057942666254377	
219	-0.0018071096868563785	
218	-0.005061403652232954	
217	-0.008162866138464508	
216	-0.011406812724088056	
215	-0.015075921094814149	
214	-0.019149877914953706	
213	-0.023026472023817135	
212	-0.03021488983993237	
211	-0.03559556480519355	
210	-0.040710748041250966	
209	-0.0455701691927608	
208	-0.04900794960051691	
207	-0.05285159649396043	
206	-0.052070372189293224	
205	-0.046869873224702374	
204	-0.04188403559007625	
203	-0.037105453853229164	
202	-0.03104388888461962	
201	-0.025838300220783594	-0.015302266910703329
200	-0.020262916860682267	-0.015527241017239672
199	-0.014932414256477955	-0.015500429107982144
198	-0.011330022289802955	-0.015313542425432855
197	-0.006392717696316552	-0.014916002257202155
196	-0.001677920026814661	-0.014329209300185107
195	0.004320272404468639	-0.01350675306183029
194	0.012742319985214579	-0.012354776586711691
193	0.020773118588477857	-0.010907672555510464
192	0.026320865705711682	-0.009288674339423899
191	0.03099949435018523	-0.0075440722774110895
190	0.03544876218142967	-0.005689928467291582
189	0.039676919499676444	-0.003741023436305328
188	0.04066856668050001	-0.001840355450280233
187	0.044621329910190966	0.00014104016920604261
186	0.04837107761337833	0.0021908176089923386
185	0.05192518890280162	0.004297609860083417
184	0.049215182066831176	0.0061943924446124865
183	0.04964493133738124	0.008023714409189815
182	0.05002979371594307	0.00978713436163032
181	0.05037161693289249	0.0114861786393287
180	0.05067218556789044	0.013122342897520903
179	0.04848943106019199	0.014595314275610474
178	0.04760456766141452	0.01596675048303638
177	0.0439806591264702	0.01712793786917124
176	0.039886475522246556	0.018069184682027888
175	0.03687859360180035	0.018845440608495554
174	0.03460293360378941	0.019494412421813663
173	0.029954389731161157	0.019924359545545382
172	0.028578640249090626	0.020279414815548378
171	0.02755885394608626	0.020577525243586116
170	0.022564396095745565	0.02065875128744994
169	0.01747717275928018	0.020528900225645734
168	0.012612499129017962	0.020206320312522993
167	0.008271788290270976	0.019720752571045348
166	0.0038149867975683094	0.019074561491849298
165	0.0029647248923421188	0.018421001652867405
164	0.0006022398237064408	0.017699089407470087
163	-0.001653092068865547	0.016916068681708894
162	0.0008509072372557824	0.016266855011538926
161	0.0032405855529660244	0.01574107546012033
160	0.008628873928941516	0.0154543345272055
159	0.016256820997845978	0.015486652598226538
