	macd	trigger
4143		
4142		
4141		
4140		
4139		
4138		
4137		
4136		
4135		
4134		
4133		
4132		
4131		
4130		
4129		
4128		
4127		
4126		
4125		
4124		
4123		
4122		
4121		
4120		
4119		
4118		
4117		
4116		
4115		
4114		
4113		
4112		
4111		
4110		
4109		
4108		
4107		
4106		
4105		
4104		
4103		
4102		
4101		
4100		
4099		
4098		
4097		
4096		
4095		
4094		
4093		
4092		
4091		
4090		
4089		
4088		
4087		
4086		
4085		
4084		
4083		
4082		
4081		
4080		
4079		
4078		
4077		
4076		
4075		
4074		
4073		
4072		
4071		
4070		
4069		
4068		
4067		
4066		
4065		
4064		
4063		
4062		
4061		
4060		
4059		
4058		
4057		
4056		
4055		
4054		
4053		
4052		
4051		
4050		
4049		
4048		
4047		
4046		
4045	-0.11484098877463822	
4044	-0.09291445027108836	
4043	-0.06767324976232203	
4042	-0.051717245466811335	
4041	-0.035952706465870676	
4040	-0.016568057831769067	
4039	0.00517693431130084	
4038	0.03081006558980448	
4037	0.052472134522979275	
4036	0.07033454064779932	
4035	0.07684587226190587	
4034	0.0841161096776446	
4033	0.08490803962535409	
4032	0.09450394548031937	
4031	0.10081795523556991	
4030	0.1067844807958025	
4029	0.10962074812925238	
4028	0.11395023220651268	
4027	0.11689563936650416	
4026	0.11739149850068742	
4025	0.11385373096207729	
4024	0.11381673597706055	
4023	0.10805487923177282	
4022	0.10080177053885109	
4021	0.09611156131968812	
4020	0.08588547518949241	
4019	0.07837663721745258	
4018	0.06945753829464962	
4017	0.05173290677716835	
4016	0.04170317131541168	
4015	0.02635396263706724	
4014	0.012277886582587882	
4013	-0.004624889539591948	
4012	-0.01726850004830993	
4011	-0.03628682529566163	
4010	-0.05789983138576815	
4009	-0.07499217273051784	
4008	-0.09125964017019328	
4007	-0.11140974338376708	
4006	-0.12881969957745554	
4005	-0.13891081509667202	
4004	-0.14024091972495967	
4003	-0.14261593503301384	
4002	-0.1412722194569085	
4001	-0.14405181665968314	
4000	-0.14485654138029957	
3999	-0.14792011354216328	
3998	-0.14780201072904475	
3997	-0.1505848326997281	-0.03940985501240219
3996	-0.1662537529284478	-0.045162446485495465
3995	-0.17694995478072428	-0.051102789030210004
3994	-0.17990613629654462	-0.05687479912930125
3993	-0.1814405148523477	-0.06242584144747299
3992	-0.1858044999559212	-0.06789473993284292
3991	-0.1910729730139309	-0.07332699310917565
3990	-0.19240330321640187	-0.07855281985519458
3989	-0.20018418412059447	-0.0838659626497536
3988	-0.20510134755293308	-0.08913825861011537
3987	-0.21089443421116272	-0.09441067683922108
3986	-0.21571256794599947	-0.09964204046951958
3985	-0.21597350759384426	-0.10463949988538387
3984	-0.21006584208784318	-0.10915159902840464
3983	-0.20068826366140513	-0.11305525308053505
3982	-0.1928484956381311	-0.11644646729286652
3981	-0.18223374594167296	-0.11923327499289524
3980	-0.16471939664106117	-0.1211540663255811
3979	-0.15521863999287433	-0.122588227429482
3978	-0.150943377487188	-0.1237785798306442
3977	-0.1461763858923888	-0.12471625013740208
3976	-0.1458241075671296	-0.1255975831590722
3975	-0.1441916261341234	-0.1263719893804508
3974	-0.1456179520947387	-0.12717160183471174
3973	-0.14445609048961217	-0.1278880505979787
3972	-0.13837050432240972	-0.12832158355644208
3971	-0.13371838304797024	-0.12854430706716616
3970	-0.13535081811022565	-0.12882463299307984
3969	-0.1405280630102368	-0.12930569102263936
3968	-0.14724378476054767	-0.1300416291015652
3967	-0.15296275882923283	-0.13098030413843148
3966	-0.17128903084216773	-0.1326281809492338
3965	-0.18992788936947846	-0.1349667773137624
3964	-0.19774009995296637	-0.13752468370534301
3963	-0.20818651486992223	-0.14039962724760224
3962	-0.22300074404025594	-0.14375539807707396
3961	-0.2413615869332375	-0.14771518281346427
3960	-0.2662008088028358	-0.1525155289388225
3959	-0.29163482685542874	-0.15814452191593237
3958	-0.31824593673867696	-0.1646144243489618
3957	-0.34410515939780595	-0.17185921215700659
3956	-0.37047755853238584	-0.17986686065853008
3955	-0.40541742329300945	-0.1889503273196423
3954	-0.4460339420824013	-0.19929277705364196
3953	-0.4933003791306163	-0.2111086914006456
3952	-0.5300566480658588	-0.2239144713843762
3951	-0.5698633547160128	-0.23779137399654107
3950	-0.6069434379137988	-0.2525857470744101
3949	-0.6407763407438551	-0.2681297377863344
3948	-0.6608578052450866	-0.2838424325958476
3947	-0.6871986899679854	-0.29996755784671914
3946	-0.7088577042918516	-0.3163014720740949
3945	-0.7316755480271411	-0.33288227457012354
3944	-0.759979854868881	-0.34991909199937815
3943	-0.7702894990070845	-0.3666762686680321
3942	-0.7684308552627144	-0.3826810068253412
3941	-0.7694042345922796	-0.39807737168639024
3940	-0.7724534650174775	-0.4129732799542305
3939	-0.768675575358948	-0.42711807952627623
3938	-0.7640450188190258	-0.44050889437450064
3937	-0.7598623428910827	-0.4531945672368612
3936	-0.7580004998906134	-0.4652962301351439
3935	-0.7419594198211215	-0.47627519754618297
3934	-0.7281591611588638	-0.48626616416011703
3933	-0.7165059291312517	-0.49539451346207036
3932	-0.7050139955158556	-0.5037017431961115
3931	-0.6943139063042594	-0.5112525832397434
3930	-0.6824783541676354	-0.5180327597410362
3929	-0.6727277776032494	-0.5241560133331398
3928	-0.6681383619199863	-0.5298531388737826
3927	-0.6615137298122633	-0.5350608784571778
3926	-0.6440779247453889	-0.5393715094431855
3925	-0.6347104916511555	-0.5431400720592866
3924	-0.6362242185821927	-0.5468183565446283
3923	-0.6379759869370574	-0.5504194330670878
3922	-0.6285273650826539	-0.5535041075188163
3921	-0.6210898614756175	-0.5561724967224484
3920	-0.6079518869126943	-0.5582162831119862
3919	-0.5919195585782191	-0.5595462468399559
