	macd	trigger
1831		
1830		
1829		
1828		
1827		
1826		
1825		
1824		
1823		
1822		
1821		
1820		
1819		
1818		
1817		
1816		
1815		
1814		
1813		
1812		
1811		
1810		
1809		
1808		
1807		
1806		
1805		
1804		
1803		
1802		
1801		
1800		
1799		
1798		
1797		
1796		
1795		
1794		
1793		
1792		
1791		
1790		
1789		
1788		
1787		
1786		
1785		
1784		
1783		
1782		
1781		
1780		
1779		
1778		
1777		
1776		
1775		
1774		
1773		
1772		
1771		
1770		
1769		
1768		
1767		
1766		
1765		
1764		
1763		
1762		
1761		
1760		
1759		
1758		
1757		
1756		
1755		
1754		
1753		
1752		
1751		
1750		
1749		
1748		
1747		
1746		
1745		
1744		
1743		
1742		
1741		
1740		
1739		
1738		
1737		
1736		
1735		
1734		
1733	-0.3134241390803538	
1732	-0.30381325796547287	
1731	-0.2874929411461018	
1730	-0.2707223392412388	
1729	-0.2605795311351109	
1728	-0.2507857817364645	
1727	-0.24351055547470324	
1726	-0.23590885095830672	
1725	-0.228546442105241	
1724	-0.21811683137379845	
1723	-0.21027278852988118	
1722	-0.20434881729192256	
1721	-0.2030308302535353	
1720	-0.20000541937977445	
1719	-0.19702011204509517	
1718	-0.1974221753605505	
1717	-0.1977048462476354	
1716	-0.19675246679527447	
1715	-0.19799191364187152	
1714	-0.19963588600511173	
1713	-0.2005372333976041	
1712	-0.1973351065884934	
1711	-0.19701604420799868	
1710	-0.19433931921585668	
1709	-0.18656458935047482	
1708	-0.17962642942173446	
1707	-0.17863528721321842	
1706	-0.1724440554075244	
1705	-0.15439889274513519	
1704	-0.14401131445052684	
1703	-0.13691191653598622	
1702	-0.12602985522677201	
1701	-0.1190566636287187	
1700	-0.10886791094540982	
1699	-0.10083535491166629	
1698	-0.0942849782218751	
1697	-0.09090160354396559	
1696	-0.08179121489552088	
1695	-0.07305843983671423	
1694	-0.07054686665731325	
1693	-0.06518159327091766	
1692	-0.06414314449583003	
1691	-0.0625312030666123	
1690	-0.06626743838137372	
1689	-0.06920813126364678	
1688	-0.07316165603852198	
1687	-0.0703811778789607	
1686	-0.06947203612328678	
1685	-0.06678686930436939	-0.1268821871936487
1684	-0.07609072970500819	-0.12457870622171797
1683	-0.084930094130101	-0.12279153883162594
1682	-0.09690220604104738	-0.12163137107591566
1681	-0.10409448590608861	-0.12084987200017425
1680	-0.11449539156103583	-0.12056820247264784
1679	-0.12675953787098493	-0.12084124504309303
1678	-0.1389988056344471	-0.12163811442622485
1677	-0.15060821378678568	-0.1229035962006409
1676	-0.16281400927102752	-0.12463922404374474
1675	-0.1743796206026822	-0.1267931367487528
1674	-0.18472533676783343	-0.12929156774135966
1673	-0.19692056196643293	-0.13219682770523797
1672	-0.21269179696230367	-0.13564189915716032
1671	-0.23550560207338833	-0.13990066639663368
1670	-0.25412820516667267	-0.14475533880372368
1669	-0.27177212752722113	-0.150135883068781
