	macd	trigger
4731		
4730		
4729		
4728		
4727		
4726		
4725		
4724		
4723		
4722		
4721		
4720		
4719		
4718		
4717		
4716		
4715		
4714		
4713		
4712		
4711		
4710		
4709		
4708		
4707		
4706		
4705		
4704		
4703		
4702		
4701		
4700		
4699		
4698		
4697		
4696		
4695		
4694		
4693		
4692		
4691		
4690		
4689		
4688		
4687		
4686		
4685		
4684		
4683		
4682		
4681		
4680		
4679		
4678		
4677		
4676		
4675		
4674		
4673		
4672		
4671		
4670		
4669		
4668		
4667		
4666		
4665		
4664		
4663		
4662		
4661		
4660		
4659		
4658		
4657		
4656		
4655		
4654		
4653		
4652		
4651		
4650		
4649		
4648		
4647		
4646		
4645		
4644		
4643		
4642		
4641		
4640		
4639		
4638		
4637		
4636		
4635		
4634		
4633	-0.678885477150871	
4632	-0.6983950774010239	
4631	-0.713915409768024	
4630	-0.7276791691745927	
4629	-0.743126228406906	
4628	-0.7568048167883248	
4627	-0.7701007092251348	
4626	-0.7817157727543336	
4625	-0.7930391398600456	
4624	-0.80479625940327	
4623	-0.8176265590870102	
4622	-0.8239091921799879	
4621	-0.8239364684486894	
4620	-0.819433177301466	
4619	-0.8147236214560696	
4618	-0.8076995375307661	
4617	-0.8012641961344844	
4616	-0.7989823632033772	
4615	-0.803367625042581	
4614	-0.8015079689661864	
4613	-0.8014720172928058	
4612	-0.8038583369386654	
4611	-0.8043076780276746	
4610	-0.805065768864365	
4609	-0.8089090522731439	
4608	-0.8107366905646725	
4607	-0.8134967671083047	
4606	-0.8157156728320683	
4605	-0.8181062360364653	
4604	-0.8178428590617113	
4603	-0.8171763229673044	
4602	-0.815375114543361	
4601	-0.8152674482784406	
4600	-0.8156200140303174	
4599	-0.8162969086812186	
4598	-0.8186800567804031	
4597	-0.8183820301076672	
4596	-0.8191413598745712	
4595	-0.8201514574192963	
4594	-0.8229242388478948	
4593	-0.8236850764049031	
4592	-0.8254617957419796	
4591	-0.8282092498485092	
4590	-0.8333577540708763	
4589	-0.8363705960255547	
4588	-0.8410678396368851	
4587	-0.8435824753008703	
4586	-0.8463245284195029	
4585	-0.8499962920357547	-0.8172273408966396
4584	-0.8523540231502338	-0.8188203970556661
4583	-0.8541706733421535	-0.8204138162871886
4582	-0.8561861264073567	-0.8220168657394245
4581	-0.8576741648823649	-0.8236058677801966
4580	-0.8579400340939571	-0.8251277685077597
4579	-0.8538026258914861	-0.8263923513906876
4578	-0.8428196969410511	-0.8271132879200935
4577	-0.8311888450719138	-0.827291317799523
4576	-0.8205688213428175	-0.8269989692336275
4575	-0.8091126288631862	-0.8262244354857041
4574	-0.7947518328581875	-0.8248671225268196
4573	-0.7776223338485764	-0.8228375434295468
4572	-0.7623903078427752	-0.8202504867775644
4571	-0.7489785521697545	-0.8172110382959049
4570	-0.7347060793515272	-0.8137045760894337
4569	-0.71804010869654	-0.8096521440717961
4568	-0.7000670617117848	-0.8050245770521914
4567	-0.6819483927805159	-0.7998429159510443
4566	-0.661994033151041	-0.7940560042858065
4565	-0.6437089208494129	-0.7877618165668252
4564	-0.627881721539632	-0.7810862168417306
4563	-0.6132496469282689	-0.7740961456619329
4562	-0.597442331603725	-0.7667567055980293
4561	-0.5813155230052587	-0.7590700966054235
4560	-0.5656265299097036	-0.751069664266777
4559	-0.551099460298321	-0.7428169830363591
4558	-0.5387948031248371	-0.7344143364926585
4557	-0.5280046452922775	-0.7259300682751119
4556	-0.5178667455304762	-0.7173939482016604
