	macd	trigger
2291		
2290		
2289		
2288		
2287		
2286		
2285		
2284		
2283		
2282		
2281		
2280		
2279		
2278		
2277		
2276		
2275		
2274		
2273		
2272		
2271		
2270		
2269		
2268		
2267		
2266		
2265		
2264		
2263		
2262		
2261		
2260		
2259		
2258		
2257		
2256		
2255		
2254		
2253		
2252		
2251		
2250		
2249		
2248		
2247		
2246		
2245		
2244		
2243		
2242		
2241		
2240		
2239		
2238		
2237		
2236		
2235		
2234		
2233		
2232		
2231		
2230		
2229		
2228		
2227		
2226		
2225		
2224		
2223		
2222		
2221		
2220		
2219		
2218		
2217		
2216		
2215		
2214		
2213		
2212		
2211		
2210		
2209		
2208		
2207		
2206		
2205		
2204		
2203		
2202		
2201		
2200		
2199		
2198		
2197		
2196		
2195		
2194		
2193	-0.0472923832966643	
2192	-0.0621645725439528	
2191	-0.07629344403497562	
2190	-0.09024955954201275	
2189	-0.10295176109871207	
2188	-0.11091711197036958	
2187	-0.12253808679224143	
2186	-0.13354526870513972	
2185	-0.14670461178088168	
2184	-0.1564181180096007	
2183	-0.16283741362876292	
2182	-0.1688709681153675	
2181	-0.1773593113709655	
2180	-0.18530259349146405	
2179	-0.19277843495255098	
2178	-0.20259524584590416	
2177	-0.20905264201374152	
2176	-0.20949567665875968	
2175	-0.2148681664035177	
2174	-0.21762794412366304	
2173	-0.21789071328599618	
2172	-0.21972735000893806	
2171	-0.22646861894240367	
2170	-0.23334936751988877	
2169	-0.24206898978742686	
2168	-0.24569703937689447	
2167	-0.24903198554725137	
2166	-0.25214315243395014	
2165	-0.2549247827449541	
2164	-0.2574482298908709	
2163	-0.25978187626491156	
2162	-0.26181804726616775	
2161	-0.26073525311297807	
2160	-0.26130846989021883	
2159	-0.2605614899342026	
2158	-0.2672192259019823	
2157	-0.2711623690281968	
2156	-0.2666150771975495	
2155	-0.2674036857579676	
2154	-0.2680788256184101	
2153	-0.27210678569407776	
2152	-0.27581154046995593	
2151	-0.2772048881506013	
2150	-0.2826972280629345	
2149	-0.2886797646447601	
2148	-0.2934133609028251	
2147	-0.2917984111869334	
2146	-0.2960415304163284	
2145	-0.30231638439136077	-0.24782349529444214
2144	-0.30993532978008353	-0.2506403750601268
2143	-0.3188356604938445	-0.2537142882151078
2142	-0.3271070431874783	-0.2570032068021745
2141	-0.32891788954037615	-0.260207952545098
2140	-0.33047871166729514	-0.26332278336572057
2139	-0.3377923884659193	-0.2666069492343728
2138	-0.3446000576592212	-0.27002978347944395
2137	-0.35512728720742537	-0.2737470417006107
2136	-0.36679791506229265	-0.2777936469398709
2135	-0.3789538169177611	-0.2821741945516692
2134	-0.395126997129708	-0.28704548862594614
2133	-0.40504634231855974	-0.2921146628738386
2132	-0.4196884848778488	-0.297574642997504
2131	-0.4334489564553028	-0.30336911143740775
2130	-0.4463610616118334	-0.3094462718351756
2129	-0.45542271671337886	-0.31562996401647203
2128	-0.47720556978990025	-0.32245299073094197
2127	-0.5010976979859603	-0.32997415606432473
2126	-0.5167644075930404	-0.33781563191503955
2125	-0.5258452399322113	-0.3456873752341391
