	macd	trigger
798		
797		
796		
795		
794		
793		
792		
791		
790		
789		
788		
787		
786		
785		
784		
783		
782		
781		
780		
779		
778		
777		
776		
775		
774		
773		
772		
771		
770		
769		
768		
767		
766		
765		
764		
763		
762		
761		
760		
759		
758		
757		
756		
755		
754		
753		
752		
751		
750		
749		
748		
747		
746		
745		
744		
743		
742		
741		
740		
739		
738		
737		
736		
735		
734		
733		
732		
731		
730		
729		
728		
727		
726		
725		
724		
723		
722		
721		
720		
719		
718		
717		
716		
715		
714		
713		
712		
711		
710		
709		
708		
707		
706		
705		
704		
703		
702		
701		
700	-0.09260226280053985	
699	-0.08178938254930301	
698	-0.0754977419313434	
697	-0.06405790541269596	
696	-0.053130447964377936	
695	-0.04949526253994918	
694	-0.04600740156983818	
693	-0.04129418391772788	
692	-0.03815382416743773	
691	-0.035142432746980035	
690	-0.030877372219961785	
689	-0.026797610654313075	
688	-0.025665842982590448	
687	-0.032903425300304434	
686	-0.034218107458031	
685	-0.03963839774405642	
684	-0.058766519959377206	
683	-0.07696975408258311	
682	-0.09849706114047763	
681	-0.11896922845797064	
680	-0.1285491502295173	
679	-0.13054684072491796	
678	-0.13947106106584783	
677	-0.15074982150893845	
676	-0.16569761348584677	
675	-0.17131020536032793	
674	-0.18800841917077094	
673	-0.18808505808721065	
672	-0.20241145889796996	
671	-0.2174098719271882	
670	-0.20999672620787635	
669	-0.22735510641663836	
668	-0.2466885513403696	
667	-0.2635559400353742	
666	-0.29837936959691547	
665	-0.33144644746953134	
664	-0.35408270734143343	
663	-0.38425210065692283	
662	-0.39529818344465184	
661	-0.38806540434958947	
660	-0.39270122842332	
659	-0.39104831609147084	
658	-0.38927271495730054	
657	-0.36822051807308753	
656	-0.3302323910969278	
655	-0.3159965351964047	
654	-0.2992910304232481	
653	-0.2891312131058612	
652	-0.273348600457922	-0.24482724484041335
651	-0.2670747078250457	-0.24583620599633796
650	-0.2579728919670856	-0.24638326901434693
649	-0.25512364104825735	-0.24677494762146596
648	-0.246299333493198	-0.24675375275145048
647	-0.23625728970260695	-0.24628848516333166
646	-0.21007548010604182	-0.24469146427070756
645	-0.1909836520888888	-0.24233442346958456
644	-0.16665855435627464	-0.23902872430942354
643	-0.1493759436063158	-0.2351298956472002
642	-0.13280649653162868	-0.23069897662319333
641	-0.12898931059226015	-0.22631256316443152
640	-0.11622176349021629	-0.22158319528975354
639	-0.10851271456698441	-0.2167439377710738
638	-0.10261364409556961	-0.21187676039287823
637	-0.09390069268559387	-0.20686277544001536
636	-0.09160580645723826	-0.20198038761002413
635	-0.09240669829603121	-0.19735330169681534
634	-0.09616529002502716	-0.19309316000421334
633	-0.08752465894690431	-0.18866138240949346
632	-0.07466101450198437	-0.18388882747033264
631	-0.06692260617344914	-0.17900504456663824
630	-0.06561209802586632	-0.17428244586234096
629	-0.0566828633308063	-0.1693965333099753
628	-0.05578435169623219	-0.1646872642864946
627	-0.044173130653433645	-0.15970304491724308
626	-0.03613551152771777	-0.1546034678639855
625	-0.029980641211864167	-0.14947088098500608
624	-0.02409065780048536	-0.14431724969721618
623	-0.01691823293508321	-0.1390905077132099
622	0.016111481073266987	-0.13273461538692485
621	0.07228826385743048	-0.12435299492855952
620	0.13512718892960152	-0.11376272437801148
619	0.21047753872201724	-0.10055048378723898
618	0.27147441693274743	-0.08541429826448546
617	0.3311041452257939	-0.06849272992648986
616	0.4126208884455167	-0.04897443518693777
615	0.5196567623451784	-0.025936817391206443
614	0.623108797181601	0.00032462340792934147
613	0.7199846400617815	0.029407002835105545
612	0.8027665799344277	0.06062212953164037
611	0.8704914309792997	0.09327343700910076
610	0.9440248865382301	0.12753525546093133
609	1.021515522681554	0.1634999978481471
608	1.102749684044042	0.2012476403041238
607	1.170369488853396	0.24015794184581055
606	1.2655233061038444	0.281287993096924
605	1.4056717611229175	0.3263495126516546
604	1.519975462120314	0.3741448765131799
603	1.5970275022286557	0.4230713044358328
602	1.635330594003932	0.471534251330898
601	1.6491305939908614	0.518575633527816
600	1.6583232559387966	0.5640718050911344
599	1.663111100784164	0.6079122122767735
598	1.6605516727898504	0.6498734567272917
597	1.668246456771456	0.6904424850744988
596	1.6857320845426784	0.7300673141914468
595	1.7078451591975607	0.7689717457109478
594	1.7154922855998365	0.8066109274101259
593	1.7108933502375265	0.8425507027216634
592	1.6946007680614912	0.8763966763332268
591	1.6750265820377024	0.9081045562133131
590	1.6712475643867748	0.9383887520479982
589	1.6541611602287958	0.9667798339205462
588	1.6496280311779827	0.9938528152778563
587	1.6476111355951275	1.019761287640282
586	1.6543189602919313	1.0448984216327932
585	1.6614517263697905	1.0693126217027853
584	1.6500064674854684	1.092298078676379
583	1.6398149516795826	1.113962347885309
582	1.6308260769281588	1.1344065193854613
581	1.6103177151127142	1.1532244714098296
580	1.6168551575215702	1.1715508813514282
579	1.6254340005179557	1.189486386996075
578	1.651821826927133	1.2077504126302365
577	1.6809202798701222	1.2264370551150454
576	1.7094175374012508	1.2455058651681412
575	1.723030323123524	1.2643542522243578
574	1.7414929473575	1.2831826049277506
573	1.7582184715189584	1.3019233813020994
572	1.7557811263343268	1.3198244360177827
571	1.749366909588531	1.336762614678121
570	1.7439340823169687	1.352815146315688
569	1.728293893077165	1.367615117829089
568	1.704507782268962	1.3808915068963505
567	1.7112049214084522	1.3939061108448245
566	1.7071484861312598	1.406245818728251
565	1.6992056380148028	1.4177844745821815
564	1.698724626152483	1.4288478284990511
563	1.6926002705949657	1.4392326308479029
562	1.6826872310371925	1.448816729782756
561	1.6851340487307311	1.4581184464250452
560	1.6897949147838887	1.4672361678326948
559	1.7077559600565024	1.4767005994738238
558	1.7256167958890671	1.486494114345272
557	1.7369756248719597	1.4963479453574775
556	1.7549197832830998	1.5065187864014704
555	1.7791428598240628	1.517241091751944
554	1.7965419211010811	1.5282247383228753
553	1.802612627322759	1.539013996147952
552	1.8170864966021867	1.5499469838221678
551	1.8219508116336556	1.5606402854423131
