	macd	trigger
4929		
4928		
4927		
4926		
4925		
4924		
4923		
4922		
4921		
4920		
4919		
4918		
4917		
4916		
4915		
4914		
4913		
4912		
4911		
4910		
4909		
4908		
4907		
4906		
4905		
4904		
4903		
4902		
4901		
4900		
4899		
4898		
4897		
4896		
4895		
4894		
4893		
4892		
4891		
4890		
4889		
4888		
4887		
4886		
4885		
4884		
4883		
4882		
4881		
4880		
4879		
4878		
4877		
4876		
4875		
4874		
4873		
4872		
4871		
4870		
4869		
4868		
4867		
4866		
4865		
4864		
4863		
4862		
4861		
4860		
4859		
4858		
4857		
4856		
4855		
4854		
4853		
4852		
4851		
4850		
4849		
4848		
4847		
4846		
4845		
4844		
4843		
4842		
4841		
4840		
4839		
4838		
4837		
4836		
4835		
4834		
4833		
4832		
4831	-0.4321930325597805	
4830	-0.4390010573690333	
4829	-0.4405645617150995	
4828	-0.43236009167744527	
4827	-0.42296873785796407	
4826	-0.41924715352467246	
4825	-0.41276050254874974	
4824	-0.3967997370041374	
4823	-0.3827625936630099	
4822	-0.354735152126608	
4821	-0.3161652105363544	
4820	-0.2743897279770877	
4819	-0.2358811129219518	
4818	-0.19278800748960379	
4817	-0.1571863624341887	
4816	-0.13572835219082435	
4815	-0.1110117635238268	
4814	-0.08879653527357334	
4813	-0.0654392668110404	
4812	-0.039647688899655975	
4811	-0.009394817172953651	
4810	0.020867436692292074	
4809	0.0596307556881257	
4808	0.10224205799323016	
4807	0.13997523507136123	
4806	0.1758857288344018	
4805	0.207183073307327	
4804	0.24122082690033864	
4803	0.2721250072391257	
4802	0.30433643399278054	
4801	0.3320229122416123	
4800	0.3611480866883596	
4799	0.3858530704787029	
4798	0.4121195699083202	
4797	0.44422237370123696	
4796	0.47677206314301657	
4795	0.5075804981981236	
4794	0.5360126482123277	
4793	0.5635661762795081	
4792	0.5917921294176836	
4791	0.6272202705921899	
4790	0.687146126998563	
4789	0.7425000315879018	
4788	0.7890409211781488	
4787	0.8315698142926138	
4786	0.8658120154261013	
4785	0.8950832176163317	
4784	0.9299739260077402	
4783	0.9791324555275978	0.3951290734462317
4782	1.0106677065380865	0.42304482146611155
4781	1.0491840303183508	0.45126814421781364
4780	1.0868966408014131	0.47975229606182124
4779	1.129801423736339	0.5087205414226453
4778	1.1806420372705375	0.538504221155866
4777	1.2300563941055813	0.5690021946544214
4776	1.269086610595231	0.5997263568492365
4775	1.3004609359551793	0.630336084055381
4774	1.322942357677796	0.6604562116192678
4773	1.3512541624705108	0.6903698951816615
4772	1.377585872556132	0.7200073281795708
4771	1.3989949979192176	0.7491758189351271
4770	1.4111566035379965	0.7775076653077042
4769	1.4371802180243094	0.8056399273233229
4768	1.4597696432900804	0.8334404517586298
4767	1.48968825881348	0.8612396931832574
4766	1.5182129496931722	0.8889824087893817
4765	1.5439338423070623	0.9165566822873957
4764	1.5653816152399145	0.94379442623522
4763	1.5888947204814627	0.970801151319273
4762	1.5876405700398024	0.996556534147498
4761	1.5810519039094473	1.020899645073829
4760	1.578543995446772	1.0440681076873108
4759	1.5661615457867697	1.06570908333342
4758	1.5382222573209106	1.085251266835197
4757	1.5061690290127032	1.1026223553600643
4756	1.4840178822449062	1.1183301171688618
4755	1.4674654502247364	1.1326809831221123
4754	1.4594082759033498	1.1460854763584212
4753	1.441734200715949	1.1581929981312589
4752	1.4179633818482529	1.1688127727177076
4751	1.3852943346675772	1.1776481229790114
4750	1.3503159166739138	1.1846840426108405
4749	1.3146934174888685	1.1899735971918448
4748	1.2892997907694195	1.1940088446068013
4747	1.2504695252584597	1.1962993975324987
4746	1.2112166821334682	1.196903758852593
