	macd	trigger
3588		
3587		
3586		
3585		
3584		
3583		
3582		
3581		
3580		
3579		
3578		
3577		
3576		
3575		
3574		
3573		
3572		
3571		
3570		
3569		
3568		
3567		
3566		
3565		
3564		
3563		
3562		
3561		
3560		
3559		
3558		
3557		
3556		
3555		
3554		
3553		
3552		
3551		
3550		
3549		
3548		
3547		
3546		
3545		
3544		
3543		
3542		
3541		
3540		
3539		
3538		
3537		
3536		
3535		
3534		
3533		
3532		
3531		
3530		
3529		
3528		
3527		
3526		
3525		
3524		
3523		
3522		
3521		
3520		
3519		
3518		
3517		
3516		
3515		
3514		
3513		
3512		
3511		
3510		
3509		
3508		
3507		
3506		
3505		
3504		
3503		
3502		
3501		
3500		
3499		
3498		
3497		
3496		
3495		
3494		
3493		
3492		
3491		
3490	0.18047262505945127	
3489	0.17002020666265594	
3488	0.15458573518449725	
3487	0.13980885858427428	
3486	0.13108939930182828	
3485	0.12271762740510894	
3484	0.1146806709008672	
3483	0.12337278192956092	
3482	0.13159024909887762	
3481	0.1338545098190309	
3480	0.14145503941415427	
3479	0.14862505809048798	
3478	0.1553816991183794	
3477	0.16174143196747082	
3476	0.15658752360423023	
3475	0.15159553103922008	
3474	0.1579456902258869	
3473	0.16391831593642792	
3472	0.16390970668513205	
3471	0.1638180931715283	
3470	0.1580034408156621	
3469	0.15237933949831017	
3468	0.14693953638234802	
3467	0.14167799854419627	
3466	0.1365889041539674	
3465	0.13166663407292845	
3464	0.12690576384574115	
3463	0.10511680973510806	
3462	0.07854388864885209	
3461	0.06466235471407344	
3460	0.05715187088881635	
3459	0.03264010874994483	
3458	0.015027568180215667	
3457	-0.001779908099763361	
3456	-0.01781142547170589	
3455	-0.03309507838716286	
3454	-0.036005296150221966	
3453	-0.03876326930648588	
3452	-0.041374674913157605	
3451	-0.04384499303532152	
3450	-0.04617951388547681	
3449	-0.051321530118997316	
3448	-0.05620138775370265	
3447	-0.06377649825188314	
3446	-0.0768766036935915	
3445	-0.0893369571443543	
3444	-0.11302738056508588	
3443	-0.1355749252446401	
3442	-0.15702088157775052	0.015751417859677954
3441	-0.17740515275022517	0.006991431298890404
3440	-0.20272498851991827	-0.0024615691189040253
3439	-0.2387178033047519	-0.013048820138663845
3438	-0.2729429997572481	-0.02463052687823643
3437	-0.31144851391323414	-0.03734405832553405
3436	-0.34803552909832547	-0.05104578700558369
3435	-0.38277358742067236	-0.06560411527630491
3434	-0.41572991989499997	-0.08089843025200386
3433	-0.45900201910933447	-0.09734143511995405
3432	-0.5000646747379847	-0.11478059448386188
3431	-0.5389982919175225	-0.13307575058930046
3430	-0.5758806153340004	-0.15209811311434251
3429	-0.6531141161645735	-0.17354089326563854
3428	-0.7930869772340543	-0.1999619300257318
3427	-0.926271547914638	-0.23083010156243824
3426	-1.05291072501268	-0.2656541687457843
3425	-1.1975419431750538	-0.30500599508976145
3424	-1.3349697664195332	-0.34836875646453513
3423	-1.4471851273649747	-0.39449719178848086
3422	-1.553549036289951	-0.4430201808520502
3421	-1.6725832304743449	-0.4943590967730668
3420	-1.785341647089922	-0.5481260435311227
3419	-1.8798213071246437	-0.6034540171875998
3418	-1.9690389679112457	-0.6600580434111082
3417	-2.083832425774901	-0.7189424550572041
3416	-2.1862006161423864	-0.7794955456970242
3415	-2.282792261779832	-0.8414087698426918
3414	-2.330792041132625	-0.9026284106399041
3413	-2.3754167798312977	-0.9630518346069941
3412	-2.4167972730662797	-1.0225861843206905
3411	-2.4550599707810363	-1.0811477050588627
3410	-2.4903271162073395	-1.1386611189790639
3409	-2.5227168798406723	-1.1950590429404901
3408	-2.5523434890219647	-1.2502814464497112
3407	-2.5793173532838125	-1.3042751465430134
3406	-2.6037451856137466	-1.3569933367152738
3405	-2.644322736139017	-1.409148411586025
3404	-2.6817018317198347	-1.4606379919117127
3403	-2.7284243990767294	-1.5118708580881919
3402	-2.7716256398167474	-1.5627183632884438
3401	-2.7865718147826044	-1.6120601710105746
3400	-2.799411626987151	-1.6598776858037636
3399	-2.8102340285999077	-1.7061564136897707
3398	-2.8191249483702734	-1.7508856682525555
3397	-2.8199303249610637	-1.793807876658367
3396	-2.8192541811028065	-1.8349411746292656
3395	-2.817163937997492	-1.8743053592762249
3394	-2.8137246735958144	-1.9119217398236121
3393	-2.8089991970557833	-1.9478129976020333
3392	-2.7905292733295113	-1.9815025840375708
3391	-2.7714678134880586	-2.013059285544402
3390	-2.7769227768269076	-2.0435510047346814
3389	-2.7368006780606464	-2.0712045636920586
3388	-2.722202519299941	-2.097155219521297
3387	-2.706870720624096	-2.121444517692889
3386	-2.678278096729514	-2.1436133773169566
3385	-2.655897992194582	-2.1639964753998098
3384	-2.633171257787751	-2.182653603416329
3383	-2.6101250658662423	-2.199643017259527
3382	-2.580486270664096	-2.214771248837952
3381	-2.6012920366351295	-2.230117224017554
3380	-2.619815006009759	-2.245581801193516
3379	-2.6361491882788926	-2.2610736398516598
3378	-2.6503854423708333	-2.2765087412608955
3377	-2.681562373318414	-2.2925610353661074
3376	-2.706782622533453	-2.30896985679869
3375	-2.7452729556160875	-2.3262465319277434
3374	-2.7806010010350803	-2.3442311294506437
3373	-2.7875717137626026	-2.3617733281359476
3372	-2.7927907891729262	-2.378821912507148
3371	-2.7899985676555303	-2.39508020321262
3370	-2.7795574006627106	-2.4102778312918995
3369	-2.76181716589646	-2.424169151444307
3368	-2.756151822675349	-2.4372837420505675
3367	-2.736627704996465	-2.4491055718052506
3366	-2.741986017642205	-2.4606689409159332
3365	-2.7456878072450337	-2.4719189320344968
3364	-2.7478062553637272	-2.482805711671156
3363	-2.748412036399955	-2.493284223054042
3362	-2.747573395523048	-2.5033138952140934
3361	-2.7580858504506836	-2.513360335696609
3360	-2.7603305916226333	-2.5230970146190796
3359	-2.7419396985890785	-2.531722976851583
3358	-2.74208811290886	-2.540013122904859
3357	-2.72169025608747	-2.547171342435114
3356	-2.7008156118199054	-2.5532239252008946
3355	-2.66035714902776	-2.557443525701983
3354	-2.639511825808384	-2.5606753551302726
3353	-2.650174099008879	-2.564199215452718
3352	-2.665369944127505	-2.5681820125416883
3351	-2.67210949011249	-2.5722727154661076
3350	-2.677162586699694	-2.576400698904248
3349	-2.6869964330050493	-2.5807526308409905
3348	-2.694995021636629	-2.5852474550803115
3347	-2.6948399860573886	-2.589558776415676
3346	-2.66130174247661	-2.5923807631783653
3345	-2.62791375089472	-2.5937782756559917
3344	-2.594686295837917	-2.593813984009529
3343	-2.561629117299134	-2.5925484368081935
3342	-2.541566335003793	-2.5905439714629237
3341	-2.5082834968978602	-2.5873100608484374
3340	-2.4431617689663057	-2.5816437027573778
3339	-2.3989781830443206	-2.574463933779291
3338	-2.349149088817029	-2.565608605339908
3337	-2.29395524285988	-2.554933001239347
3336	-2.2336674542454915	-2.542308753478018
3335	-2.174966913730046	-2.5278750709507194
3334	-2.121022564237265	-2.5118901495967223
3333	-2.0395299894660894	-2.4933328477953194
3332	-1.9542648229274846	-2.472156334343752
3331	-1.887934163611007	-2.449207562815562
3330	-1.820430344643654	-2.4245102395675633
3329	-1.7550557248268888	-2.39821682706321
3328	-1.6917472428884963	-2.370471285278237
3327	-1.630443640501511	-2.3414094811168296
3326	-1.5710854117011621	-2.3111595792869695
3325	-1.5200502911000768	-2.280095119476397
3324	-1.4962981722645736	-2.2493193711998223
3323	-1.4728519016488661	-2.2188329163895903
3322	-1.4497096590013996	-2.1886362467053737
3321	-1.4268695518710643	-2.158729764083082
3320	-1.4043296197786788	-2.1291137814318866
3319	-1.3756442024666171	-2.0995355720365523
3318	-1.341106570604083	-2.0697638760112143
3317	-1.3074458697277294	-2.0398406785805108
3316	-1.293981739584808	-2.0105646370404067
3315	-1.2611139420932886	-1.9811486657812483
3314	-1.229088465635229	-1.95163128542465
3313	-1.1978835510794852	-1.922048647998787
3312	-1.1674780058609144	-1.8924346526981448
3311	-1.137851189089048	-1.8628210564502568
3310	-1.0960744105569518	-1.8327309974103139
3309	-1.0427202774679358	-1.8017288393581896
3308	-0.9912542804752889	-1.7699244842305617
3307	-0.9416171667889444	-1.7374211860701327
3306	-0.8872929199975346	-1.7040624521901913
3305	-0.8672792565866132	-1.6712281609423292
3304	-0.8218847717794517	-1.6379017911519549
3303	-0.7845921464174523	-1.604420534744516
3302	-0.742127925100931	-1.5705875332740777
3301	-0.6947486858941971	-1.5362237318165675
3300	-0.6491662102676798	-1.501420444975719
3299	-0.6247179997630639	-1.4670240829394898
3298	-0.6010587747138487	-1.433049594668641
3297	-0.5781648896845724	-1.3995104160684206
3296	-0.5495455412522574	-1.366164811538102
3295	-0.5219441501889293	-1.3330450943543033
3294	-0.49856345276347724	-1.3003079548334129
3293	-0.47275346978486255	-1.267843052406525
3292	-0.4478733999378477	-1.2356761605066597
3291	-0.42389382066355097	-1.2038308874369443
3290	-0.4202042276010758	-1.1730905329152024
3289	-0.39704411792098426	-1.1426479231290354
3288	-0.37473258562124556	-1.1125246433293772
3287	-0.34029274882028915	-1.0822323896255317
3286	-0.3072447177992217	-1.0518323758742314
3285	-0.27554228591513663	-1.0213816005939875
3284	-0.2451406515931609	-0.9909330677488204
3283	-0.2224740872953248	-0.9607900868939996
3282	-0.1942459803518375	-0.9307225043905372
3281	-0.16720270758963807	-0.9007738246355399
3280	-0.14130436746101793	-0.8709842798726374
3279	-0.11651228051869111	-0.8413910066531571
3278	-0.06038430365306624	-0.8107571901574765
3277	-0.019744754212098314	-0.7797311562266966
3276	0.019053825265558544	-0.7484004934471172
3275	0.069040557357539	-0.7163383168029841
3274	0.12319762274876211	-0.683409749010624
3273	0.17482355623145907	-0.6497480508262208
3272	0.21752236363106192	-0.6157321159920551
3271	0.2646478944440105	-0.5812022110065304
3270	0.3094889795875133	-0.5462680914146648
3269	0.35212634494929773	-0.5110320399594528
3268	0.39263818582371357	-0.4755892592397793
3267	0.43110024152313997	-0.44002824600544377
3266	0.46109830736624247	-0.4046855933970268
3265	0.39865722909051726	-0.3731782219454066
3264	0.35183074896967526	-0.34474326215981693
3263	0.3134437734711213	-0.3189291838234587
3262	0.27664276668667753	-0.295570967639641
3261	0.23488470131373163	-0.2747666850687186
3260	0.19490708511629862	-0.2563463198433495
3259	0.15664960502353154	-0.24014889233745448
3258	0.12654503681737594	-0.22576745107667254
3257	0.10423799822912372	-0.2128249479471965
3256	0.07640108184567396	-0.20148181352583264
3255	0.05628529993997233	-0.19137249679058305
3254	0.037056829735433894	-0.18241380072872854
3253	0.018685251114447965	-0.17452698548277143
3252	0.0011410839790215732	-0.1676375565459845
3251	-0.0026161670872397735	-0.16116569173800005
3250	-0.006200848176717955	-0.15508824407935462
3249	-0.009618956276256085	-0.14938320989915374
3248	-0.012876301836470816	-0.1440296766481253
3247	-0.028969475038437054	-0.13951725178499289
3246	-0.04431421826174642	-0.1357835927230139
3245	-0.06543280931278161	-0.1330245916722484
3244	-0.07905847743379013	-0.13090816527325122
3243	-0.09202207685352448	-0.12938314572627607
3242	-0.1043470265077957	-0.12840129079572793
3241	-0.10955855554459504	-0.12766232649735143
3240	-0.1209733376830826	-0.12740000178328406
3239	-0.12530690219323048	-0.12731791601087392
3238	-0.12937776545938107	-0.12739869766899653
3237	-0.12994645072265598	-0.12749861341368685
3236	-0.13367106333139134	-0.12774067925863783
3235	-0.1339067538698515	-0.1279824947302703
3234	-0.1438112577405235	-0.12860325180515708
3233	-0.1661890526526406	-0.13007725330631079
3232	-0.17446041472956608	-0.13181782449608115
3231	-0.19526458838112148	-0.13430600850039418
3230	-0.16951512066280827	-0.1356867983139865
3229	-0.16435338521316112	-0.13681100973043434
3228	-0.17234344878703212	-0.13820447627163593
3227	-0.19288221609538425	-0.1403487568918152
3226	-0.19938143184170087	-0.14266382135327757
3225	-0.20548064300160718	-0.14512728501312927
3224	-0.2046929163606137	-0.14746324577629838
3223	-0.2298433772796784	-0.15069391045949437
3222	-0.23422057651565353	-0.15396953543952238
3221	-0.2382763377415955	-0.1572757518975071
3220	-0.20950891005513483	-0.15932415113080625
3219	-0.18194361943136528	-0.16021120578338494
3218	-0.15554002986600324	-0.16002801910455086
3217	-0.13025894333104304	-0.1588605841040918
3216	-0.1255733615147534	-0.15755518105558855
3215	-0.08851668085853248	-0.15484774550919378
3214	-0.06611109075711852	-0.15136782312251276
3213	-0.025179654561867437	-0.1464191942968816
3212	-0.025127319924308722	-0.1416625826072328
3211	-0.031568882272864585	-0.1373451236444584
3210	-0.03770038788596253	-0.13343743568565317
3209	-0.03052289158780752	-0.1294015203429592
3208	-0.03016178182110707	-0.12550971876285139
3207	-0.029801427312293072	-0.12175640876266756
3206	-0.02944198113539187	-0.11813619466174695
3205	-0.03558918757003937	-0.11489902236116864
3204	-0.04794340588945545	-0.11227328481651047
3203	-0.05970950712244871	-0.11021193976434497
3202	-0.10343846747920793	-0.10994631086998291
3201	-0.1386140057633014	-0.111070544488027
3200	-0.20464566697914677	-0.11474018940199743
3199	-0.23502825396106175	-0.11945740825630007
3198	-0.2639034618100453	-0.12512200535498658
3197	-0.31735204596715505	-0.132660497109731
3196	-0.3486781753540953	-0.141131842083241
3195	-0.4011693374104084	-0.1513294643315038
3194	-0.42177647800323825	-0.16193530293001215
3193	-0.44122456718086767	-0.1728878958807793
3192	-0.46606372576665933	-0.1843850606556088
3191	-0.4895278335223594	-0.19635151731216285
3190	-0.5051596852891862	-0.20846171292190435
3189	-0.5328313982891189	-0.22118216477223512
3188	-0.57523387446237	-0.23506662108453444
3187	-0.6154037547316165	-0.2499818807622494
3186	-0.6273894092458505	-0.2647822503284623
3185	-0.6547724742341359	-0.28007605839687305
3184	-0.693582853067781	-0.2962920863081426
3183	-0.7172458299727822	-0.31280014978746434
3182	-0.74921930132966	-0.3299146995621496
3181	-0.7695819679685911	-0.3471566241202048
3180	-0.8048873531679419	-0.3651069197020485
3179	-0.8218918906030126	-0.38302012380741796
3178	-0.8376931215202035	-0.4008505024664371
3177	-0.845828637358423	-0.41830068654456204
3176	-0.8596618146656994	-0.4356090243447103
3175	-0.8886895996149775	-0.45337694750908425
3174	-0.8996578841898639	-0.4708782150974923
3173	-0.9064028198774565	-0.4879576623564552
3172	-0.9318965331636377	-0.5053670797789811
3171	-0.939468695787312	-0.5223907194818577
3170	-0.9429514595606179	-0.5388833411963408
3169	-0.9490391163250962	-0.5549679223189002
3168	-0.967374466344566	-0.5711407674993854
3167	-0.9518206313003645	-0.5860694246693654
3166	-0.9722847930800214	-0.6012151595663995
3165	-0.9750344531227597	-0.615874771486835
3164	-0.9706407432621234	-0.6297871915151705
3163	-0.9659417130619801	-0.6429697481532045
3162	-0.9609537273402111	-0.6554397320979606
3161	-0.9556925555085769	-0.6672143743757081
3160	-0.9501733904967438	-0.6783108260755608
3159	-0.9509213065373245	-0.6890014513831872
3158	-0.9511397499495615	-0.6992814015032056
3157	-0.9475974591300371	-0.7090193014451425
3156	-0.9437230168611421	-0.7182233826369679
3155	-0.9623210038638916	-0.727795852281376
3154	-0.9795697587138932	-0.7376693525929509
3153	-0.995521804494544	-0.7477812270158185
3152	-1.0102279454559238	-0.7580732684541982
3151	-1.030248244487339	-0.7687468101425686
3150	-1.0488190603121694	-0.7797300487060476
3149	-1.0366971369136877	-0.7898072009386001
3148	-1.0213322428303115	-0.7988866243172238
3147	-0.9996246375068267	-0.8067587115720063
3146	-0.9979195286441893	-0.8142552218019801
3145	-0.9827497780903656	-0.820862857896242
3144	-0.9612483646833709	-0.8263681770398384
3143	-0.9337151159445511	-0.8305778647034421
3142	-0.9134621138253323	-0.8338282302219464
3141	-0.8936565953391522	-0.8361744425660034
3140	-0.8742884765245975	-0.8376691117562729
3139	-0.8879055429455605	-0.8396391693907178
3138	-0.8874160340662343	-0.8415127733061954
3137	-0.8734632738255357	-0.8427657349970267
3136	-0.8596915880457487	-0.8434294943911449
3135	-0.8460998952535164	-0.8435342160619597
3134	-0.8261753296506953	-0.842853474991379
3133	-0.8132405263354769	-0.8416921821873592
3132	-0.7874481203875803	-0.8395649628458446
3131	-0.7624214071129956	-0.836539723683121
3130	-0.6990671418743801	-0.8311486391620039
3129	-0.6512610532121386	-0.8240942204039643
3128	-0.6020393072254251	-0.8153861802964548
3127	-0.5580040824838193	-0.8052927599111196
3126	-0.5156858498177712	-0.7939356210091902
3125	-0.4880525234980695	-0.7819402001712801
3124	-0.46142481633977184	-0.7693709641481469
3123	-0.43577075280813915	-0.7562885976344438
3122	-0.46315669151562133	-0.7447932243055314
3121	-0.5020770945627788	-0.7352749411584734
3120	-0.5259368994914553	-0.7270656032499804
3119	-0.5809961468186344	-0.7213373873005133
3118	-0.613705420298686	-0.717116524453532
3117	-0.6380912620354593	-0.7140174935700613
3116	-0.6545204340348079	-0.7116842748367603
3115	-0.676371888494316	-0.710299474966163
