	macd	trigger
255		
254		
253		
252		
251		
250		
249		
248		
247		
246		
245		
244		
243		
242		
241		
240		
239		
238		
237		
236		
235		
234		
233		
232		
231		
230		
229		
228		
227		
226		
225		
224		
223		
222		
221		
220		
219		
218		
217		
216		
215		
214		
213		
212		
211		
210		
209		
208		
207		
206		
205		
204		
203		
202		
201		
200		
199		
198		
197		
196		
195		
194		
193		
192		
191		
190		
189		
188		
187		
186		
185		
184		
183		
182		
181		
180		
179		
178		
177		
176		
175		
174		
173		
172		
171		
170		
169		
168		
167		
166		
165		
164		
163		
162		
161		
160		
159		
158		
157	0.08640958426550327	
156	0.08410198320196471	
155	0.08186156734251426	
154	0.07914512649139738	
153	0.0765175686493933	
152	0.08104738912059872	
151	0.08586598511134014	
150	0.08822458785622089	
149	0.09207137379338093	
148	0.09404000447563376	
147	0.09586766848776662	
146	0.09700769059064385	
145	0.09527494468869335	
144	0.09357507507629137	
143	0.08801092360186402	
142	0.08377879082722828	
141	0.07746511821566315	
140	0.07028624811675499	
139	0.06172151418788374	
138	0.05465150251653128	
137	0.04393263283871107	
136	0.033690818649194654	
135	0.024475455802242863	
134	0.01681235706493922	
133	0.009496740927239955	
132	0.001945410510764134	
131	-0.007543269803001351	
130	-0.016588387417623807	
129	-0.026354141085477067	
128	-0.03622972251942258	
127	-0.0476469991006212	
126	-0.057069274962262995	
125	-0.06660591575225538	
124	-0.07566868845957941	
123	-0.08398485135523259	
122	-0.09100272445062885	
121	-0.09765116144619412	
120	-0.10394397610249939	
119	-0.10814048034299262	
118	-0.1103320876284748	
117	-0.11236694703145034	
116	-0.11190072407496032	
115	-0.11139908228555839	
114	-0.1096847874036655	
113	-0.10563147080608104	
112	-0.10171036453670723	
111	-0.09910197891670691	
110	-0.09596952655743962	
109	-0.091743538754951	-0.042858821922304245
108	-0.08706941620597419	-0.04486384929748753
107	-0.08018149906693495	-0.046455797883652374
106	-0.07297125007442418	-0.04764402366407902
105	-0.06665126454375425	-0.04849104644127196
104	-0.06058637288863977	-0.04902718545662311
103	-0.05416868370320316	-0.049253929415214455
102	-0.04801672396138201	-0.049199632961577824
101	-0.04152056306751106	-0.04886419320783512
100	-0.03349511054425136	-0.048195821077813915
99	-0.026421480483335813	-0.047252924919074055
98	-0.01845098369910403	-0.046010789067725176
97	-0.011438805092371496	-0.0445256183644442
96	-0.004136099056097464	-0.042797003753987185
95	0.004046379977733494	-0.04079933030310304
94	0.015490413802599079	-0.03840701518842436
93	0.023370398282935412	-0.03579006894766408
92	0.028448945460972652	-0.033077379062806285
91	0.032673225888633084	-0.03030919646054327
90	0.0391240989850381	-0.02739437887763331
89	0.04465143247464454	-0.0243782255166711
88	0.0492938629806261	-0.02130213669125439
87	0.050033971912856856	-0.0183311246103376
86	0.048268463409208096	-0.015564109999551701
85	0.04594650720150284	-0.01301447104283382
84	0.04431971600761386	-0.010643245718447988
83	0.04151740649619384	-0.008490598839285749
82	0.040049692036021156	-0.006491468609766087
81	0.039243051245538396	-0.004611595959424177
80	0.0372224927031084	-0.002895287677521557
79	0.03958608117794071	-0.0011555741053585924
78	0.04367126732609705	0.0006770095195059574
77	0.04631417635201984	0.0025396178186468657
76	0.04943075062300295	0.004450351921381939
75	0.05485283722208223	0.006501024784523089
74	0.055669376301956675	0.008498548863641712
73	0.05642030271090448	0.01044268613248931
72	0.05958722917915793	0.012433736226766055
71	0.061339072005182516	0.01441252562379798
70	0.062359062089324624	0.016350106333356942
69	0.06392204058814954	0.018270253182164714
68	0.06538121630410032	0.020169614646667673
67	0.0667405594977275	0.022045139229670566
66	0.06675838479661067	0.023843948909341557
65	0.0636250168907111	0.02544271604522373
64	0.061225240009356696	0.02687938657272372
63	0.05827904244455695	0.028138907812950465
62	0.055436936647833335	0.029232920991661027
61	0.05207056838247581	0.03014738977249735
60	0.04570301509692243	0.030769756273764787
59	0.04335718035131464	0.031272968474211855
58	0.04109575890942452	0.03166535899239173
57	0.03766248769381875	0.0319047509340132
56	0.03373877338569642	0.031977909638514934
55	0.031231345064529847	0.03194814942168645
54	0.026937840897350185	0.03174855325354056
53	0.022825692935466435	0.03139331311486434
