	macd	trigger
232		
231		
230		
229		
228		
227		
226		
225		
224		
223		
222		
221		
220		
219		
218		
217		
216		
215		
214		
213		
212		
211		
210		
209		
208		
207		
206		
205		
204		
203		
202		
201		
200		
199		
198		
197		
196		
195		
194		
193		
192		
191		
190		
189		
188		
187		
186		
185		
184		
183		
182		
181		
180		
179		
178		
177		
176		
175		
174		
173		
172		
171		
170		
169		
168		
167		
166		
165		
164		
163		
162		
161		
160		
159		
158		
157		
156		
155		
154		
153		
152		
151		
150		
149		
148		
147		
146		
145		
144		
143		
142		
141		
140		
139		
138		
137		
136		
135		
134	0.1749187944724877	
133	0.19455111612438536	
132	0.21853913650151746	
131	0.23964673474132248	
130	0.2588117285975944	
129	0.27394045738834016	
128	0.28384684728534104	
127	0.2923178849670034	
126	0.301335004479629	
125	0.3089472071900108	
124	0.30887727087282535	
123	0.31086313126075815	
122	0.3120429709378083	
121	0.31606225221209705	
120	0.31694854723339816	
119	0.3156789143982124	
118	0.31766361946080046	
117	0.31911342724537306	
116	0.32089491107284296	
115	0.3204589491591143	
114	0.32016249722401113	
113	0.3211311332821509	
112	0.32075765955920765	
111	0.3191023232372636	
110	0.3182156429606202	
109	0.31606746732995816	
108	0.3144299868565401	
107	0.31356787146312115	
106	0.31086454080091386	
105	0.30755332553683346	
104	0.3033747164260987	
103	0.2986578139737386	
102	0.2948746561222464	
101	0.2937239959091684	
100	0.29160644672734115	
99	0.2888568338366113	
98	0.2872524735212991	
97	0.28499245946927587	
96	0.28356873194314147	
95	0.2914372742706135	
94	0.30202284114916544	
93	0.31138113883620555	
92	0.3213288229209521	
91	0.3312463273291666	
90	0.35648383595197863	
89	0.3880714077250502	
88	0.42097563642212066	
87	0.44741252282782895	
86	0.47122299921331745	0.32671426943218096
85	0.5341639571013541	0.3361224737209786
84	0.5820353479326688	0.34720703498076244
83	0.6250337265269952	0.3596571653806042
82	0.6651501132499504	0.3732708974711912
81	0.6965115978789633	0.38759890685499343
80	0.7260853496745057	0.4025264148095962
79	0.7599387334332448	0.4182119432941302
78	0.8008715025712405	0.43492740885206
77	0.8455435509098166	0.4527843227288078
76	0.8847335446781841	0.47148905733969293
75	0.9132398432019606	0.49054035962138104
74	0.9466235003556509	0.5101331408560884
73	0.9786066321302442	0.5301831472809225
72	1.003183698469158	0.550354632944168
71	1.0218859343081963	0.5703947215467914
70	1.038001110758385	0.5902029445467731
69	1.060143489420435	0.6100476288760511
68	1.084385869353497	0.6300178613301476
67	1.1075796445867816	0.6500659589154517
66	1.1334192638594978	0.6703012462676995
65	1.1697094937502701	0.6911534327705762
64	1.2233003232337616	0.7133163299530181
63	1.2921740374593718	0.7373661444018108
62	1.3474559612908976	0.7626546041022383
61	1.378695435334624	0.788132799486584
60	1.3967661140158398	0.8132508252291341
59	1.423126740220333	0.8383685440546531
58	1.4592401808270132	0.863888864657866
57	1.4874269763687131	0.8894704814547372
56	1.506796474112715	0.9147514560751671
55	1.5269806017846506	0.9397802350670483
54	1.5429979218694179	0.9643996044891266
53	1.5550275225293042	0.9884666900452671
52	1.5626242324915474	1.0118268335865628
51	1.5678390675021063	1.0344155068134255
50	1.5713957310469588	1.0562002534630137
49	1.5708881404754038	1.0770524031103503
48	1.5578148249501815	1.0965048323327644
47	1.5426766985427776	1.1145352066797836
46	1.5268162934094498	1.131176115692796
45	1.505921354324233	1.1462846301041922
44	1.472760061848291	1.1594325853355236
43	1.4546761519306095	1.1713102063562733
42	1.4316836115902198	1.1817743910669682
41	1.407755733401487	1.1908475557945968
40	1.3823220348621668	1.19852809134987
39	1.364831798015949	1.205192984550093
38	1.3536878754810076	1.2111390410569745
37	1.339229050130438	1.216263806479885
36	1.32536678599822	1.220625457446795
35	1.3045649179969736	1.2239785828787446
34	1.2777716353640862	1.2261258810144586
33	1.257185650523727	1.2273648475807266
32	1.235007526500123	1.2276695068020684
31	1.2119477011375146	1.227043195637449
30	1.202510530455676	1.2260664923079552
29	1.189112128315081	1.2245961291465783
28	1.1706786828296885	1.2224520567539017
27	1.1512227534954604	1.219621121318154
26	1.1396189191374226	1.2164431948863357
25	1.1260661022031364	1.2128549671249642
24	1.1112893334946534	1.208824485935998
23	1.0985060537716045	1.2044487100555183
22	1.0907899093561078	1.199942463125691
21	1.0910756232942624	1.1956280652460765
20	1.098371534485409	1.1917753808475697
19	1.0971823985672202	1.1880296998547564
18	1.0935847423686482	1.184291309096122
17	1.0952849620827116	1.1807694861933404
16	1.1001441049764153	1.1775804074705667
15	1.1099187344796526	1.1749050047322767
14	1.1237490590434511	1.1728829107257173
13	1.1325664782199922	1.1712897789870744
12	1.1346888607704706	1.1698439021392135
11	1.136130250799873	1.1685124670816291
10	1.1439070561242843	1.1675410077265782
9	1.1456576530756841	1.1666772489563686
8	1.1473738995207796	1.1659155201860187
7	1.1496926005191916	1.1652755051240051
6	1.1602202192809052	1.1650761145672255
5	1.1645790870893613	1.1650565152476304
4	1.1630452737184207	1.1649772230554105
3	1.1514264051846332	1.1644431003648439
2	1.1301832077966552	1.1630929740155687
1	1.0997605062700195	1.1605976258142088
