	macd	trigger
3898		
3897		
3896		
3895		
3894		
3893		
3892		
3891		
3890		
3889		
3888		
3887		
3886		
3885		
3884		
3883		
3882		
3881		
3880		
3879		
3878		
3877		
3876		
3875		
3874		
3873		
3872		
3871		
3870		
3869		
3868		
3867		
3866		
3865		
3864		
3863		
3862		
3861		
3860		
3859		
3858		
3857		
3856		
3855		
3854		
3853		
3852		
3851		
3850		
3849		
3848		
3847		
3846		
3845		
3844		
3843		
3842		
3841		
3840		
3839		
3838		
3837		
3836		
3835		
3834		
3833		
3832		
3831		
3830		
3829		
3828		
3827		
3826		
3825		
3824		
3823		
3822		
3821		
3820		
3819		
3818		
3817		
3816		
3815		
3814		
3813		
3812		
3811		
3810		
3809		
3808		
3807		
3806		
3805		
3804		
3803		
3802		
3801		
3800	-1.4046437582333837	
3799	-1.4432864570189459	
3798	-1.4874315119791248	
3797	-1.5287055245315564	
3796	-1.564516108900694	
3795	-1.5923815850130367	
3794	-1.6235624970164615	
3793	-1.6579028718410314	
3792	-1.687027894212811	
3791	-1.7139138273926697	
3790	-1.7331436098378141	
3789	-1.76992117549295	
3788	-1.8096034949230386	
3787	-1.8464972617735214	
3786	-1.8807173877323926	
3785	-1.9095845422617828	
3784	-1.9333304568190464	
3783	-1.9661925140137235	
3782	-1.9908992566947	
3781	-1.9993609895233888	
3780	-2.0035890054887773	
3779	-2.009429260964655	
3778	-2.0139759691133534	
3777	-2.0258087480767806	
3776	-2.0360621637390253	
3775	-2.0333954723442567	
3774	-2.0355358280438693	
3773	-2.039406969868793	
3772	-2.0391931793846574	
3771	-2.0385286809104564	
3770	-2.040893081674067	
3769	-2.040957238644726	
3768	-2.037090080443811	
3767	-2.0323670260580897	
3766	-2.026249318556964	
3765	-2.020547959549855	
3764	-2.0135006822581794	
3763	-2.0069228215717274	
3762	-1.9996286052718588	
3761	-1.991654489270097	
3760	-1.9842088848583685	
3759	-1.9790359284858674	
3758	-1.9730954933103533	
3757	-1.9634778916139375	
3756	-1.9533042529172988	
3755	-1.9426049724623873	
3754	-1.9314092987090135	
3753	-1.916779215368912	
3752	-1.8988747060260636	-1.944906620196482
3751	-1.8778500405694452	-1.9418654876350037
3750	-1.8538539728439556	-1.937898354842973
3749	-1.8329971753738281	-1.9331974625125081
3748	-1.8133577032980828	-1.9278570237654788
3747	-1.7942927219866238	-1.921936635129969
3746	-1.7763853141127903	-1.9155177118661928
3745	-1.7583928566352345	-1.9086220726732173
3744	-1.7403280258752147	-1.901270594643579
3743	-1.7252110856224405	-1.8936141019542811
3742	-1.697858580080167	-1.8851372836172875
3741	-1.6648590416365803	-1.8756373856921218
3740	-1.6325182800535618	-1.865193282358056
3739	-1.605659624803602	-1.8540856069007432
3738	-1.5834466740979938	-1.842543993811218
3737	-1.555985308564333	-1.830365244647405
3736	-1.52837691108396	-1.8175727499496672
3735	-1.5012487270771349	-1.804214995552544
3734	-1.4715510271035424	-1.790209426926363
3733	-1.4424569990344036	-1.7756107407367734
3732	-1.4139536000421558	-1.7604701880807923
3731	-1.389079552760375	-1.7449632219220217
3730	-1.3701289467940079	-1.729352093399056
3729	-1.3507311996671785	-1.7136215224442108
3728	-1.3296912058450232	-1.6977074618086831
3727	-1.3089309462621763	-1.6816284561295898
3726	-1.2890615137753816	-1.6654273933084496
3725	-1.268824660451095	-1.6490933232386595
3724	-1.2550083499450437	-1.6328948463431059
3723	-1.2411801159838927	-1.6168241428246881
3722	-1.2181091015158998	-1.6004958090755925
3721	-1.198548126141496	-1.5840636287506948
3720	-1.1798819558817186	-1.5675675973250531
3719	-1.1614621830378518	-1.5510194907220107
3718	-1.1445231109179925	-1.5344808004162447
3717	-1.1321003848260336	-1.5181336066564088
3716	-1.1196639003622462	-1.501968092159959
3715	-1.1072204882859893	-1.4859752228568013
3714	-1.0997388724611508	-1.4703474721677134
3713	-1.0932764295278492	-1.4551095502611415
3712	-1.076607728295972	-1.4398320743270785
3711	-1.0626331809320497	-1.424624636501761
3710	-1.0487501127820646	-1.409487260362725
3709	-1.0393206734454843	-1.394595493254461
3708	-1.0329038893343618	-1.3800594166980755
3707	-1.0162704445984012	-1.365453267199818
3706	-0.9973759272242457	-1.3506887350776282
3705	-0.9725831555971496	-1.3355355352111584
3704	-0.9515444455617654	-1.3201597017203182
3703	-0.9341019745594021	-1.3047138811936994
3702	-0.9201032331385388	-1.289338156237519
3701	-0.9094008591493665	-1.2741608200351864
3700	-0.8955845813620336	-1.259048904760439
3699	-0.891344954578912	-1.2443812846281115
3698	-0.8837025805506684	-1.2300035913745138
3697	-0.878466086552919	-1.2159993561899642
3696	-0.8705030232104107	-1.2022443313588376
3695	-0.8643413562887261	-1.188799638148624
3694	-0.8554991735284307	-1.1755456661326207
3693	-0.8441012819919731	-1.1623727498029623
3692	-0.8327878556150612	-1.1492806533578968
3691	-0.8215607876668916	-1.1362692421129321
3690	-0.8091605453964519	-1.1232884197447885
3689	-0.7950150496280806	-1.11026747059805
3688	-0.7811038481332808	-1.09721707279326
3687	-0.7674233734218685	-1.08414733328873
3686	-0.7539701053380163	-1.0710678141559917
3685	-0.7356816759699143	-1.057787236117618
3684	-0.7178461380059016	-1.0443314339923666
3683	-0.6991860044482188	-1.0306746429954754
3682	-0.6778477049116596	-1.0167188282869892
3681	-0.6412896538189283	-1.0018740247666766
3680	-0.6028937510809715	-0.9861031185837906
3679	-0.5716411850372669	-0.9697253683773822
3678	-0.5389769185783528	-0.9527091501740407
3677	-0.5075200886967473	-0.9351275385669849
3676	-0.4804075673328878	-0.917174496825489
3675	-0.4542802032689419	-0.898903577575772
3674	-0.43228503150774955	-0.8804903600922026
3673	-0.4110671115341731	-0.8619710087234839
3672	-0.39696419782870684	-0.8436302126125753
3671	-0.3769330459156919	-0.8252269103172936
3670	-0.3620755257384811	-0.8069673984289781
3669	-0.3477068507397192	-0.7888650608621923
3668	-0.3325376946197114	-0.770881945479295
3667	-0.3178867661561302	-0.7530335851329034
3666	-0.30692673765265965	-0.7354598830510292
3665	-0.2963067232998302	-0.7181631862211513
3664	-0.28601673037090514	-0.7011453653142106
3663	-0.2760470514925384	-0.6844078445815577
3662	-0.26319490475660956	-0.6678259172539001
3661	-0.2539858306480056	-0.6515367039285077
3660	-0.24825999173525481	-0.635665585303392
3659	-0.2426663469474004	-0.6202011015199742
3658	-0.2320854221627915	-0.604930834930789
3657	-0.2269838642029285	-0.5900625695115314
3656	-0.2168774101210591	-0.5753834499036585
3655	-0.2064784209199928	-0.5608744143792834
3654	-0.1990071649559244	-0.5466438015217298
3653	-0.19817842670943797	-0.5329417289351246
3652	-0.19728493789150825	-0.5197446973938825
3651	-0.19633009440931914	-0.507030281108277
3650	-0.19852276825491266	-0.4949030889037479
3649	-0.19410000677165584	-0.4830798578911437
3648	-0.1897780629696939	-0.4715525050159928
3647	-0.18234628941270792	-0.46018709789194423
3646	-0.18350210470177153	-0.4493146593794472
3645	-0.17937438050942056	-0.43870810203979443
3644	-0.17983682913040866	-0.42853724928607123
3643	-0.18211217453895578	-0.4188561100421289
3642	-0.18418973979232867	-0.40963757858231203
3641	-0.18286416181048892	-0.4007297151172258
3640	-0.1808614284695036	-0.392093654537439
3639	-0.18014212222236559	-0.38376907243756514
3638	-0.17936227647147795	-0.3757412996563281
3637	-0.1785250412722359	-0.3679963723971131
3636	-0.17699004304626165	-0.3604957334567668
3635	-0.17800744762147858	-0.3533299725361449
3634	-0.1808174325686558	-0.34655627620640256
3633	-0.18340586786162305	-0.3401504990858872
3632	-0.18642545283388046	-0.33411507576553906
3631	-0.1840581955065197	-0.32822393676950073
3630	-0.185568713943578	-0.32262362685941914
3629	-0.1894917724512446	-0.3173974014393009
3628	-0.19636051796855902	-0.3126461679082265
3627	-0.20281484782503334	-0.30833496936925087
3626	-0.20242288631956207	-0.30417776700718396
3625	-0.19871954101331113	-0.30003852720689733
3624	-0.1976616526519379	-0.2960203686268106
3623	-0.1971945290092929	-0.2921417115529669
3622	-0.1953560059698436	-0.2883432448882855
3621	-0.19479051079301968	-0.284671771778959
3620	-0.1935043101270999	-0.2810940133129534
3619	-0.18572092650949656	-0.27735131535156954
3618	-0.16721960659778645	-0.2730295659053616
3617	-0.15334833971381556	-0.26833319959638746
3616	-0.13809149254258735	-0.26322256086213086
3615	-0.12668738619602848	-0.25786509704818456
3614	-0.10604600269361697	-0.25190804911650305
3613	-0.089520149140764	-0.24553644538495856
3612	-0.06788408804344392	-0.23856605923071955
3611	-0.05301498307956898	-0.23128590676869945
3610	-0.03879540233554479	-0.22373363188552262
3609	-0.025203162200277518	-0.21594452858393448
3608	-0.008983711507635661	-0.20782481779934048
3607	0.008441928432015189	-0.19934015432968918
3606	0.02506967804790783	-0.1905361651944947
3605	0.04222095988342467	-0.18140484383738054
3604	0.06180403218410291	-0.17186363584644634
3603	0.08046321335382345	-0.16196487185329345
3602	0.08981840790283258	-0.15208757271456924
3601	0.10128967974748804	-0.14214787903280243
3600	0.108302317704986	-0.13232313948224633
3599	0.11493933479094665	-0.1226235714233989
3598	0.12380405568901409	-0.11295686990137367
3597	0.13220073459863713	-0.10334010011273091
3596	0.1375560634382662	-0.09389059923573231
3595	0.14842472777986337	-0.08438553190929059
3594	0.15677814690517167	-0.07492573697719446
3593	0.1607830147307343	-0.06568000679410403
3592	0.1839570663999499	-0.05588802844592497
3591	0.21505063328809726	-0.04526059580106364
3590	0.23554461271886495	-0.03424624986543983
3589	0.25174253540306424	-0.023028677487133855
3588	0.27031227302276406	-0.01152281868455233
3587	0.2911364221754589	0.0003484433205310052
3586	0.31734281558913224	0.012781881618304358
3585	0.3447835858364634	0.02580385705777813
3584	0.3727401153259855	0.03941151047891945
3583	0.40311968265409703	0.05367690270290026
3582	0.4247728960815671	0.06823196755644767
3581	0.4659707912994797	0.08383191715786883
3580	0.5283974633567325	0.10126838236751806
3579	0.5877054659794432	0.12034699796674596
3578	0.6342761639961694	0.14050377442935366
3577	0.6816389482880147	0.16172748448992053
3576	0.7232457544080049	0.18375052339909412
3575	0.7496048265003665	0.2059435164977359
3574	0.7808617391752009	0.2284918947904939
3573	0.8167775317732264	0.25156444209867557
3572	0.8441427614745045	0.2748052486510459
3571	0.8892919694823824	0.29890519917373204
3570	0.9384119687390218	0.3239863278363954
3569	0.9750696753329677	0.3495213868682015
3568	1.0127956330880785	0.37553446986029265
3567	1.0333450768224814	0.4013331827516107
3566	1.0628080538069717	0.4272755171400774
3565	1.0819355222182416	0.45295049660604103
3564	1.1093679888627186	0.4786943224634558
3563	1.1349734091359558	0.5044326432508052
3562	1.1497305627145096	0.5297402257433002
3561	1.163866591043302	0.554609608560042
3560	1.175454132918965	0.5789580350433421
3559	1.193695872174633	0.6030669065835935
3558	1.209186320833215	0.6268377214407377
3557	1.220094052512426	0.6501040166591288
3556	1.2266220268041401	0.672713818188682
3555	1.2257181589371449	0.694401416865529
3554	1.2372107245469586	0.7156891446296981
3553	1.2286950385947506	0.7358080109853401
3552	1.2192783787591353	0.7547685279979858
3551	1.2096564047234004	0.7726080770965785
3550	1.1868479406823553	0.788853485302173
3549	1.182655896352351	0.8042973634824775
3548	1.1585443692743063	0.8181899615719024
3547	1.1427271642224426	0.8309174024186375
3546	1.1205371790693661	0.8422754623274566
3545	1.1052745490173734	0.852589519843266
3544	1.0966317769368175	0.8621601323771726
3543	1.0813123908341247	0.8707546215369907
3542	1.059628377009421	0.8781616697673763
3541	1.041631264945579	0.8845724369524594
3540	1.0141614143748114	0.889654506024614
