	macd	trigger
4746		
4745		
4744		
4743		
4742		
4741		
4740		
4739		
4738		
4737		
4736		
4735		
4734		
4733		
4732		
4731		
4730		
4729		
4728		
4727		
4726		
4725		
4724		
4723		
4722		
4721		
4720		
4719		
4718		
4717		
4716		
4715		
4714		
4713		
4712		
4711		
4710		
4709		
4708		
4707		
4706		
4705		
4704		
4703		
4702		
4701		
4700		
4699		
4698		
4697		
4696		
4695		
4694		
4693		
4692		
4691		
4690		
4689		
4688		
4687		
4686		
4685		
4684		
4683		
4682		
4681		
4680		
4679		
4678		
4677		
4676		
4675		
4674		
4673		
4672		
4671		
4670		
4669		
4668		
4667		
4666		
4665		
4664		
4663		
4662		
4661		
4660		
4659		
4658		
4657		
4656		
4655		
4654		
4653		
4652		
4651		
4650		
4649		
4648	-0.8496977049608567	
4647	-0.8596856388946925	
4646	-0.8698332134619271	
4645	-0.8817548321259849	
4644	-0.8907574306036743	
4643	-0.8996912403764661	
4642	-0.9054492169054029	
4641	-0.9103067733512944	
4640	-0.914907505137446	
4639	-0.9203074841091308	
4638	-0.92388018285531	
4637	-0.9262602890258584	
4636	-0.9280557417669613	
4635	-0.9292934824018779	
4634	-0.9299993830365381	
4633	-0.9293613521913997	
4632	-0.929957658075498	
4631	-0.9311737068250103	
4630	-0.9318589452718875	
4629	-0.9320380122113576	
4628	-0.9317345902201026	
4627	-0.9309714445886748	
4626	-0.9297704604038124	
4625	-0.9281526778853717	
4624	-0.9264229701293658	
4623	-0.9231618345999486	
4622	-0.9190112652449258	
4621	-0.9145861807353093	
4620	-0.9104754007279112	
4619	-0.9060924099038203	
4618	-0.9014519229934166	
4617	-0.8965680853661837	
4616	-0.8908760939768463	
4615	-0.8835457057631722	
4614	-0.8768594476538567	
4613	-0.8707340393060967	
4612	-0.9081462591276441	
4611	-0.9025189861322076	
4610	-0.8966923674163283	
4609	-0.8930210747924683	
4608	-0.8867184181368089	
4607	-0.880255017266979	
4606	-0.8736413724976977	
4605	-0.866887573264929	
4604	-0.8605938018515484	
4603	-0.8547429194619305	
4602	-0.8516876726068894	
4601	-0.8495261908097387	
4600	-0.8470320746940327	-0.8913112245802214
4599	-0.8448167378289551	-0.8892026187077638
4598	-0.8422734542475432	-0.8870872792811586
4597	-0.8403135201185794	-0.884991226531065
4596	-0.8430954057353794	-0.8831242162317908
4595	-0.8453214558195725	-0.8814485661504842
4594	-0.8440198013740297	-0.8797979293353803
4593	-0.842348401176686	-0.8781544055672917
4592	-0.8427282577156134	-0.8766069084777547
4591	-0.8444669342036129	-0.875209202216773
4590	-0.8462989634357037	-0.8739572996401302
4589	-0.8458071825990281	-0.8727432748864038
