	macd	trigger
1145		
1144		
1143		
1142		
1141		
1140		
1139		
1138		
1137		
1136		
1135		
1134		
1133		
1132		
1131		
1130		
1129		
1128		
1127		
1126		
1125		
1124		
1123		
1122		
1121		
1120		
1119		
1118		
1117		
1116		
1115		
1114		
1113		
1112		
1111		
1110		
1109		
1108		
1107		
1106		
1105		
1104		
1103		
1102		
1101		
1100		
1099		
1098		
1097		
1096		
1095		
1094		
1093		
1092		
1091		
1090		
1089		
1088		
1087		
1086		
1085		
1084		
1083		
1082		
1081		
1080		
1079		
1078		
1077		
1076		
1075		
1074		
1073		
1072		
1071		
1070		
1069		
1068		
1067		
1066		
1065		
1064		
1063		
1062		
1061		
1060		
1059		
1058		
1057		
1056		
1055		
1054		
1053		
1052		
1051		
1050		
1049		
1048		
1047	-0.17915116945460596	
1046	-0.21251919248977913	
1045	-0.24148460037971375	
1044	-0.258123420412943	
1043	-0.279261707472358	
1042	-0.2992511838098224	
1041	-0.29904774252276667	
1040	-0.2987009330056125	
1039	-0.3119259105754679	
1038	-0.32436624337113784	
1037	-0.32227480264838704	
1036	-0.32702424163658605	
1035	-0.33830723982097766	
1034	-0.34888723194440274	
1033	-0.35879258593425334	
1032	-0.3680505778929728	
1031	-0.3766874384540273	
1030	-0.38472839680957804	
1029	-0.3921977225481541	
1028	-0.3991187654311332	
1027	-0.4041029993698828	
1026	-0.4100636005805711	
1025	-0.40703519353568396	
1024	-0.4011002643084396	
1023	-0.39666043378667837	
1022	-0.4022084513255493	
1021	-0.39586182181086116	
1020	-0.3867441705993713	
1019	-0.3778522795186561	
1018	-0.39074564054378413	
1017	-0.4028444085436007	
1016	-0.4141795891342497	
1015	-0.4247810767840292	
1014	-0.4274342105581397	
1013	-0.42974797454401426	
1012	-0.4171970196120611	
1011	-0.4050123207914069	
1010	-0.3961011780875623	
1009	-0.38301384412844897	
1008	-0.3542277911997971	
1007	-0.3295181702888712	
1006	-0.3234054171492602	
1005	-0.3218235996120029	
1004	-0.32457256765384557	
1003	-0.32112569215816933	
1002	-0.31175961028264254	
1001	-0.3071069368526125	
1000	-0.2802652301562887	
999	-0.28718723591929063	-0.3544185228930689
998	-0.2784738554831634	-0.3509743000857701
997	-0.2554189736099204	-0.3466671288023812
996	-0.23328911190688473	-0.34158636753006305
995	-0.22699207905108665	-0.33647968355144814
994	-0.2059075173057181	-0.3306919247052629
993	-0.1931723609346534	-0.3246272080064204
992	-0.1734204984698735	-0.31799129473230187
991	-0.15448280830385386	-0.3108488611851375
