	macd	trigger
564		
563		
562		
561		
560		
559		
558		
557		
556		
555		
554		
553		
552		
551		
550		
549		
548		
547		
546		
545		
544		
543		
542		
541		
540		
539		
538		
537		
536		
535		
534		
533		
532		
531		
530		
529		
528		
527		
526		
525		
524		
523		
522		
521		
520		
519		
518		
517		
516		
515		
514		
513		
512		
511		
510		
509		
508		
507		
506		
505		
504		
503		
502		
501		
500		
499		
498		
497		
496		
495		
494		
493		
492		
491		
490		
489		
488		
487		
486		
485		
484		
483		
482		
481		
480		
479		
478		
477		
476		
475		
474		
473		
472		
471		
470		
469		
468		
467		
466	-0.1066657331294305	
465	-0.11461500731288687	
464	-0.11861861377821192	
463	-0.12155871648751315	
462	-0.1278225050252484	
461	-0.13317881254410402	
460	-0.13957609815645355	
459	-0.14559859208744008	
458	-0.15126147887737496	
457	-0.15685421329109772	
456	-0.16237838784284797	
455	-0.1686643412869504	
454	-0.1731835104531747	
453	-0.17851245187302922	
452	-0.18489174230306737	
451	-0.19366744647317624	
450	-0.20081488088963972	
449	-0.2075256508773009	
448	-0.21269342141710723	
447	-0.2180748396992538	
446	-0.2225299483472174	
445	-0.22213918430054136	
444	-0.2239211452847112	
443	-0.22437023828448766	
442	-0.22468443077901412	
441	-0.22486986347897187	
440	-0.22664739065700523	
439	-0.22765459597224158	
438	-0.2284995255565363	
437	-0.23033947836069046	
436	-0.23255358426923323	
435	-0.23829980559669117	
434	-0.24337050175170027	
433	-0.247793909517398	
432	-0.2527583393189641	
431	-0.2562024570785937	
430	-0.2584839125284031	
429	-0.25848629676653445	
428	-0.2586496657949997	
427	-0.2589670307957963	
426	-0.2573783294449896	
425	-0.2563195504998639	
424	-0.2563564210255258	
423	-0.25508230654689434	
422	-0.25196561991167954	
421	-0.2491595738082566	
420	-0.24842873067530036	
419	-0.24879162726694126	
418	-0.24930855627076554	-0.23048396029420828
417	-0.2499726338304935	-0.23136780554848246
416	-0.24928754288889543	-0.23217554051130532
415	-0.24880545439132185	-0.23292076983103713
414	-0.24732258589206246	-0.2335625603104578
413	-0.24817538978441078	-0.2342102904928345
412	-0.24946224348283152	-0.2348829131470387
411	-0.24906333700021932	-0.23550524044434165
410	-0.24915680905026072	-0.23610157292660092
409	-0.2512249497878951	-0.2367592597793008
408	-0.255480446163622	-0.23756994493654987
407	-0.26001483647124957	-0.23853792151291886
406	-0.26270011383692093	-0.23957590013145086
405	-0.2636174431614098	-0.24060484435389248
404	-0.26223976141634253	-0.2415274826431173
403	-0.2620036557953771	-0.24239772036228233
402	-0.2643757221151901	-0.243328728085572
401	-0.26498605312030854	-0.24424327522013867
400	-0.2660418062436367	-0.24516102060634012
399	-0.26630491726477246	-0.2460486437755376
398	-0.2658106786737502	-0.2468759691516965
397	-0.26611888348971924	-0.24767943373334486
396	-0.2665828265479	-0.24846672378212
395	-0.2681128720246271	-0.24928296275369938
394	-0.2706609385218215	-0.2501690881465891
393	-0.27264844174479563	-0.2510987884749637
392	-0.2740995678512199	-0.2520480203929016
391	-0.2780467642315525	-0.2531187777740409
390	-0.2813035010086544	-0.25427728322099513
389	-0.2840837667949323	-0.2555001403752412
388	-0.2865924028976874	-0.25677344282657216
387	-0.2888404719666191	-0.25808438757805463
386	-0.29108547550825037	-0.2594312744364139
385	-0.2928325346270171	-0.2607923191180767
384	-0.29435042665677	-0.26215766251448686
383	-0.29472074317100017	-0.2634805772694915
382	-0.2958523465435139	-0.2647938673319702
381	-0.29733893806365685	-0.2661124036766267
380	-0.29835769398868806	-0.2674171005477988
379	-0.29917745460276457	-0.26870057697554683
378	-0.3007387607853964	-0.26999373477221156
377	-0.30108025684753414	-0.271247042668772
376	-0.3031189169584856	-0.2725306001299296
375	-0.30696476481433344	-0.2739158833488129
374	-0.31004224104428957	-0.27536777080064556
373	-0.3127585789511862	-0.276869014036677
372	-0.31718848659306786	-0.27848633214636587
371	-0.3180688475531799	-0.28007266622797666
370	-0.32249655219839113	-0.28177141035068815
369	-0.32649505349643704	-0.2835607628664528
368	-0.3315840052042951	-0.2854806061402271
