	macd	trigger
710		
709		
708		
707		
706		
705		
704		
703		
702		
701		
700		
699		
698		
697		
696		
695		
694		
693		
692		
691		
690		
689		
688		
687		
686		
685		
684		
683		
682		
681		
680		
679		
678		
677		
676		
675		
674		
673		
672		
671		
670		
669		
668		
667		
666		
665		
664		
663		
662		
661		
660		
659		
658		
657		
656		
655		
654		
653		
652		
651		
650		
649		
648		
647		
646		
645		
644		
643		
642		
641		
640		
639		
638		
637		
636		
635		
634		
633		
632		
631		
630		
629		
628		
627		
626		
625		
624		
623		
622		
621		
620		
619		
618		
617		
616		
615		
614		
613		
612	-0.2809463101216849	
611	-0.2724187030977774	
610	-0.258764379669465	
609	-0.24562919491623347	
608	-0.232994085377058	
607	-0.22084074807043663	
606	-0.21733312674441407	
605	-0.2084117682940132	
604	-0.20528949258429918	
603	-0.19946118587151318	
602	-0.19105038255481332	
601	-0.18293854899422257	
600	-0.17511525790214932	
599	-0.16757047391915592	
598	-0.16029453657716886	
597	-0.15048834442177395	
596	-0.13267568811755837	
595	-0.12123468169941276	
594	-0.11026667191773498	
593	-0.09693890684525996	
592	-0.07853942411034609	
591	-0.05530082542320258	
590	-0.035950117305873164	
589	-0.008959678925720027	
588	0.013934897332084972	
587	0.03290726150268597	
586	0.05098296096388566	
585	0.07105912584667351	
584	0.08443000513359777	
583	0.0971393166469241	
582	0.10921165144802103	
581	0.12355727483923573	
580	0.14006977786152675	
579	0.15285182998887592	
578	0.1649668457510458	
577	0.17934775508278022	
576	0.1900620710219556	
575	0.20310498634500362	
574	0.20082787199811492	
573	0.1985534956160464	
572	0.19921613817757589	
571	0.19680899528121643	
570	0.19735543276003398	
569	0.19482881141870934	
568	0.18936670025931335	
567	0.17814471616334515	
566	0.16734661172210963	
565	0.15399208278095955	
564	0.13820035423174204	0.07603411173552486
563	0.12306141901142098	0.07816688194585782
562	0.129408234509242	0.08047659392553266
561	0.12644801996062682	0.08253669205943841
560	0.12355892412194436	0.08436477248143129
559	0.12073911340705479	0.08597710625454368
558	0.11199456348773396	0.08712449578238386
557	0.11259319918499955	0.08824222466823833
556	0.12211974936396786	0.0897220742721765
555	0.13114906186729058	0.09152365505259064
554	0.13668733032122304	0.09347938159873308
553	0.1388873559166015	0.09543768268707242
552	0.1409162820072467	0.09739138842130882
551	0.14278089317900822	0.09933399537551817
550	0.14448774331408032	0.10125961296073328
549	0.14604316325892341	0.10316291463618858
548	0.15048754511125395	0.10516762812058378
547	0.16072824465392443	0.1075138459736116
546	0.17650279754464293	0.110418367013811
545	0.19755787013695425	0.11407649319433265
544	0.22364896010473956	0.11866367679512216
543	0.2514886577968838	0.1242096230025613
542	0.27793180840086507	0.1306118571426076
541	0.2999707093464892	0.13764821325905294
540	0.32391400912702295	0.14536900279196785
539	0.346601682511519	0.15369157699756647
538	0.3650119847722735	0.1624126760825166
537	0.38239778494402543	0.1714727553123454
536	0.4080174569688566	0.18119569362314933
535	0.4230331296252672	0.1911174490038581
534	0.4371493200424652	0.20119304206411978
533	0.456564394948046	0.21163297815174686
532	0.4656072202632089	0.22199853245666062
531	0.4801765557473061	0.2325188488613933
530	0.48765611916411444	0.2428993504073841
529	0.49763953098911173	0.2532484800594247
528	0.5069143073580022	0.26353944708571586
527	0.5155079176588586	0.2737477391154742
526	0.5265482946525708	0.283976460601553
525	0.5306092252872716	0.29394320528067763
524	0.5404268341185698	0.3038920284809473
523	0.5526302669533365	0.3139203487188502
522	0.5671071907992982	0.3241167951927925
521	0.5837491854560994	0.3345617819263671
520	0.5993354291362678	0.3452028086028027
519	0.6014317872137056	0.3554904177784633
518	0.6000038206475722	0.3652984814620536
517	0.5952101781082035	0.374512568955037
516	0.577828018022366	0.38265375914210364
515	0.5609399064558502	0.38978682666037834
514	0.5414022527527891	0.3958480137400888
513	0.5287388683917271	0.4011565980636629
512	0.5069781165831344	0.40538075599738893
511	0.4859465323846237	0.40859450500152833
510	0.46875974953164246	0.41099286515033256
509	0.44897362752667647	0.412505908627946
508	0.4361405654672481	0.41344686012487264
507	0.4268109229634476	0.4139785977482818
506	0.4082485312799804	0.41375073685793695
505	0.38402472600317594	0.41256930711424245
504	0.3607048248359277	0.4105090949624258
503	0.3288053264153348	0.407265222850529
502	0.29818697328290256	0.4029366146659149
501	0.26249720588482717	0.3973660915397581
500	0.23145168122967164	0.3907880588887608
499	0.20801539805497526	0.3835447699168957
498	0.18869769705666783	0.37582616971769056
497	0.17332292884027822	0.3678074719025651
496	0.1553944948070054	0.3593995829932514
495	0.13503609968527996	0.3505219188650654
494	0.10920048148236106	0.34097662370254445
493	0.08448319692980277	0.3308346454450263
492	0.06718555276520277	0.3204131149080755
491	0.044297294380051255	0.30950220712470033
490	0.019254121062544982	0.2980362929285141
489	0.008036215762395216	0.2865834762177177
488	-0.002675802441146402	0.2751630763400001
487	-0.01607640062361071	0.26366755124927665
486	-0.028859428938616816	0.25212415471821326
485	-0.037866621395778566	0.2406836453419961
484	-0.04008257518484015	0.22960966559618473
483	-0.026265071262706385	0.21951973904816632
482	-0.013062309218305757	0.21035030802251484
481	-0.0036381379360008737	0.20191568174420033
480	0.011731849275491868	0.19442084786779185
479	0.0263968631669087	0.1878005729450901
478	0.04038137910208661	0.1819932175808312
477	0.05051922559798783	0.1768149199189644
476	0.056978909151119694	0.17209580735459779
475	0.059923197364710745	0.16767920224397595
474	0.0627026479241124	0.16354658087777743
473	0.06851778466110403	0.15980614010432773
472	0.07083749526145766	0.15630474299032746
471	0.06981846597901153	0.15290151596646703
470	0.0752051443794528	0.14984458121672659
469	0.07391045012736441	0.14685736633511748
468	0.07263645527464746	0.14393791039361803
467	0.06818207744320404	0.1409584333328571
466	0.06389507610169431	0.13792787777966026
465	0.05656728821841739	0.13472868272489288
464	0.04954359041907708	0.13137945702769138
463	0.036404445090887805	0.12764569909792803
462	0.020638591506660475	0.12343933229341254
461	0.011992310326455424	0.11905884564067448
460	0.006940582862092981	0.11465237148614796
459	-0.001093198759797076	0.11010372952177594
458	-0.01838838288112754	0.10505458473320689
457	-0.02846716177419495	0.09980821666116668
456	-0.04770518686591174	0.09401252875183408
455	-0.06283154496900067	0.08785069916189973
454	-0.08044961290757868	0.08123926302020656
453	-0.10043767069349485	0.07410282990862394
452	-0.12589234518325298	0.06624735209464601
451	-0.15012356818986916	0.05774919466091646
450	-0.17960559101659612	0.04842743860602277
449	-0.20765301163766026	0.03837084146796278
448	-0.2310994956875021	0.027788994724947898
447	-0.25014152018183466	0.01687550724682609
446	-0.27140586902935837	0.005556153298509882
445	-0.2915618822184385	-0.006109596933538785
444	-0.30420983026272097	-0.017813357276448196
443	-0.3193450405230678	-0.02965130202545935
442	-0.33040475172073513	-0.041458178012572566
441	-0.33434623157395293	-0.05295579439879387
440	-0.33149013066289257	-0.06388950022519531
439	-0.33181529273256416	-0.07440636630981246
438	-0.3319536580735587	-0.08451546981183564
437	-0.3351379332288289	-0.09435241202895363
436	-0.3380035134018584	-0.10391539944955071
435	-0.33733793899116904	-0.11307662679344835
434	-0.33652774515225303	-0.12184622369991244
433	-0.342033112810725	-0.1304874488892627
432	-0.34388332877157524	-0.13886191607334594
431	-0.3486986483928902	-0.1470964771701704
430	-0.34988566168298973	-0.1550542584103088
429	-0.357294625151809	-0.16299029712668392
428	-0.35772241110289116	-0.17063151672525212
427	-0.3805534596635951	-0.17886858249087487
426	-0.41183834444498046	-0.1880098044464732
425	-0.4382543763804492	-0.1978286348431437
424	-0.4697026760101579	-0.20849591266937892
423	-0.49624361701458497	-0.2197857806759806
422	-0.5180863657731294	-0.2314894645698969
421	-0.538665625114497	-0.24354115038951163
420	-0.5547951569437473	-0.25575260446796555
419	-0.569902226125329	-0.2680774480480765
418	-0.5840255170696196	-0.2804726418659256
417	-0.5972024645366716	-0.2928983057128225
416	-0.6094692910951736	-0.30531754659267096
415	-0.6273313686232456	-0.3179501254756414
414	-0.6375831335462081	-0.3304891266292572
413	-0.6551268225636449	-0.343224284279708
412	-0.6844766848983141	-0.356611041410468
411	-0.7169894746138183	-0.37074790204842556
410	-0.7427934928847932	-0.38534226275928896
409	-0.7654177456709803	-0.4002514409955643
408	-0.788232899038043	-0.41547057555540323
407	-0.8112185436053281	-0.4309941956538337
406	-0.83435510682218	-0.4468162776606835
405	-0.8657209622654491	-0.4632479105899837
404	-0.9000671635599105	-0.4803820830605299
403	-0.9307615264344378	-0.49804799005384437
402	-0.9676737476869164	-0.5164686617433547
401	-1.000781701742845	-0.5354652688125829
400	-1.0205198713207508	-0.5544908080640928
399	-1.0436897502709144	-0.5736787528928875
398	-1.0652617808758578	-0.5929600644282225
397	-1.083676815976517	-0.6122072592625035
396	-1.1023105651259897	-0.631430259937141
395	-1.121143483679134	-0.6506378327892156
394	-1.1433990241129308	-0.6699648296444726
393	-1.1656675828668455	-0.6894070804531358
392	-1.1814515752750552	-0.7087057345861847
