	macd	trigger
918		
917		
916		
915		
914		
913		
912		
911		
910		
909		
908		
907		
906		
905		
904		
903		
902		
901		
900		
899		
898		
897		
896		
895		
894		
893		
892		
891		
890		
889		
888		
887		
886		
885		
884		
883		
882		
881		
880		
879		
878		
877		
876		
875		
874		
873		
872		
871		
870		
869		
868		
867		
866		
865		
864		
863		
862		
861		
860		
859		
858		
857		
856		
855		
854		
853		
852		
851		
850		
849		
848		
847		
846		
845		
844		
843		
842		
841		
840		
839		
838		
837		
836		
835		
834		
833		
832		
831		
830		
829		
828		
827		
826		
825		
824		
823		
822		
821		
820	-0.03381566568291561	
819	-0.022828214708074057	
818	-0.012894078187031255	
817	-0.003427634047923789	
816	0.005589394008371329	
815	0.014718511498536202	
814	0.022861035474740277	
813	0.03005883782185137	
812	0.03744878987655298	
811	0.0433707372743406	
810	0.05064442744119191	
809	0.055891739231451965	
808	0.06418702768732132	
807	0.06872788478804637	
806	0.07357711749155627	
805	0.07760348129131245	
804	0.08028316136877933	
803	0.08447832266546129	
802	0.08731068625674254	
801	0.08996639031598264	
800	0.09358126759803298	
799	0.09358628273917091	
798	0.09354347978661792	
797	0.09345511466323231	
796	0.09104620420835019	
795	0.09383712689940538	
794	0.09130609033296366	
793	0.09514685497539332	
792	0.09359585372760648	
791	0.09264416864539271	
790	0.09111323384164294	
789	0.0924933136030468	
788	0.08797869762991795	
787	0.08246877013670328	
786	0.07717105347263953	
785	0.07207830313493702	
784	0.07009669373698912	
783	0.06583607026830407	
782	0.05764532274043077	
781	0.05448733110733883	
780	0.05203347364016153	
779	0.048490642261242556	
778	0.04508585595651127	
777	0.04181443280607411	
776	0.04044331291178338	
775	0.041480183449422725	
774	0.04659476222780157	
773	0.050858095807267745	
772	0.0531179562477071	0.06275825445167303
771	0.057032361927443986	0.062498575262907245
770	0.061930363106700526	0.062472963011111896
769	0.06478261292179255	0.06257646437883838
768	0.06687390386379377	0.06276797187592376
767	0.07063077858569855	0.06311649967016056
766	0.0735807834531208	0.0635779824938394
765	0.07515848783231505	0.0640862088108602
764	0.06941586003328126	0.06431902045579194
763	0.07111970447083138	0.06461476924966778
762	0.0733119654597516	0.0649913846912566
761	0.0729541549616215	0.06533479357308633
760	0.06955590095074626	0.0655161272511643
759	0.07111471005853431	0.06575573871979283
758	0.07256619723908742	0.06604617615382323
757	0.07512680432741803	0.06643210301093727
756	0.07267753311662162	0.06669666499109493
755	0.07516340696051671	0.06705419920156787
754	0.07567288663967986	0.06741705670893446
753	0.07368480053789739	0.06768017730260058
752	0.07235937919965352	0.06787606919781998
751	0.07349862047377087	0.06811083201645407
750	0.07515943143291182	0.06840439266098063
749	0.07548306526474491	0.06869849043398543
748	0.07697792749006283	0.06904167631340637
747	0.07652684022614409	0.06935124746353788
746	0.07851119218368652	0.06972927430135399
745	0.0772946250801354	0.0700408530159858
744	0.07855279578818752	0.07039072808779945
743	0.07725239139459106	0.070672238452614
742	0.07289229660742436	0.07076315513931625
741	0.07362509357467317	0.07088015516306374
740	0.07490395790447835	0.07104438026511205
739	0.07608635235166261	0.0712498320730478
738	0.07841234799149888	0.07154124581858348
737	0.08121112266576347	0.07193409632603857
736	0.08012569459075891	0.07226642121399297
735	0.0796684153005458	0.07256630681899029
734	0.07919118109366252	0.07283436000301886
733	0.079936708658785	0.07312137497349266
732	0.08060741961213225	0.07342353432959389
731	0.08120636660128255	0.07373731292213243
730	0.0811142196825223	0.07403439879874239
729	0.0772481504549809	0.0741636877267547
728	0.0753880327495473	0.07421289310722208
727	0.0735738772024952	0.0741872365795315
726	0.07055617818131665	0.07404158545533693
725	0.06951339422555947	0.07386011078143052
724	0.06785732214445162	0.07361974614524282
723	0.06874379030893607	0.0734246635618759
722	0.06705093418711883	0.07316985857842849
721	0.06665339042364948	0.072909545551003
720	0.06561293771174803	0.07261828131358984
719	0.06709493429816149	0.07239795635966609
718	0.06847512390172739	0.07224158094540434
717	0.06975742056507173	0.0721426191967284
716	0.06654676289755912	0.07191983494404852
715	0.06659186915621973	0.07170784253576325
714	0.066600724259267	0.07150475370180007
713	0.06468630103999473	0.07123376130998575
712	0.06345559809146195	0.07092478943409534
711	0.0616179440602167	0.07055528118869954
710	0.058570860565197336	0.07007969727160902
709	0.05815619986274001	0.06960675225825946
