	macd	trigger
1684		
1683		
1682		
1681		
1680		
1679		
1678		
1677		
1676		
1675		
1674		
1673		
1672		
1671		
1670		
1669		
1668		
1667		
1666		
1665		
1664		
1663		
1662		
1661		
1660		
1659		
1658		
1657		
1656		
1655		
1654		
1653		
1652		
1651		
1650		
1649		
1648		
1647		
1646		
1645		
1644		
1643		
1642		
1641		
1640		
1639		
1638		
1637		
1636		
1635		
1634		
1633		
1632		
1631		
1630		
1629		
1628		
1627		
1626		
1625		
1624		
1623		
1622		
1621		
1620		
1619		
1618		
1617		
1616		
1615		
1614		
1613		
1612		
1611		
1610		
1609		
1608		
1607		
1606		
1605		
1604		
1603		
1602		
1601		
1600		
1599		
1598		
1597		
1596		
1595		
1594		
1593		
1592		
1591		
1590		
1589		
1588		
1587		
1586	0.16609942417139578	
1585	0.16968557177947297	
1584	0.1717182999378979	
1583	0.17340355693772125	
1582	0.17410585203993545	
1581	0.1719656889314587	
1580	0.17060273961889205	
1579	0.1693811971038368	
1578	0.1695016899796764	
1577	0.17007960947238931	
1576	0.16999222465840358	
1575	0.17004319866157136	
1574	0.1712790293138946	
1573	0.1719807092630603	
1572	0.17144851505477288	
1571	0.1715234688290641	
1570	0.1719549657370738	
1569	0.17244689159436088	
1568	0.17209762344406343	
1567	0.16998767110102353	
1566	0.1673252492489139	
1565	0.16470177321897683	
1564	0.16069948615193574	
1563	0.1558926833692693	
1562	0.15214083344238905	
1561	0.15019725703971787	
1560	0.1492393154485514	
1559	0.14756258304192116	
1558	0.14588854034349374	
1557	0.14329772481176306	
1556	0.1409267900902682	
1555	0.1393443422008529	
1554	0.13782204546044952	
1553	0.13641590822620842	
1552	0.13570200251952613	
1551	0.13524289588312133	
1550	0.1347362690000775	
1549	0.13593553573766748	
1548	0.13671827185796648	
1547	0.13739559718251115	
1546	0.13797202807042375	
1545	0.1366890072243807	
1544	0.13568978291205447	
1543	0.13337049544878798	
1542	0.13150320769659007	
1541	0.12876762634088568	
1540	0.1262104880838102	
1539	0.12358774842159459	
1538	0.12191352363484231	0.1442174054228147
1537	0.1201945029175926	0.14312792499544752
1536	0.11867183681954963	0.14202556299659155
1535	0.11638277904487904	0.14087644373005534
1534	0.1139599878852966	0.13967696131563517
1533	0.11212860232126864	0.13845584916706694
1532	0.10972469238016025	0.13718878343790808
1531	0.10623476887070549	0.13583032416858504
1530	0.10309058515964953	0.13440017570760496
1529	0.10094000222257904	0.13294505649765653
1528	0.09823385918129635	0.13144195451057927
1527	0.09560126642911992	0.12989625995954238
1526	0.0924966342311393	0.1282896171795071
1525	0.08954705098304316	0.12663148984546957
1524	0.0859599442220702	0.12489701935197126
1523	0.0830988177095664	0.12312059504690176
1522	0.08087201301956881	0.12133090749442535
1521	0.07755117358162167	0.11948217363011715
1520	0.074889639006126	0.11760477221870638
1519	0.07145872636226525	0.11566755600304304
1518	0.06723330894555879	0.11363988618704497
1517	0.063471289333628	0.11154515718837822
1516	0.05966501008877412	0.10938444858219304
1515	0.05551240510146194	0.10714622555624387
1514	0.05096960169506026	0.10481768269371337
1513	0.046607669973567134	0.10241023500158195
1512	0.04456777749691465	0.10002310254936264
1511	0.043212111042644885	0.09768334379550977
1510	0.04177315844165097	0.09538521037998916
1509	0.04037837542414735	0.09312846977886031
1508	0.04185952261930126	0.09102888387550914
1507	0.044854681388214246	0.08914121825671274
1506	0.04738210850655644	0.08743688668260717
1505	0.04859689253635047	0.08585422282001887
1504	0.0488043484590035	0.08434681358252502
1503	0.04786377477057613	0.08286464575998885
1502	0.045641141425685205	0.0813545256945989
