	macd	trigger
1709		
1708		
1707		
1706		
1705		
1704		
1703		
1702		
1701		
1700		
1699		
1698		
1697		
1696		
1695		
1694		
1693		
1692		
1691		
1690		
1689		
1688		
1687		
1686		
1685		
1684		
1683		
1682		
1681		
1680		
1679		
1678		
1677		
1676		
1675		
1674		
1673		
1672		
1671		
1670		
1669		
1668		
1667		
1666		
1665		
1664		
1663		
1662		
1661		
1660		
1659		
1658		
1657		
1656		
1655		
1654		
1653		
1652		
1651		
1650		
1649		
1648		
1647		
1646		
1645		
1644		
1643		
1642		
1641		
1640		
1639		
1638		
1637		
1636		
1635		
1634		
1633		
1632		
1631		
1630		
1629		
1628		
1627		
1626		
1625		
1624		
1623		
1622		
1621		
1620		
1619		
1618		
1617		
1616		
1615		
1614		
1613		
1612		
1611	0.39605821839713684	
1610	0.425338355109794	
1609	0.46001257862180367	
1608	0.4906312588686461	
1607	0.5276763165516378	
1606	0.5583367286484169	
1605	0.5888912303956744	
1604	0.6182423334461511	
1603	0.6497258414862337	
1602	0.671142674468463	
1601	0.6917568234813132	
1600	0.7077307947199181	
1599	0.7259151738497458	
1598	0.7417638370150001	
1597	0.7542636813080605	
1596	0.7713725731100389	
1595	0.7872871469705345	
1594	0.8020562407068716	
1593	0.821345494258523	
1592	0.8421319643226752	
1591	0.8609562094286218	
1590	0.8818594069438142	
1589	0.9013412663893767	
1588	0.9149142921392759	
1587	0.9308074409185032	
1586	0.9466307920144637	
1585	0.9652408296380557	
1584	0.9813524637388049	
1583	1.0076986337735612	
1582	1.0294385052186605	
1581	1.055412430693675	
1580	1.0796502924575506	
1579	1.1161024089578149	
1578	1.1474084186341358	
1577	1.183074193370178	
1576	1.2164956133276696	
1575	1.2506732264923706	
1574	1.2733040009126881	
1573	1.2843076492800307	
1572	1.2970815851293835	
1571	1.3221030452065499	
1570	1.347066656962248	
1569	1.366668392338653	
1568	1.383497350063294	
1567	1.3958991798584535	
1566	1.4028833926849202	
1565	1.4106118237565823	
1564	1.4107439645939408	
1563	1.4166886191053436	1.1162732858832136
1562	1.418071210228014	1.1299603468668822
1561	1.414498771046972	1.1427859608315725
1560	1.4103708378045	1.1547771291127675
1559	1.409300183099738	1.166119481504282
1558	1.4039715743519707	1.176662544348718
1557	1.4077602426360016	1.1868541275056046
1556	1.4172602431682506	1.196965815049432
1555	1.418996176370122	1.2066646211225949
1554	1.41872771495634	1.2158868411357897
1553	1.4195568839894364	1.2247063826610005
1552	1.4220385061713756	1.2332166876908952
1551	1.4200595288542814	1.2412432306284213
1550	1.4168432967961806	1.2487586664437735
1549	1.4130524221860838	1.2557651046607936
1548	1.41053330428187	1.2623427558671987
1547	1.4074106492695933	1.268487960999013
1546	1.4012831650550979	1.2740956467662488
1545	1.3941127833169062	1.2791485181370645
1544	1.390821384913032	1.283836557693932
1543	1.3887999387594192	1.288230784764686
1542	1.3879934536343441	1.2923962541732934
1541	1.3816283847632747	1.2961126012403872
1540	1.3748486191627691	1.2993838483826727
1539	1.3609417257386127	1.3019354462911534
1538	1.3377807860157347	1.3034179366113066
1537	1.315605263457094	1.3039209021607394
1536	1.291311464298154	1.3034015828910404
1535	1.2748408228373194	1.3022276208188936
1534	1.2603148491457006	1.3005080844446109
1533	1.2433428109510558	1.2981670298874586
1532	1.2215763468209673	1.2950358962380029
1531	1.2007932855272045	1.2911895341382946
1530	1.1865181806947334	1.2869243540788045
1529	1.1710498129122442	1.2822098885979545
1528	1.1538304279084315	1.2769943168718887
1527	1.1380428350287346	1.2713571952574778
1526	1.1161938154926503	1.2650708805873896
1525	1.0922865372277357	1.2580797451382368
1524	1.0558712424424286	1.2499082415633351
1523	1.0044182079959754	1.2399995228670675
1522	0.9728229883277209	1.229227830244057
1521	0.9421665642295309	1.2176671787915252
1520	0.9130445414206108	1.2054122386322528
1519	0.881039716862098	1.1923759841045407
1518	0.8475440311817479	1.1785309600866425
1517	0.818257957500478	1.1640794800803094
1516	0.7930072354188553	1.149208152616746
1515	0.7741237201443383	1.1341889609371474
1514	0.7494467860173373	1.1187957744659558
1513	0.7192480508750592	1.102822904406673
1512	0.7032071259746004	1.0868594728944114
1511	0.6818936230801995	1.0706941434669561
1510	0.6555543757499009	1.0541343202404436
1509	0.6369798483468685	1.0375053400194083
1508	0.6170387477884134	1.0207551697983468
1507	0.5970589950529117	1.0038868246144292
1506	0.5764233549424063	0.9868786428808377
1505	0.5558005915431536	0.969736463269256
1504	0.533941167125441	0.952416227212624
1503	0.5121712136932715	0.9349283802933758
1502	0.49427917627162543	0.9174333529589656
1501	0.4750545135242916	0.8998782063310412
1500	0.4545665835284467	0.8822149399110365
1499	0.4303568593628384	0.8643000571596959
1498	0.41207994875768605	0.8463785534232989
1497	0.3982141466947411	0.8286251336347803
1496	0.3784502231589144	0.8107991642556415
1495	0.35559394014337187	0.7927808915135134
1494	0.3348597640668842	0.7746617666597988
1493	0.3123625520700344	0.7563758551199017
1492	0.2913609547221512	0.7379887523056272
1491	0.2794053836206416	0.7198618529034277
1490	0.2640440178483203	0.7018498956211784
1489	0.24924505111942352	0.6839702658801436
1488	0.23752984616775308	0.6663392350569064
1487	0.22749513641323915	0.6490129971096776
1486	0.22288263209308923	0.6321931883597142
1485	0.2158222740915292	0.6157627908479636
1484	0.21278738358113714	0.5998648923458098
1483	0.21932404743282774	0.584855602406611
1482	0.22545040820221374	0.5706831520310254
1481	0.2203573434711643	0.5568717320954039
1480	0.2134712256556739	0.5433361651509878
1479	0.1921314219679786	0.5294957604615069
1478	0.16847540804067762	0.5152712794151173
1477	0.14261950850651317	0.5005912285725426
1476	0.1178658059963098	0.48551702164405663
1475	0.09290054481621723	0.47005588156684736
1474	0.07093800256138394	0.45434129612290514
1473	0.04929897972398578	0.43839595916828966
1472	0.029896412258537453	0.4223169555185637
1471	0.0075261545317601986	0.4059926952575011
1470	-0.009355254487935838	0.38964879174210587
1469	-0.03185945136878132	0.37306470719158513
1468	-0.05140436781833557	0.35636628291962924
1467	-0.08027304746861574	0.3391912136678422
1466	-0.10394618295527636	0.3217626189764192
1465	-0.12840985859511989	0.30405935829821545
1464	-0.15233491624383788	0.2861133931323655
1463	-0.18406333362032967	0.2676274358734015
1462	-0.21617606455681226	0.24860764193664936
1461	-0.24799841166745296	0.22908644128163602
1460	-0.2769622355333752	0.20919591899310727
1459	-0.2986918191535395	0.1892349051842876
1458	-0.32120329950242166	0.16917538469358423
1457	-0.3450917674127538	0.14896706791497946
1456	-0.35744281802615063	0.12906909079542625
1455	-0.36583612283231304	0.10962464646490526
1454	-0.3678772185135841	0.09086534589923499
1453	-0.3593551177417993	0.07317908133772083
1452	-0.3433229212507243	0.05681850863564814
1451	-0.3246284472661429	0.04183590669077931
1450	-0.3066165725200847	0.028150130327608675
1449	-0.2944104929122062	0.015482041777494824
1448	-0.2755314996016551	0.004053578790236963
1447	-0.25801234965803843	-0.006237503785600142
1446	-0.24952302798418913	-0.015790587666440342
1445	-0.23807232783664745	-0.02451846917490007
1444	-0.23474542146927035	-0.03277261340160098
1443	-0.228872435120266	-0.040471719474249074
1442	-0.22508046772995272	-0.04771934313523505
1441	-0.22134445651001755	-0.05453545840819888
1440	-0.22152996562910943	-0.0610909964688515
1439	-0.22868161681527255	-0.06766967027513754
1438	-0.22378614989603562	-0.07379769585419667
1437	-0.21641856235619628	-0.07939577103154898
1436	-0.19960127510732661	-0.08411384211604536
1435	-0.18344602357321804	-0.08801250046966215
1434	-0.16793105628109828	-0.09114909584825026
1433	-0.15432569368110904	-0.0936285343088192
1432	-0.14125965562237752	-0.09549781565864825
1431	-0.13516946670556962	-0.09705468236110787
1430	-0.14671594258143017	-0.09900352457242673
1429	-0.14668470908210907	-0.10087461270027873
1428	-0.1562650371671026	-0.10304816766444189
1427	-0.16855738747387505	-0.10561872638777559
1426	-0.1821404931096211	-0.10862134162735831
1425	-0.21116194746200279	-0.11264480986432487
1424	-0.22582950039438998	-0.11708583038766938
1423	-0.25263691973732705	-0.12240432686322428
1422	-0.27486093722132665	-0.1283860079737431
1421	-0.29399108208904323	-0.13488344557696752
1420	-0.30821843647859026	-0.14168403468579854
1419	-0.32163796469315287	-0.14874418204534492
1418	-0.33621955624727207	-0.15609929089434316
1417	-0.35837079773454406	-0.16403475490549277
1416	-0.37997414026421694	-0.17250629759492977
1415	-0.4075128810808266	-0.1817257254750196
1414	-0.4180571542755871	-0.1909969902860215
1413	-0.4324339482628048	-0.200468409751961
1412	-0.44398987796280664	-0.21002147252862993
1411	-0.45543622591686983	-0.21964868011444696
1410	-0.4674194351023928	-0.22936818691814534
1409	-0.4740821917744569	-0.2389676675888994
1408	-0.4750153252556544	-0.2482270825173457
1407	-0.47306896695330636	-0.2570468310465241
1406	-0.47873712077163333	-0.2657428601232152
1405	-0.4877846279294644	-0.2744525862317774
1404	-0.5032921126838872	-0.2834288694689145
1403	-0.5126490756876194	-0.29241999914184547
1402	-0.5219613850592317	-0.3014236444777773
1401	-0.5312262802236809	-0.31043745779115783
1400	-0.545625397037437	-0.3196624269749069
1399	-0.5642698295176523	-0.3292567854537721
1398	-0.583068047198676	-0.33921207371608614
1397	-0.5909837330068619	-0.3490872881197898
1396	-0.5982316871121753	-0.3588593832727394
1395	-0.608080192487872	-0.3686344076938369
1394	-0.6171639927824195	-0.37838225578135315
1393	-0.6319976089232533	-0.3883295146542588
1392	-0.6536089139120769	-0.3987341948405484
1391	-0.6725988123328257	-0.4094755375196815
1390	-0.6949141553750238	-0.4206707647149452
1389	-0.7132569683560419	-0.43214626580082627
1388	-0.7284471711301599	-0.4437674000556026
1387	-0.736079027514144	-0.45523201428099985
1386	-0.7514149256519715	-0.4668484061189094
1385	-0.7747453527725021	-0.47892417020931843
1384	-0.8050456774199546	-0.4917146471992467
1383	-0.8238126548155655	-0.5047394665337916
1382	-0.8289653232229384	-0.5174554892556702
1381	-0.8347502008644341	-0.5298996256817031
1380	-0.8313993347243027	-0.5417242452147893
1379	-0.8342599893716454	-0.5531972620464768
1378	-0.8300647469330578	-0.5640557442234612
1377	-0.8295241749186602	-0.5744671311105981
1376	-0.8214350440268205	-0.5841529161649621
1375	-0.8165336716047733	-0.5932665820425889
1374	-0.8081842670567312	-0.6016953441837309
1373	-0.7997949141526739	-0.6094645017425889
1372	-0.7926705955281754	-0.6166495404510144
1371	-0.7763663866330788	-0.6229133532653807
