	macd	trigger
4635		
4634		
4633		
4632		
4631		
4630		
4629		
4628		
4627		
4626		
4625		
4624		
4623		
4622		
4621		
4620		
4619		
4618		
4617		
4616		
4615		
4614		
4613		
4612		
4611		
4610		
4609		
4608		
4607		
4606		
4605		
4604		
4603		
4602		
4601		
4600		
4599		
4598		
4597		
4596		
4595		
4594		
4593		
4592		
4591		
4590		
4589		
4588		
4587		
4586		
4585		
4584		
4583		
4582		
4581		
4580		
4579		
4578		
4577		
4576		
4575		
4574		
4573		
4572		
4571		
4570		
4569		
4568		
4567		
4566		
4565		
4564		
4563		
4562		
4561		
4560		
4559		
4558		
4557		
4556		
4555		
4554		
4553		
4552		
4551		
4550		
4549		
4548		
4547		
4546		
4545		
4544		
4543		
4542		
4541		
4540		
4539		
4538		
4537	-0.5869477114628125	
4536	-0.5992423100993562	
4535	-0.6106410383628429	
4534	-0.6211821614519124	
4533	-0.6268337388458463	
4532	-0.6264555738151074	
4531	-0.6189566774774136	
4530	-0.6073950357844069	
4529	-0.5960702261033077	
4528	-0.591848026731526	
4527	-0.5889007410872011	
4526	-0.5871731309708679	
4525	-0.5824576566883337	
4524	-0.5693376055321977	
4523	-0.5579349538728025	
4522	-0.5370184610833917	
4521	-0.5168081983722033	
4520	-0.4930760433198884	
4519	-0.4631787242499428	
4518	-0.43444149418793643	
4517	-0.40682348731395734	
4516	-0.3802853185347317	
4515	-0.3547890232732982	
4514	-0.33029800014497823	
4513	-0.3103065426217455	
4512	-0.28754844560432957	
4511	-0.26569978065309385	
4510	-0.2447286637375612	
4509	-0.2246043328133993	
4508	-0.21248567815653985	
4507	-0.2065814914626003	
4506	-0.20228847573353903	
4505	-0.19375296008270482	
4504	-0.19130770861872293	
4503	-0.18887808288762642	
4502	-0.18791851866266995	
4501	-0.1839945669146772	
4500	-0.18015782459367813	
4499	-0.16909770668401336	
4498	-0.165781229555094	
4497	-0.1551997245602479	
4496	-0.14502549123484698	
4495	-0.13083026272694553	
4494	-0.13638046294309447	
4493	-0.13422567463371138	
4492	-0.13210151587246344	
4491	-0.14185420319918762	
4490	-0.15773216722747918	
4489	-0.17654573068747936	-0.26648489012616333
4488	-0.2003582233303547	-0.26348593072958737
4487	-0.21702033843648394	-0.26139148689090624
4486	-0.2328097986752482	-0.26011066774659686
4485	-0.2552283337443271	-0.259893095499685
4484	-0.28397205490141175	-0.2609604225900697
4483	-0.31125747177486573	-0.2631785604733628
4482	-0.33713770207060634	-0.26642435856639607
4481	-0.36917453847571835	-0.2709127270174285
4480	-0.39956032675470965	-0.2765073660821437
4479	-0.4358853758393195	-0.28340892585777033
4478	-0.46882239601434605	-0.29140521738706493
4477	-0.5030371725576686	-0.30049667074194103
4476	-0.5263644955924462	-0.31016349591725434
4475	-0.5392784207232779	-0.31993428457564016
4474	-0.5498133530944784	-0.3297041490314667
4473	-0.559587828032889	-0.339442226360551
4472	-0.5686315765104979	-0.34912045130830643
4471	-0.5815352657435682	-0.3589054053220838
4470	-0.595076828510841	-0.36881990833499345
4469	-0.6122701368343968	-0.3790118016752616
4468	-0.6283679051005606	-0.3894233637599194
4467	-0.6434118898560683	-0.40000149865137635
4466	-0.6635584275241513	-0.4109515044194421
4465	-0.6824489035116841	-0.42220517698641635
4464	-0.6940022634427407	-0.4334461514844491
4463	-0.7046753996429516	-0.44463966172246
4462	-0.7298554356583509	-0.45638626367579
4461	-0.7688841773085215	-0.46923118438307376
4460	-0.8057437661946523	-0.48303713425774897
4459	-0.8405142000799088	-0.49767667436446655
4458	-0.8732728676608161	-0.51303156914216
4457	-0.9118075234016771	-0.5293069747699352
4456	-0.9558426959544732	-0.5466875817154403
4455	-1.0035671974158333	-0.5652761617040968
4454	-1.0640746103619279	-0.5855404553212572
4453	-1.1460543074974794	-0.6082799375445976
4452	-1.2268174195625505	-0.6333394667524702
4451	-1.315684798587128	-0.6609482682514786
4450	-1.3920771158467886	-0.6904941177691241
4449	-1.4673890426930711	-0.7218519417742976
4448	-1.5665052770418697	-0.7559056288474906
4447	-1.6680904875597804	-0.7926415192664925
4446	-1.764201912209458	-0.8317273028425103
4445	-1.8706201995488243	-0.873479520800393
4444	-1.9587670698056812	-0.9170538823261892
4443	-2.038781419547682	-0.9620492690477704
4442	-2.129728312295704	-1.0088459176096247
4441	-2.1998217054871745	-1.056535163270892
4440	-2.2656003929436395	-1.1049087696738444
4439	-2.3303563758247563	-1.153898950875702
4438	-2.367484212928254	-1.2023779806354316
4437	-2.4064105114447543	-1.2504402617162556
4436	-2.42665232141659	-1.2973590714767436
4435	-2.429038286183662	-1.3424710684607266
4434	-2.43006897172922	-1.385797816289026
4433	-2.429805224298164	-1.4273622164006063
4432	-2.4283057887898494	-1.4671883802534582
4431	-2.4256273749338533	-1.505301509285595
4430	-2.421824721422972	-1.541727782184978
4429	-2.4169506580688775	-1.576494249046979
4428	-2.4110561660439203	-1.6096287320254135
4427	-2.41207355548498	-1.6414725619759005
4426	-2.4118047477225346	-1.6720277550856457
4425	-2.4103081280773324	-1.7012984639412139
4424	-2.407640061313778	-1.7292908139966252
4423	-2.4038549550471444	-1.7560127494974176
4422	-2.3911007984201973	-1.7811608860321424
4421	-2.3697876028531084	-1.8044603478247154
4420	-2.3482238363274135	-1.825976102282278
4419	-2.326431790259413	-1.8457712655686984
4418	-2.3044328669983116	-1.8639071532902154
4417	-2.298096155797218	-1.8810697913347543
4416	-2.2829360951559963	-1.8969498165135157
4415	-2.2593577467020864	-1.9112663217071788
4414	-2.243622923680938	-1.924391901818139
4413	-2.2274475741762387	-1.9363570044747829
4412	-2.231510347409298	-1.9480070139264156
4411	-2.2294707849763356	-1.9591138455638626
4410	-2.231144401794431	-1.9698458011483742
4409	-2.2315917086288906	-1.980169581810269
4408	-2.2292768532744063	-1.9899926464179973
4407	-2.2275095065170234	-1.9993566299340944
4406	-2.2246736609027806	-2.008237786773416
4405	-2.2160398397294117	-2.0164269259124543
4404	-2.2034678667421375	-2.0237964836115983
4403	-2.1775758729684753	-2.0298543892235714
4402	-2.143762842994498	-2.034340842178509
4401	-2.1183586701897923	-2.037649443535132
4400	-2.0850357512180935	-2.0395151985416793
4399	-2.052151831137216	-2.0400126659828564
4398	-2.016509341425966	-2.03908754857651
4397	-1.9846420779474059	-2.0369448249903765
4396	-1.9531991272572924	-2.0336494395083538
4395	-1.9189796183828847	-2.0291377981821896
4394	-1.8853251316335644	-2.023480271961571
4393	-1.8602267286451593	-2.0170587457340416
4392	-1.843310639464967	-2.0102252323685663
4391	-1.8262113376730724	-2.0029887927626198
4390	-1.8201555761462274	-1.9957995734415614
4389	-1.8038231709128283	-1.9882516295091037
4388	-1.7969151319648233	-1.9807296071330027
4387	-1.7893922019410056	-1.9732082814212943
4386	-1.7812861414999261	-1.965664675881617
4385	-1.7710238677313228	-1.958014899036392
4384	-1.753895811743412	-1.9499932992100029
4383	-1.7446625748580118	-1.9419247529202188
4382	-1.7349467713774516	-1.933792125072057
4381	-1.7247752943124937	-1.9255800149185698
4380	-1.7302324003813965	-1.9179055221371548
4379	-1.7329394904995468	-1.9106393971281317
4378	-1.723379969940737	-1.903283678659534
4377	-1.7117562811100058	-1.8957608010624716
4376	-1.706204963632942	-1.8883158294977143
4375	-1.6991867930668718	-1.8808880679909346
4374	-1.689228042678252	-1.873361340901046
4373	-1.6820647360584076	-1.8658493031150982
4372	-1.6904450849596842	-1.8589617120238828
4371	-1.705614635667935	-1.8529405466727453
4370	-1.7192102765986235	-1.84768989291679
4369	-1.7280766484080559	-1.8429937384323278
4368	-1.738864660363852	-1.8389056961421522
4367	-1.7482606554172833	-1.8353471841590985
4366	-1.7482684832730087	-1.8319288217983785
4365	-1.7473699001436884	-1.8286095097639246
4364	-1.7456065485206835	-1.8253514022862811
4363	-1.7494660040299266	-1.822372790707754
4362	-1.7586914520493906	-1.8198732954903252
4361	-1.7617478667954316	-1.817591948349705
4360	-1.74762440314732	-1.8148459042463712
4359	-1.7364637139142474	-1.8117697047674555
4358	-1.7232973221549202	-1.8082976098380952
4357	-1.7114501734067034	-1.8044969475258492
4356	-1.7032570569829986	-1.8005240203128894
4355	-1.688936376720818	-1.7961451375882433
4354	-1.6776203152947105	-1.7914941492928393
4353	-1.6675637833174122	-1.7866311653606417
4352	-1.6441809277945936	-1.7810416021223443
4351	-1.6113188423441756	-1.7743820536683497
4350	-1.579116902590684	-1.7667204473206295
4349	-1.5475617327758968	-1.7581215134685628
4348	-1.5037134659181675	-1.748139736956402
4347	-1.462697419708654	-1.736940541185711
4346	-1.4195572236529728	-1.724488389884288
4345	-1.3760280600149102	-1.7108172170583686
4344	-1.3321500076686732	-1.6959611936768242
4343	-1.294429347077397	-1.6802083989911274
4342	-1.2593715542585926	-1.6636985006716656
4341	-1.2220216322910318	-1.6463712923273786
4340	-1.1857381011597	-1.6283006856470617
4339	-1.1521090116869388	-1.6096199868507408
4338	-1.1242670858654549	-1.590580159413694
4337	-1.0971092837262262	-1.5712221277867908
4336	-1.0706185415326033	-1.5515845399577102
4335	-1.0366854971265198	-1.5313864176150593
4334	-1.0021407209572573	-1.5106257561753784
4333	-0.9686487437157467	-1.4893659229797942
4332	-0.9458935173704859	-1.4680476602475023
4331	-0.9204448176975362	-1.4465675989869469
4330	-0.8924381978224787	-1.4248317453431563
4329	-0.8571455943291681	-1.4025643375893047
4328	-0.813296631868738	-1.3794506084069962
4327	-0.7775020629509157	-1.355839687690658
4326	-0.7429339407653899	-1.3317991835472562
4325	-0.7030734384543251	-1.3071383592197539
4324	-0.6589595286103673	-1.281714715446486
4323	-0.6189758683394402	-1.2557201764770034
4322	-0.5837332571295377	-1.2293630914132463
4321	-0.551413514438174	-1.2027723195909645
4320	-0.5235214085179152	-1.1761306837789258
4319	-0.49014338244349176	-1.1492250048230797
4318	-0.44343994532449216	-1.1215429916517243
4317	-0.4067405216983744	-1.0935074668440108
4316	-0.36339402308583857	-1.0648715872892285
4315	-0.31781170668305236	-1.0355712089240532
4314	-0.2773843444526918	-1.0058345757118248
4313	-0.23943309876572272	-0.9757759107474695
4312	-0.203086402763752	-0.945470772438737
4311	-0.16829006959969206	-0.9149896295592608
4310	-0.118769067818711	-0.8837618799362574
4309	-0.055218882061630836	-0.8512665845393421
4308	0.021689355544459943	-0.8170295632152001
4307	0.09994996314988214	-0.7810660948418717
4306	0.16485659545761422	-0.7439676314436056
4305	0.22022887811284164	-0.7061526190762148
4304	0.25186574361788416	-0.6685800405525969
4303	0.27381499744041093	-0.6316203187680935
4302	0.2946217111211311	-0.5952942183290131
4301	0.3305593074821971	-0.5589834675962506
4300	0.36144078430734083	-0.5228857537774759
4299	0.39397390988969505	-0.4869279413122163
4298	0.4248196495539531	-0.4511707151341726
4297	0.45319455200626635	-0.4157031055200643
4296	0.47926132602259486	-0.38060426954496884
4295	0.5038909407965164	-0.34591610184605515
4294	0.5238883128618568	-0.3118041586017297
4293	0.5410778921760482	-0.2783559513352238
4292	0.5523305031927705	-0.24577827856738818
4291	0.5644070719700949	-0.21400467974236212
4290	0.5723912191406697	-0.18316411011465625
4289	0.5845865405434338	-0.15305482060369416
4288	0.5959219129014315	-0.12368185224223188
4287	0.5983084101972835	-0.09536727519437245
4286	0.6002748050246609	-0.06808605181296606
4285	0.6018392106176833	-0.04181341642371805
4284	0.5989249721952419	-0.016685449975564995
4283	0.5999261911624103	0.007496296317839548
4282	0.6005695643103053	0.03075490103069703
4281	0.5927466871122817	0.05279454980252057
4280	0.5622226581739582	0.07277278039860145
4279	0.5392971869870848	0.09106843387152315
4278	0.5171358690324936	0.10777746853319743
4277	0.4973405510876958	0.12305489824121202
4276	0.4846893672181807	0.1372370399811713
4275	0.45610988475994674	0.14974219447926893
4274	0.44484877506896936	0.1613153012624981
4273	0.42574245567271873	0.17168525160509074
4272	0.4072853431087111	0.18092469174942247
4271	0.38945745750032046	0.1891026350971144
4270	0.3641116398990505	0.1959658847756087
4269	0.3397315054930843	0.20160387178893893
4268	0.3065317672467103	0.2057187750398199
4267	0.2681828146042591	0.20816839316106078
4266	0.2330679415874215	0.20914486440190624
4265	0.20105808020206695	0.20882772988027457
4264	0.16877669180541233	0.20725707367283785
4263	0.14035022696015176	0.20463323200415942
4262	0.10904895883511756	0.200884769072382
4261	0.07911765818396077	0.1961095147389164
4260	0.04888341311218625	0.1903358567271893
4259	0.029758463225746823	0.18403861455022272
4258	0.02775125471696782	0.17790961479427764
4257	0.009559165046624685	0.17130754976464302
4256	-0.006182428925534111	0.16434707071428586
4255	-0.022829539271903343	0.15700672261025417
4254	-0.043584897653524024	0.14914029303682433
4253	-0.05849238925493694	0.1409977438864409
4252	-0.07268989063966558	0.1326177466480734
4251	-0.08620236883339061	0.12403647709932912
4250	-0.09905400967346623	0.11528774382199754
4249	-0.11126824081766529	0.10640311077448493
4248	-0.131000513361478	0.09709307952529095
4247	-0.15464484784440913	0.08722091713604756
4246	-0.1803840793720326	0.07672651488873512
4245	-0.20160273765193892	0.06581155364450246
4244	-0.21361568959922295	0.054853537079892496
4243	-0.22008960320160043	0.04407137235914262
4242	-0.2245270230261056	0.03353802612312338
4241	-0.22213806248301182	0.023511443494461135
4240	-0.20347408125363842	0.014609991213612856
4239	-0.18880865860516138	0.006632738327008411
4238	-0.17471344581204562	-0.00047892036293566565
4237	-0.15791596092396532	-0.006652958342250807
4236	-0.1450558615274531	-0.01208055390784833
4235	-0.1359604124758249	-0.01693861400806995
4234	-0.1207007783614884	-0.02100773976292995
4233	-0.10932798254690113	-0.024471296090575446
4232	-0.11143315620658001	-0.02788158157046952
4231	-0.1133843215988577	-0.031234645744164253
4230	-0.11518748245124755	-0.034526928515103965
4229	-0.11274806396796322	-0.03759443715080352
4228	-0.11036112845622625	-0.04044804462168662
4227	-0.10802552642439878	-0.0430981524166318
4226	-0.10170465318904576	-0.045396455288039886
4225	-0.10375513344523313	-0.047685039247978275
4224	-0.09752180584304426	-0.0496394290994112
4223	-0.09477641141648263	-0.051409512796063275
4222	-0.09698871745499815	-0.05319693836775137
4221	-0.09904964676280059	-0.054995089382767745
4220	-0.09282829394084757	-0.056478748893150035
4219	-0.09497905321954647	-0.05798856908009112
4218	-0.08884534357760998	-0.059198642003267216
4217	-0.08294498748340828	-0.06012987370366808
4216	-0.06913327499772493	-0.060482949162492854
4215	-0.08032695522827993	-0.06126114738100272
4214	-0.09096847308161671	-0.06242614328174009
4213	-0.1010774566862267	-0.0639418844824478
4212	-0.1025353888864231	-0.06545535852448944
4211	-0.1038734405912578	-0.06696195311618973
4210	-0.10184129628045469	-0.0683297732324999
4209	-0.09496606876634672	-0.06937433585010117
4208	-0.08347208711486331	-0.06992718986218892
4207	-0.08547938756263562	-0.07053708105058544
4206	-0.0906058636768563	-0.07132409347605878
4205	-0.0921961662630082	-0.0721426074754426
4204	-0.1066870723232185	-0.07349729450394286
4203	-0.12046174264593645	-0.0753390403538627
4202	-0.13680099956921055	-0.07774931676670743
4201	-0.1523240604362286	-0.08067382060147629
4200	-0.1670600480094535	-0.08406152033817739
4199	-0.1761540158086845	-0.08767299540321068
4198	-0.18721575676018887	-0.09157663793715856
4197	-0.19598278571369576	-0.09567100154451039
4196	-0.20021116687960472	-0.0997706205573807
