	macd	trigger
3685		
3684		
3683		
3682		
3681		
3680		
3679		
3678		
3677		
3676		
3675		
3674		
3673		
3672		
3671		
3670		
3669		
3668		
3667		
3666		
3665		
3664		
3663		
3662		
3661		
3660		
3659		
3658		
3657		
3656		
3655		
3654		
3653		
3652		
3651		
3650		
3649		
3648		
3647		
3646		
3645		
3644		
3643		
3642		
3641		
3640		
3639		
3638		
3637		
3636		
3635		
3634		
3633		
3632		
3631		
3630		
3629		
3628		
3627		
3626		
3625		
3624		
3623		
3622		
3621		
3620		
3619		
3618		
3617		
3616		
3615		
3614		
3613		
3612		
3611		
3610		
3609		
3608		
3607		
3606		
3605		
3604		
3603		
3602		
3601		
3600		
3599		
3598		
3597		
3596		
3595		
3594		
3593		
3592		
3591		
3590		
3589		
3588		
3587	-6.125596497060258	
3586	-6.4949236763390275	
3585	-6.8540381889072535	
3584	-7.073472607379983	
3583	-7.170324897100585	
3582	-7.26433482507872	
3581	-7.355614240353049	
3580	-7.438801279513996	
3579	-7.530695436388243	
3578	-7.614396594621439	
3577	-7.690257288173257	
3576	-7.7586160416151415	
3575	-7.819797983573665	
3574	-7.874115428252281	
3573	-7.949699845435731	
3572	-7.978631524457768	
3571	-8.002143991831161	
3570	-8.02048183637254	
3569	-8.033880135558633	
3568	-8.19461241446794	
3567	-8.315460001660682	
3566	-8.42644816111303	
3565	-8.414611574070392	
3564	-8.399047865123237	
3563	-8.351474043927965	
3562	-8.318978969398273	
3561	-8.266614880113252	
3560	-8.212477988952571	
3559	-8.15667649663257	
3558	-8.099314310162356	
3557	-8.098111637989803	
3556	-8.121717721086952	
3555	-8.140109819761449	
3554	-8.13034093315062	
3553	-8.140116210526827	
3552	-8.232547394957152	
3551	-8.31654149287948	
3550	-8.392446633165832	
3549	-8.472291944952673	
3548	-8.526593739602845	
3547	-8.60927004167749	
3546	-8.683776740214512	
3545	-8.750452648819447	
3544	-8.756565009180832	
3543	-8.734330016762186	
3542	-8.714592281709457	
3541	-8.685409100495036	
3540	-8.653150576195486	
3539	-8.617972982113798	-8.291126334674843
3538	-8.580026811046793	-8.304228473951971
3537	-8.53349829255177	-8.314562846877486
3536	-8.490728549995339	-8.322457286261946
3535	-8.445598903964282	-8.327944866267616
3534	-8.38627096504689	-8.330530236518255
3533	-8.295429527634099	-8.328982268727534
3532	-8.186519655369551	-8.322730102074708
3531	-8.07241314508343	-8.31179567126875
3530	-7.935346804430196	-8.295424627109485
3529	-7.758333561582617	-8.27216692612968
3528	-7.5492629108548215	-8.240990381896115
3527	-7.3821278550866225	-8.20409468438935
