	macd	trigger
672		
671		
670		
669		
668		
667		
666		
665		
664		
663		
662		
661		
660		
659		
658		
657		
656		
655		
654		
653		
652		
651		
650		
649		
648		
647		
646		
645		
644		
643		
642		
641		
640		
639		
638		
637		
636		
635		
634		
633		
632		
631		
630		
629		
628		
627		
626		
625		
624		
623		
622		
621		
620		
619		
618		
617		
616		
615		
614		
613		
612		
611		
610		
609		
608		
607		
606		
605		
604		
603		
602		
601		
600		
599		
598		
597		
596		
595		
594		
593		
592		
591		
590		
589		
588		
587		
586		
585		
584		
583		
582		
581		
580		
579		
578		
577		
576		
575		
574	0.35334662744578793	
573	0.3473039443595951	
572	0.349463983876106	
571	0.3486366293042238	
570	0.34766993559158266	
569	0.3329719199347778	
568	0.31880155416169487	
567	0.30650727384158927	
566	0.29189675272125726	
565	0.26408414742218156	
564	0.24709481066305727	
563	0.22525479710579077	
562	0.2154064313614441	
561	0.2128522581826786	
560	0.20056851607277792	
559	0.19154845072037574	
558	0.1744641832313505	
557	0.1524846318615687	
556	0.13426403076790905	
555	0.11401005608374248	
554	0.09887565652665842	
553	0.08298198794136624	
552	0.07628897445849248	
551	0.06560776736637308	
550	0.06250556532492624	
549	0.04810609501903684	
548	0.04006652329174187	
547	0.036675234224034625	
546	0.04059677790003491	
545	0.04719167783005673	
544	0.06354125621179207	
543	0.08343295901093484	
542	0.10525583494474233	
541	0.12601829505487672	
540	0.13414845948699394	
539	0.13020391547863142	
538	0.13365787552091035	
537	0.14418073697412126	
536	0.1599930037817927	
535	0.16621183273848317	
534	0.1676604877958141	
533	0.17336473779319306	
532	0.21109203555943168	
531	0.2396112805855921	
530	0.2711291977787056	
529	0.3158495269665309	
528	0.33318559786046364	
527	0.35549040632859885	
526	0.3795636197135508	0.19095181137730638
525	0.4053167823679473	0.20067363579701034
524	0.4311749418184121	0.2110635182106288
523	0.45264722474365726	0.22188950700268403
522	0.48784651750614216	0.23374139266439822
521	0.5391403735497704	0.24727854766501908
520	0.5938076265007624	0.2625607419465194
519	0.6456746993095948	0.2793742220027814
518	0.6888354195564403	0.2972604458774617
517	0.7266662826348664	0.3159344877860997
