	macd	trigger
3318		
3317		
3316		
3315		
3314		
3313		
3312		
3311		
3310		
3309		
3308		
3307		
3306		
3305		
3304		
3303		
3302		
3301		
3300		
3299		
3298		
3297		
3296		
3295		
3294		
3293		
3292		
3291		
3290		
3289		
3288		
3287		
3286		
3285		
3284		
3283		
3282		
3281		
3280		
3279		
3278		
3277		
3276		
3275		
3274		
3273		
3272		
3271		
3270		
3269		
3268		
3267		
3266		
3265		
3264		
3263		
3262		
3261		
3260		
3259		
3258		
3257		
3256		
3255		
3254		
3253		
3252		
3251		
3250		
3249		
3248		
3247		
3246		
3245		
3244		
3243		
3242		
3241		
3240		
3239		
3238		
3237		
3236		
3235		
3234		
3233		
3232		
3231		
3230		
3229		
3228		
3227		
3226		
3225		
3224		
3223		
3222		
3221		
3220	0.6928879113843891	
3219	0.6964039940940623	
3218	0.6926508291072224	
3217	0.7022460288465595	
3216	0.7083114078194086	
3215	0.7191649476484088	
3214	0.7291347287647838	
3213	0.7396258567454339	
3212	0.749242038370042	
3211	0.7566463346842127	
3210	0.7688261543417454	
3209	0.77865796513953	
3208	0.7987080386580843	
3207	0.8201845300516055	
3206	0.8360597703145061	
3205	0.8507644810459922	
3204	0.8601524754030621	
3203	0.8784733824708155	
3202	0.9109422141762025	
3201	0.9343924370264105	
3200	0.9590956559194623	
3199	0.9835742651549779	
3198	1.0092477556351938	
3197	1.0403154138634534	
3196	1.076527032653054	
3195	1.1062321163904798	
3194	1.1311391719872859	
3193	1.158613404099313	
3192	1.1899664348570624	
3191	1.2192643510352283	
3190	1.255231476684628	
3189	1.2860127900040723	
3188	1.324841834936251	
3187	1.3597578037507816	
3186	1.3923732688947936	
3185	1.4140547516901734	
3184	1.4354762584304765	
3183	1.4566420085731835	
3182	1.4819411350611773	
3181	1.4994677453865464	
3180	1.5095608451083038	
3179	1.503732830039688	
3178	1.4738647839605221	
3177	1.462305516536098	
3176	1.449057604253781	
3175	1.428288456347218	
3174	1.4151498612945232	
3173	1.4122758693356516	
3172	1.3999041161605206	1.2409739838247194
3171	1.37994993098458	1.2472767848402324
3170	1.355738712751915	1.2521657232016146
3169	1.3453724630835282	1.256342557541093
3168	1.3377842973431768	1.259971859082715
3167	1.3223829338864448	1.2627383005126243
3166	1.318997668652571	1.2652193811681287
3165	1.3240968537178759	1.26780329958575
3164	1.3132687153984222	1.2697893354070668
3163	1.3082833134469496	1.2714633651887184
3162	1.2983418871986316	1.2726272881578566
3161	1.295733245808762	1.273623774407125
