	macd	trigger
743		
742		
741		
740		
739		
738		
737		
736		
735		
734		
733		
732		
731		
730		
729		
728		
727		
726		
725		
724		
723		
722		
721		
720		
719		
718		
717		
716		
715		
714		
713		
712		
711		
710		
709		
708		
707		
706		
705		
704		
703		
702		
701		
700		
699		
698		
697		
696		
695		
694		
693		
692		
691		
690		
689		
688		
687		
686		
685		
684		
683		
682		
681		
680		
679		
678		
677		
676		
675		
674		
673		
672		
671		
670		
669		
668		
667		
666		
665		
664		
663		
662		
661		
660		
659		
658		
657		
656		
655		
654		
653		
652		
651		
650		
649		
648		
647		
646		
645	0.2062333936314964	
644	0.20831159597284454	
643	0.21018339984784618	
642	0.21185797193723488	
641	0.21334409855341363	
640	0.2146502033642932	
639	0.215238929342636	
638	0.21568960377207347	
637	0.21381534908545774	
636	0.2146691647861978	
635	0.2153730300025245	
634	0.213171048610306	
633	0.2109639645088066	
632	0.21041890346188907	
631	0.2053391447955839	
630	0.19648726320588494	
629	0.19633908776577158	
628	0.18768919132571682	
627	0.17710055530848834	
626	0.16691613958190743	
625	0.15204220808741198	
624	0.1377839367343796	
623	0.12355239526907624	
622	0.11048792788539785	
621	0.0979742802085326	
620	0.08542124753171265	
619	0.07340702854169123	
618	0.05962105631604686	
617	0.048165038744354405	
616	0.03548938458789763	
615	0.02222938756154491	
614	0.012457322991409114	
613	0.004286942549182271	
612	-0.0017701724644929584	
611	-0.004644353264151135	
610	-0.006220526362280765	
609	-0.0077209451665964934	
608	-0.009732036750353501	
607	-0.011060989096822738	
606	-0.011737542354836705	
605	-0.010030394462081205	
604	-0.008984211272082376	
603	-0.01033590118961314	
602	-0.012799408159409609	
601	-0.015733891865195915	
600	-0.014385917518847435	
599	-0.01368475089835286	
598	-0.008856135988168035	
597	-0.0018676883530055477	0.0521746902348149
596	0.008371752129242793	0.05018815077661152
595	0.017542422806155145	0.0487166394833587
594	0.025091137970242983	0.04765791984428111
593	0.02929398416841522	0.04683956478186922
592	0.035084969655653	0.046318529067434874
591	0.04299029936205301	0.04617175162196913
590	0.05051250654648598	0.046362251589276045
589	0.05586285718725392	0.04677726028774546
588	0.06214366827641271	0.04744551610124927
587	0.06870846769309225	0.04836626753766726
586	0.07795446700815845	0.04964231219932625
585	0.08734272371265916	0.05126187637363441
584	0.09504877372041776	0.05313589398504454
583	0.10659275887597985	0.05541560461337408
582	0.12604186599314104	0.058417221964392516
581	0.1481809708172186	0.06221969429072027
580	0.1722729754273935	0.06686703244313637
579	0.19213764235984598	0.07214108160515433
578	0.2134347676246655	0.0780726064985193
577	0.23426218599139403	0.08461138670367571
576	0.2534108980194567	0.09165940585292687
575	0.2691142320058475	0.09905005895461472
574	0.28029542917719397	0.10658026450777809
573	0.2914366329868123	0.11424263272838929
572	0.306211846767269	0.12218208884086383
571	0.31893104953996954	0.1303018307966298
570	0.32968017801429284	0.13851322124870602
569	0.3410010681304634	0.14683628589624023
568	0.3510172238018896	0.15521312511845972
567	0.36101411233628866	0.1636411673467025
566	0.3740703985903089	0.17224380699418987
565	0.38263923075852446	0.18083076121601774
564	0.3900050264818269	0.18935425762472052
563	0.39869077453762714	0.19787131212980508
562	0.4036840867009026	0.20623270640697972
561	0.4094822694907059	0.2144783363922152
560	0.408609727230381	0.22234340746762135
559	0.40632729772014997	0.22978769479254477
558	0.40394077976351994	0.23682544314361825
557	0.40021349606327306	0.24342027809958616
556	0.39334191906493743	0.2494646331429678
555	0.3884482995633398	0.2550618415277435
554	0.3848238267291997	0.2602821540341183
553	0.37929735620350513	0.2650652733306616
552	0.3707093429163706	0.2693068891912722
551	0.36544271555036545	0.27316314531523334
550	0.3614775106094861	0.2767024880306278
549	0.35563209605377466	0.2798630001965984
548	0.34861910096389437	0.2826138696076881
547	0.34299806576916225	0.28502787139514174
546	0.34058850915407035	0.2872473494125569
545	0.3362334090863328	0.2892027631649582
544	0.33315818901944283	0.290956134291023
543	0.33318985265674783	0.2926396920967837
542	0.3330490525278549	0.29424948388108035
541	0.3377709227095913	0.2959821751273517
540	0.34147589787912835	0.2977923075929248
539	0.3442078894590175	0.2996380620651268
538	0.3491570908351278	0.3016061449590471
537	0.3555916905657668	0.3037506120817415
536	0.3615510473022283	0.30604545383997894
535	0.365792370032338	0.30841642139272973
534	0.3702838477882828	0.31087039020734814
533	0.3731180599994701	0.3133383325854442
532	0.3781583287568324	0.315907152020926
531	0.3739265423947806	0.3182055107877454
530	0.36969477878211876	0.32024437633369895
529	0.3692613109306997	0.32218460120320525
528	0.3711895631761202	0.32412364042026404
527	0.37283910589728464	0.3260505454727162
526	0.37295445541216665	0.32790516779494816
525	0.3747743656464273	0.329757815083383
524	0.3782212750252931	0.33167288225077046
523	0.3813166768613243	0.333634002811806
522	0.38470975400210605	0.335651109919035
521	0.38902059386134624	0.3377582189829673
520	0.391664182736033	0.3398859434430014
519	0.39207869724743105	0.341945519803533
518	0.3916363203626574	0.34390588584457193
517	0.39228459363375734	0.34581403857455734
516	0.391428163712753	0.34761274358876254
515	0.39040882292306733	0.34929995763021177
514	0.3885974787855062	0.3508489193188878
513	0.38603079953219677	0.35223537969375607
512	0.3821066871589984	0.35341233230604235
511	0.3800770707635621	0.3544627492014349
510	0.3811334916298925	0.35551321584563295
509	0.37811588288095876	0.35640330330190884
508	0.3718481042676629	0.3570114159854243
507	0.3618413720307423	0.35720155729535774
506	0.350825111846671	0.35695057319900486
505	0.3356549028152358	0.356112473451008
504	0.32164062053514897	0.35475600921807027
503	0.31449301860972767	0.35317187687565743
502	0.3043092803967973	0.3512496441028357
