symbol,country,exchange,name,notes
2020,norway,XOSL,2020 BULKERS,
ABG,norway,XOSL,ABG SUNDAL COLLIER,
ACR,norway,XOSL,AXACTOR,
AFG,norway,XOSL,AF GRUPPEN,
AFK,norway,XOSL,ARENDALS FOSSEKOMP,
AGLX,norway,XOSL,AGILYX,
AKAST,norway,XOSL,AKASTOR,
AKBM,norway,XOSL,AKER BIOMARINE,
AKER,norway,XOSL,AKER,
AKRBP,norway,XOSL,AKER BP,
AKSO,norway,XOSL,AKER SOLUTIONS,
AKVA,norway,XOSL,AKVA GROUP,
APR,norway,XOSL,APPEAR,
AQUA,norway,XOSL,AQUALIS,
ARCH,norway,XOSL,ARCHER,
ARR,norway,XOSL,ARRIBATEC GROUP,
ASA,norway,XOSL,ATLANTIC SAPPHIRE,
ASAS,norway,XOSL,ATLANTIC SAPPHI TR,
ATEA,norway,XOSL,ATEA,
AURG,norway,XOSL,AURSKOG SPAREBANK,
AUSS,norway,XOSL,AUSTEVOLL SEAFOOD,
AUTO,norway,XOSL,AUTOSTORE HOLDINGS,
AZT,norway,XOSL,ARCTICZYMES TECHNO,
B2I,norway,XOSL,B2 Impact,
BAKKA,norway,XOSL,BAKKAFROST,
BEWI,norway,XOSL,BEWI,
BIEN,norway,XOSL,BIEN SPAREBANK,
BINT,norway,XOSL,BEVEST,
BNOR,norway,XOSL,BLUENORD,
BOHUS,norway,XOSL,BOHUS,
BONHR,norway,XOSL,BONHEUR,
BOR,norway,XOSL,BORGESTAD,
BORR,norway,XOSL,BORR DRILLING,
BOUV,norway,XOSL,BOUVET,
BRG,norway,XOSL,BORREGAARD,
BWE,norway,XOSL,BW ENERGY LIMITED,
BWLPG,norway,XOSL,BW LPG,
BWO,norway,XOSL,BW OFFSHORE LTD,
CADLR,norway,XOSL,CADELER,
CAPSL,norway,XOSL,CAPSOL TECHNOLOGI,
CAVEN,norway,XOSL,CAVENDISH HYDROGEN,
CLOUD,norway,XOSL,CLOUDBERRY CLEAN,
CMBTO,norway,XOSL,CMB.TECH,
CONTX,norway,XOSL,CONTEXTVISION,
COSH,norway,XOSL,CONSTELLATION OIL,
CRNA,norway,XOSL,CIRCIO HOLDING,
DELIA,norway,XOSL,DELLIA GROUP,
DFENS,norway,XOSL,FJORD DEFENCE GR,
DNB,norway,XOSL,DNB BANK,
DNO,norway,XOSL,DNO,
DOFG,norway,XOSL,DOF GROUP,
EIOF,norway,XOSL,EIDESVIK OFFSHORE,
ELABS,norway,XOSL,ELLIPTIC LABORATOR,
ELK,norway,XOSL,ELKEM,
ELMRA,norway,XOSL,ELMERA GROUP,
ELO,norway,XOSL,ELOPAK,
EMGS,norway,XOSL,ELECTROMAGNET GEO,
ENDUR,norway,XOSL,ENDÚR,
ENH,norway,XOSL,SED ENERGY HOLDING,
ENSU,norway,XOSL,ENSURGE MICROPOWER,
ENTRA,norway,XOSL,ENTRA,
ENVIP,norway,XOSL,ENVIPCO HOLDING,
EPR,norway,XOSL,EUROPRIS,
EQNR,norway,XOSL,EQUINOR,
EQVA,norway,XOSL,EQVA,
FRO,norway,XOSL,FRONTLINE,
GENO,norway,XOSL,GENERAL OCEANS,
GENT,norway,XOSL,GENTIAN DIAGNOSTIC,
GJF,norway,XOSL,GJENSIDIGE FORSIKR,
GOD,norway,XOSL,GOODTECH,
GSF,norway,XOSL,GRIEG SEAFOOD,
GYL,norway,XOSL,GYLDENDAL,
HAFNI,norway,XOSL,HAFNIA LIMITED,
HAUTO,norway,XOSL,HÖEGH AUTOLINERS,
HAVI,norway,XOSL,HAVILA SHIPPING,
HBC,norway,XOSL,HOFSETH BIOCARE,
HELG,norway,XOSL,SPBK1 HELGELAND,
HERMA,norway,XOSL,HERMANA HOLDING,
HEX,norway,XOSL,HEXAGON COMPOSITES,
HGSB,norway,XOSL,HAUGESUND SPB,
HPUR,norway,XOSL,HEXAGON PURUS,
HSHP,norway,XOSL,HIMALAYA SHIPPING,
HSPG,norway,XOSL,HØLAND OG SETSKOG,
HYPRO,norway,XOSL,HYDROGENPRO,
IDEX,norway,XOSL,IDEX BIOMETRICS,
IOX,norway,XOSL,INTEROIL EXPL PROD,
ITERA,norway,XOSL,ITERA,
IWS,norway,XOSL,INTEGRATED WIND SO,
JAREN,norway,XOSL,JÆREN SPAREBANK,
JIN,norway,XOSL,JINHUI SHIPP TRANS,
KCC,norway,XOSL,KLAVENESS COMBINAT,
KID,norway,XOSL,KID,
KIT,norway,XOSL,KITRON,
KMAR,norway,XOSL,KONGSBERG MARITIME,
KOA,norway,XOSL,KONGSBERG AUTOMOT,
KOG,norway,XOSL,KONGSBERG GRUPPEN,
KOMPL,norway,XOSL,KOMPLETT,
LIFE,norway,XOSL,LIFECARE,
LINK,norway,XOSL,LINK MOBILITY GRP,
LSG,norway,XOSL,LERØY SEAFOOD GP,
MEDI,norway,XOSL,MEDISTIM,
MELG,norway,XOSL,MELHUS SPAREBANK,
MGN,norway,XOSL,MAGNORA,
MING,norway,XOSL,SPAREBANK 1 SMN,
MORG,norway,XOSL,SPAREBANKEN MØRE,
MORLD,norway,XOSL,MORELD,
MOWI,norway,XOSL,MOWI,
MPCC,norway,XOSL,MPC CONTAINER SHIP,
MULTI,norway,XOSL,MULTICONSULT,
NAPA,norway,XOSL,NAPATECH,
NAS,norway,XOSL,NORWEGIAN AIR SHUT,
NAVA,norway,XOSL,NAVAMEDIC,
NEL,norway,XOSL,NEL,
NEXT,norway,XOSL,NEXT BIOMETRICS GP,
NHY,norway,XOSL,NORSK HYDRO,
NKR,norway,XOSL,NEKKAR,
